"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced"	"Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	"Drug-induced causes"	"D"	195	4430141	4.40	4.45
	"Alabama"	"01"	"1999"	"1999"	"Alcohol-induced causes"	"A"	249	4430141	5.62	5.57
"Total"	"Alabama"	"01"	"1999"	"1999"			444	4430141	10.02	10.01
	"Alabama"	"01"	"2000"	"2000"	"Drug-induced causes"	"D"	232	4447100	5.22	5.29
	"Alabama"	"01"	"2000"	"2000"	"Alcohol-induced causes"	"A"	238	4447100	5.35	5.29
"Total"	"Alabama"	"01"	"2000"	"2000"			470	4447100	10.57	10.58
	"Alabama"	"01"	"2001"	"2001"	"Drug-induced causes"	"D"	253	4467634	5.66	5.73
	"Alabama"	"01"	"2001"	"2001"	"Alcohol-induced causes"	"A"	236	4467634	5.28	5.11
"Total"	"Alabama"	"01"	"2001"	"2001"			489	4467634	10.95	10.84
	"Alabama"	"01"	"2002"	"2002"	"Drug-induced causes"	"D"	248	4480089	5.54	5.60
	"Alabama"	"01"	"2002"	"2002"	"Alcohol-induced causes"	"A"	212	4480089	4.73	4.53
"Total"	"Alabama"	"01"	"2002"	"2002"			460	4480089	10.27	10.14
	"Alabama"	"01"	"2003"	"2003"	"Drug-induced causes"	"D"	255	4503491	5.66	5.76
	"Alabama"	"01"	"2003"	"2003"	"Alcohol-induced causes"	"A"	218	4503491	4.84	4.57
"Total"	"Alabama"	"01"	"2003"	"2003"			473	4503491	10.50	10.32
	"Alabama"	"01"	"2004"	"2004"	"Drug-induced causes"	"D"	327	4530729	7.22	7.31
	"Alabama"	"01"	"2004"	"2004"	"Alcohol-induced causes"	"A"	250	4530729	5.52	5.16
"Total"	"Alabama"	"01"	"2004"	"2004"			577	4530729	12.74	12.46
	"Alabama"	"01"	"2005"	"2005"	"Drug-induced causes"	"D"	332	4569805	7.27	7.42
	"Alabama"	"01"	"2005"	"2005"	"Alcohol-induced causes"	"A"	255	4569805	5.58	5.19
"Total"	"Alabama"	"01"	"2005"	"2005"			587	4569805	12.85	12.62
	"Alabama"	"01"	"2006"	"2006"	"Drug-induced causes"	"D"	466	4628981	10.07	10.21
	"Alabama"	"01"	"2006"	"2006"	"Alcohol-induced causes"	"A"	249	4628981	5.38	4.94
"Total"	"Alabama"	"01"	"2006"	"2006"			715	4628981	15.45	15.15
	"Alabama"	"01"	"2007"	"2007"	"Drug-induced causes"	"D"	554	4672840	11.86	11.99
	"Alabama"	"01"	"2007"	"2007"	"Alcohol-induced causes"	"A"	254	4672840	5.44	4.88
"Total"	"Alabama"	"01"	"2007"	"2007"			808	4672840	17.29	16.86
	"Alabama"	"01"	"2008"	"2008"	"Drug-induced causes"	"D"	646	4718206	13.69	13.78
	"Alabama"	"01"	"2008"	"2008"	"Alcohol-induced causes"	"A"	250	4718206	5.30	4.76
"Total"	"Alabama"	"01"	"2008"	"2008"			896	4718206	18.99	18.55
	"Alabama"	"01"	"2009"	"2009"	"Drug-induced causes"	"D"	688	4757938	14.46	14.77
	"Alabama"	"01"	"2009"	"2009"	"Alcohol-induced causes"	"A"	238	4757938	5.00	4.47
"Total"	"Alabama"	"01"	"2009"	"2009"			926	4757938	19.46	19.29
	"Alabama"	"01"	"2010"	"2010"	"Drug-induced causes"	"D"	585	4779736	12.24	12.58
	"Alabama"	"01"	"2010"	"2010"	"Alcohol-induced causes"	"A"	267	4779736	5.59	4.95
"Total"	"Alabama"	"01"	"2010"	"2010"			852	4779736	17.83	17.52
