"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	116	4430141	2.62	2.64
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	37	4430141	0.84	0.84
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4430141	Suppressed	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	16	4430141	Unreliable	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"All other drug-induced causes"	"D9"	26	4430141	0.59	0.59
	"Alabama"	"01"	"1999"	"1999"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	4430141	Suppressed	Suppressed
	"Alabama"	"01"	"1999"	"1999"	"All other alcohol-induced causes"	"A9"	248	4430141	5.60	5.55
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	130	4447100	2.92	2.95
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	47	4447100	1.06	1.07
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4447100	Suppressed	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	20	4447100	0.45	0.46
	"Alabama"	"01"	"2000"	"2000"	"All other drug-induced causes"	"D9"	35	4447100	0.79	0.78
	"Alabama"	"01"	"2000"	"2000"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	4447100	Suppressed	Suppressed
	"Alabama"	"01"	"2000"	"2000"	"All other alcohol-induced causes"	"A9"	236	4447100	5.31	5.24
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	166	4467634	3.72	3.74
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	36	4467634	0.81	0.83
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4467634	Suppressed	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	13	4467634	Unreliable	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"All other drug-induced causes"	"D9"	37	4467634	0.83	0.83
	"Alabama"	"01"	"2001"	"2001"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	4467634	Suppressed	Suppressed
	"Alabama"	"01"	"2001"	"2001"	"All other alcohol-induced causes"	"A9"	230	4467634	5.15	4.99
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	171	4480089	3.82	3.84
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	28	4480089	0.62	0.67
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Homicide (X85)"	"D3"	Suppressed	4480089	Suppressed	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	12	4480089	Unreliable	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"All other drug-induced causes"	"D9"	37	4480089	0.83	0.82
	"Alabama"	"01"	"2002"	"2002"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	Suppressed	4480089	Suppressed	Suppressed
	"Alabama"	"01"	"2002"	"2002"	"All other alcohol-induced causes"	"A9"	210	4480089	4.69	4.49
