"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Injury Intent"	"Injury Intent Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"Alabama"	"01"	"1999"	"1999"	"Unintentional"	"1"	2313	4430141	52.21	52.17	0.07%
	"Alabama"	"01"	"1999"	"1999"	"Suicide"	"2"	555	4430141	12.53	12.46	0.02%
	"Alabama"	"01"	"1999"	"1999"	"Homicide"	"3"	438	4430141	9.89	9.87	0.01%
	"Alabama"	"01"	"1999"	"1999"	"Undetermined "	"4"	40	4430141	0.90	0.91	0.00%
	"Alabama"	"01"	"2000"	"2000"	"Unintentional"	"1"	2093	4447100	47.06	47.02	0.06%
	"Alabama"	"01"	"2000"	"2000"	"Suicide"	"2"	583	4447100	13.11	13.11	0.02%
	"Alabama"	"01"	"2000"	"2000"	"Homicide"	"3"	444	4447100	9.98	10.02	0.01%
	"Alabama"	"01"	"2000"	"2000"	"Undetermined "	"4"	51	4447100	1.15	1.15	0.00%
	"Alabama"	"01"	"2001"	"2001"	"Unintentional"	"1"	2211	4467634	49.49	49.45	0.06%
	"Alabama"	"01"	"2001"	"2001"	"Suicide"	"2"	512	4467634	11.46	11.37	0.01%
	"Alabama"	"01"	"2001"	"2001"	"Homicide"	"3"	425	4467634	9.51	9.56	0.01%
	"Alabama"	"01"	"2001"	"2001"	"Undetermined "	"4"	30	4467634	0.67	0.65	0.00%
	"Alabama"	"01"	"2002"	"2002"	"Unintentional"	"1"	2228	4480089	49.73	49.59	0.06%
	"Alabama"	"01"	"2002"	"2002"	"Suicide"	"2"	514	4480089	11.47	11.45	0.01%
	"Alabama"	"01"	"2002"	"2002"	"Homicide"	"3"	416	4480089	9.29	9.31	0.01%
	"Alabama"	"01"	"2002"	"2002"	"Undetermined "	"4"	36	4480089	0.80	0.82	0.00%
	"Alabama"	"01"	"2003"	"2003"	"Unintentional"	"1"	2179	4503491	48.38	48.27	0.06%
	"Alabama"	"01"	"2003"	"2003"	"Suicide"	"2"	521	4503491	11.57	11.44	0.02%
	"Alabama"	"01"	"2003"	"2003"	"Homicide"	"3"	434	4503491	9.64	9.68	0.01%
	"Alabama"	"01"	"2003"	"2003"	"Undetermined "	"4"	41	4503491	0.91	0.93	0.00%
	"Alabama"	"01"	"2004"	"2004"	"Unintentional"	"1"	2403	4530729	53.04	52.98	0.07%
	"Alabama"	"01"	"2004"	"2004"	"Suicide"	"2"	541	4530729	11.94	11.73	0.02%
	"Alabama"	"01"	"2004"	"2004"	"Homicide"	"3"	369	4530729	8.14	8.25	0.01%
	"Alabama"	"01"	"2004"	"2004"	"Undetermined "	"4"	48	4530729	1.06	1.03	0.00%
	"Alabama"	"01"	"2005"	"2005"	"Unintentional"	"1"	2395	4569805	52.41	51.90	0.07%
	"Alabama"	"01"	"2005"	"2005"	"Suicide"	"2"	535	4569805	11.71	11.52	0.02%
	"Alabama"	"01"	"2005"	"2005"	"Homicide"	"3"	433	4569805	9.48	9.65	0.01%
	"Alabama"	"01"	"2005"	"2005"	"Undetermined "	"4"	66	4569805	1.44	1.49	0.00%
	"Alabama"	"01"	"2006"	"2006"	"Unintentional"	"1"	2506	4628981	54.14	53.99	0.07%
	"Alabama"	"01"	"2006"	"2006"	"Suicide"	"2"	580	4628981	12.53	12.37	0.02%
	"Alabama"	"01"	"2006"	"2006"	"Homicide"	"3"	445	4628981	9.61	9.72	0.01%
	"Alabama"	"01"	"2006"	"2006"	"Undetermined "	"4"	93	4628981	2.01	2.03	0.00%
	"Alabama"	"01"	"2007"	"2007"	"Unintentional"	"1"	2542	4672840	54.40	53.80	0.07%
	"Alabama"	"01"	"2007"	"2007"	"Suicide"	"2"	592	4672840	12.67	12.42	0.02%
	"Alabama"	"01"	"2007"	"2007"	"Homicide"	"3"	480	4672840	10.27	10.46	0.01%
	"Alabama"	"01"	"2007"	"2007"	"Undetermined "	"4"	77	4672840	1.65	1.66	0.00%
	"Alabama"	"01"	"2008"	"2008"	"Unintentional"	"1"	2509	4718206	53.18	52.52	0.07%
	"Alabama"	"01"	"2008"	"2008"	"Suicide"	"2"	604	4718206	12.80	12.56	0.02%
	"Alabama"	"01"	"2008"	"2008"	"Homicide"	"3"	454	4718206	9.62	9.83	0.01%
	"Alabama"	"01"	"2008"	"2008"	"Undetermined "	"4"	115	4718206	2.44	2.40	0.00%
	"Alabama"	"01"	"2009"	"2009"	"Unintentional"	"1"	2351	4757938	49.41	49.04	0.07%
	"Alabama"	"01"	"2009"	"2009"	"Suicide"	"2"	673	4757938	14.14	13.73	0.02%
	"Alabama"	"01"	"2009"	"2009"	"Homicide"	"3"	412	4757938	8.66	8.88	0.01%
	"Alabama"	"01"	"2009"	"2009"	"Undetermined "	"4"	67	4757938	1.41	1.38	0.00%
	"Alabama"	"01"	"2010"	"2010"	"Unintentional"	"1"	2394	4779736	50.09	49.61	0.07%
	"Alabama"	"01"	"2010"	"2010"	"Suicide"	"2"	679	4779736	14.21	13.95	0.02%
	"Alabama"	"01"	"2010"	"2010"	"Homicide"	"3"	391	4779736	8.18	8.27	0.01%
	"Alabama"	"01"	"2010"	"2010"	"Undetermined "	"4"	57	4779736	1.19	1.16	0.00%
	"Alabama"	"01"	"2011"	"2011"	"Unintentional"	"1"	2662	4802740	55.43	54.36	0.08%
	"Alabama"	"01"	"2011"	"2011"	"Suicide"	"2"	654	4802740	13.62	13.21	0.02%
	"Alabama"	"01"	"2011"	"2011"	"Homicide"	"3"	392	4802740	8.16	8.31	0.01%
	"Alabama"	"01"	"2011"	"2011"	"Undetermined "	"4"	61	4802740	1.27	1.31	0.00%
	"Alabama"	"01"	"2012"	"2012"	"Unintentional"	"1"	2283	4822023	47.35	46.57	0.07%
	"Alabama"	"01"	"2012"	"2012"	"Suicide"	"2"	724	4822023	15.01	14.74	0.02%
	"Alabama"	"01"	"2012"	"2012"	"Homicide"	"3"	405	4822023	8.40	8.66	0.01%
	"Alabama"	"01"	"2012"	"2012"	"Undetermined "	"4"	55	4822023	1.14	1.16	0.00%
	"Alabama"	"01"	"2013"	"2013"	"Unintentional"	"1"	2329	4833722	48.18	47.24	0.07%
	"Alabama"	"01"	"2013"	"2013"	"Suicide"	"2"	721	4833722	14.92	14.40	0.02%
	"Alabama"	"01"	"2013"	"2013"	"Homicide"	"3"	417	4833722	8.63	8.95	0.01%
	"Alabama"	"01"	"2013"	"2013"	"Undetermined "	"4"	67	4833722	1.39	1.34	0.00%
	"Alabama"	"01"	"2014"	"2014"	"Unintentional"	"1"	2463	4849377	50.79	49.25	0.07%
	"Alabama"	"01"	"2014"	"2014"	"Suicide"	"2"	715	4849377	14.74	14.49	0.02%
	"Alabama"	"01"	"2014"	"2014"	"Homicide"	"3"	374	4849377	7.71	8.07	0.01%
	"Alabama"	"01"	"2014"	"2014"	"Undetermined "	"4"	67	4849377	1.38	1.37	0.00%
	"Alabama"	"01"	"2015"	"2015"	"Unintentional"	"1"	2552	4858979	52.52	50.92	0.07%
	"Alabama"	"01"	"2015"	"2015"	"Suicide"	"2"	750	4858979	15.44	14.92	0.02%
	"Alabama"	"01"	"2015"	"2015"	"Homicide"	"3"	473	4858979	9.73	10.19	0.01%
	"Alabama"	"01"	"2015"	"2015"	"Undetermined "	"4"	81	4858979	1.67	1.63	0.00%
	"Alabama"	"01"	"2016"	"2016"	"Unintentional"	"1"	2755	4863300	56.65	55.52	0.08%
	"Alabama"	"01"	"2016"	"2016"	"Suicide"	"2"	788	4863300	16.20	15.66	0.02%
	"Alabama"	"01"	"2016"	"2016"	"Homicide"	"3"	544	4863300	11.19	11.79	0.02%
	"Alabama"	"01"	"2016"	"2016"	"Undetermined "	"4"	55	4863300	1.13	1.09	0.00%
	"Alabama"	"01"	"2017"	"2017"	"Unintentional"	"1"	2703	4874747	55.45	53.81	0.08%
	"Alabama"	"01"	"2017"	"2017"	"Suicide"	"2"	836	4874747	17.15	16.63	0.02%
	"Alabama"	"01"	"2017"	"2017"	"Homicide"	"3"	602	4874747	12.35	12.94	0.02%
	"Alabama"	"01"	"2017"	"2017"	"Undetermined "	"4"	67	4874747	1.37	1.29	0.00%
	"Alaska"	"02"	"1999"	"1999"	"Unintentional"	"1"	294	624779	47.06	55.91	0.01%
	"Alaska"	"02"	"1999"	"1999"	"Suicide"	"2"	96	624779	15.37	16.79	0.00%
	"Alaska"	"02"	"1999"	"1999"	"Homicide"	"3"	51	624779	8.16	8.11	0.00%
	"Alaska"	"02"	"1999"	"1999"	"Undetermined "	"4"	26	624779	4.16	4.29	0.00%
	"Alaska"	"02"	"2000"	"2000"	"Unintentional"	"1"	343	626932	54.71	64.48	0.01%
	"Alaska"	"02"	"2000"	"2000"	"Suicide"	"2"	137	626932	21.85	21.47	0.00%
	"Alaska"	"02"	"2000"	"2000"	"Homicide"	"3"	37	626932	5.90	5.64	0.00%
	"Alaska"	"02"	"2000"	"2000"	"Undetermined "	"4"	19	626932	Unreliable	Unreliable	0.00%
	"Alaska"	"02"	"2001"	"2001"	"Unintentional"	"1"	345	633714	54.44	60.54	0.01%
	"Alaska"	"02"	"2001"	"2001"	"Suicide"	"2"	102	633714	16.10	15.94	0.00%
	"Alaska"	"02"	"2001"	"2001"	"Homicide"	"3"	38	633714	6.00	5.69	0.00%
	"Alaska"	"02"	"2001"	"2001"	"Undetermined "	"4"	11	633714	Unreliable	Unreliable	0.00%
	"Alaska"	"02"	"2002"	"2002"	"Unintentional"	"1"	346	642337	53.87	59.16	0.01%
	"Alaska"	"02"	"2002"	"2002"	"Suicide"	"2"	132	642337	20.55	20.77	0.00%
	"Alaska"	"02"	"2002"	"2002"	"Homicide"	"3"	40	642337	6.23	5.86	0.00%
	"Alaska"	"02"	"2002"	"2002"	"Undetermined "	"4"	17	642337	Unreliable	Unreliable	0.00%
	"Alaska"	"02"	"2003"	"2003"	"Unintentional"	"1"	321	648414	49.51	55.39	0.01%
