county,state,year,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_jurisdiction,avg_felony_inmate_unsentenced,avg_felony_inmate_sentenced,avg_felony_inmate_total,avg_misdemean_inmate_unsentenced,avg_misdemean_inmate_sentenced,avg_misdemean_inmate_total,highest_inmate_count,mental_heath_case_open_end_month,num_new_mental_health_cases,num_inmate_get_psych_meds,num_inmate_get_mental_heath_bed,num_inmates_seen_sick_call,num_doctor_occurrences,num_offsite_medical_appointment,num_dental_encounters,avg_inmate_get_sick_bed,avg_inmate_not_assign_housing,avg_own_inmate_housed_elsewhere,avg_fed_inmate_housed_contract,avg_state_inmate_housed_contract,avg_local_inmate_housed_contract,avg_inmate_wait_transport_prison,avg_inmate_in_hospital,total_num_persons_booked,tot_pretrial_release_lack_bed,tot_sentenced_release_lack_bed,total_juv_in_custody,adp_of_maximum_security_inmates,adp_of_medium_security_inmates,adp_of_minimum_security_inmates,avg_inmates_get_medical_bed,avg_inmates_get_mental_heath_bed,avg_inmate_need_reg_med_attent,avg_inmates_need_reg_ment_health
Madera Corrections Department,California,2018-12-01,318,49,66,9,442,301,53,354,66,22,88,468,67,31,41,0,498,102,5,37,0,0,0,0,0,0,,0,423,0,0,0,,,,,,,
Madera Corrections Department,California,2018-11-01,315,48,66,9,438,297,52,349,66,23,89,488,76,44,42,0,510,101,3,61,0,1,0,0,0,0,,0,370,0,0,0,,,,,,,
Madera Corrections Department,California,2018-10-01,322,35,71,13,441,295,66,361,62,18,80,489,53,45,40,0,483,80,6,47,0,1,0,0,0,0,,0,439,0,0,0,,,,,,,
Madera Corrections Department,California,2018-09-01,330,41,73,14,458,308,69,377,63,18,81,504,55,37,37,0,594,91,2,33,0,1,0,0,0,0,1,0,403,0,6,0,,,,,,,
Madera Corrections Department,California,2018-08-01,331,50,69,9,459,313,55,368,68,23,91,488,45,61,31,0,471,106,2,41,0,1,0,0,0,0,1,0,459,0,3,0,,,,,,,
Madera Corrections Department,California,2018-07-01,332,41,74,14,461,308,69,377,65,19,84,499,42,52,30,0,467,89,4,61,0,1,0,0,0,0,1,0,511,0,7,0,,,,,,,
Madera Corrections Department,California,2018-06-01,315,48,66,9,438,298,53,351,65,22,87,472,40,43,28,0,,156,2,62,0,1,0,0,0,0,2,0,453,0,0,0,,,,,,,
Madera Corrections Department,California,2018-05-01,307,38,68,13,426,286,64,350,59,17,76,468,46,53,31,0,502,67,3,50,0,1,0,0,0,0,2,0,498,0,0,0,,,,,,,
Madera Corrections Department,California,2018-04-01,304,38,68,13,423,283,63,346,59,18,77,480,48,35,30,0,585,182,8,60,0,1,0,0,0,0,2,0,425,0,0,0,,,,,,,
Madera Corrections Department,California,2018-03-01,336,39,76,12,463,309,68,377,66,20,86,490,50,47,31,0,549,124,19,48,0,1,0,0,0,0,1,0,,0,0,0,,,,,,,
Madera Corrections Department,California,2018-02-01,334,40,75,12,461,308,68,376,66,19,85,503,49,40,30,0,442,64,19,56,0,1,0,0,0,0,1,0,469,0,0,0,,,,,,,
Madera Corrections Department,California,2018-01-01,311,48,64,10,433,295,54,349,64,20,84,469,50,47,30,0,542,125,7,65,0,1,0,0,0,0,1,0,443,0,0,0,,,,,,,
Madera Corrections Department,California,2017-12-01,311,54,57,9,431,305,46,351,60,20,80,483,41,41,27,0,550,100,0,36,0,1,0,0,0,0,1,0,345,0,0,0,,,,,,,
Madera Corrections Department,California,2017-11-01,335,53,78,7,473,322,64,386,66,21,87,494,48,53,33,0,625,77,2,53,0,1,0,0,0,0,1,0,385,0,0,0,,,,,,,
Madera Corrections Department,California,2017-10-01,319,46,68,9,442,299,57,356,66,20,86,482,42,66,31,0,568,159,9,67,0,1,0,0,0,0,1,0,429,0,0,0,,,,,,,
Madera Corrections Department,California,2017-09-01,294,46,81,11,432,283,74,357,57,18,75,493,51,30,37,0,507,91,9,37,1,1,0,0,0,0,1,0,429,0,0,0,,,,,,,
Madera Corrections Department,California,2017-08-01,288,42,82,10,422,273,68,341,57,24,81,488,53,78,39,0,607,166,9,41,1,1,0,0,0,0,1,0,438,0,0,0,,,,,,,
Madera Corrections Department,California,2017-07-01,280,37,74,8,399,268,60,328,49,22,71,499,43,56,31,0,690,149,4,52,0,1,0,0,0,0,1,0,434,0,0,0,,,,,,,
Madera Corrections Department,California,2017-06-01,261,39,64,2,366,255,47,302,45,19,64,482,44,66,37,0,631,127,6,41,1,1,0,0,0,0,1,0,431,0,0,0,,,,,,,
