cohort,school_ID_num,school_name,school_type,program,degree_type,number_people_in_cohort,median_debt,mean_debt
2015_2016,013029,Boricua College,Private,"Business Administration, Management and Operations.",Bachelor's Degree,,,
2016_2017,013029,Boricua College,Private,"Business Administration, Management and Operations.",Bachelor's Degree,,,
2015_2016,013029,Boricua College,Private,Community Organization and Advocacy.,Bachelor's Degree,,6049,7660
2015_2016,013029,Boricua College,Private,Community Organization and Advocacy.,Master's Degree,,,
2016_2017,013029,Boricua College,Private,Community Organization and Advocacy.,Bachelor's Degree,,6075,7943
2016_2017,013029,Boricua College,Private,Community Organization and Advocacy.,Master's Degree,,,
2015_2016,013029,Boricua College,Private,"Human Services, General.",Bachelor's Degree,,,
2015_2016,013029,Boricua College,Private,"Human Services, General.",Master's Degree,,,
2016_2017,013029,Boricua College,Private,"Human Services, General.",Bachelor's Degree,,,
2016_2017,013029,Boricua College,Private,"Human Services, General.",Master's Degree,,,
2015_2016,013029,Boricua College,Private,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,,,
2015_2016,013029,Boricua College,Private,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,,,
2015_2016,013029,Boricua College,Private,"Liberal Arts and Sciences, General Studies and Humanities.",Master's Degree,,,
2016_2017,013029,Boricua College,Private,"Liberal Arts and Sciences, General Studies and Humanities.",Associate's Degree,,,
2016_2017,013029,Boricua College,Private,"Liberal Arts and Sciences, General Studies and Humanities.",Bachelor's Degree,,,
2016_2017,013029,Boricua College,Private,"Liberal Arts and Sciences, General Studies and Humanities.",Master's Degree,,,
2015_2016,013029,Boricua College,Private,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,14,,8331
2015_2016,013029,Boricua College,Private,"Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,,,
2016_2017,013029,Boricua College,Private,"Teacher Education and Professional Development, Specific Levels and Methods.",Bachelor's Degree,23,6000,8145
2016_2017,013029,Boricua College,Private,"Teacher Education and Professional Development, Specific Levels and Methods.",Master's Degree,,,
2015_2016,013029,Boricua College,Private,Teaching English or French as a Second or Foreign Language.,Master's Degree,,,
2016_2017,013029,Boricua College,Private,Teaching English or French as a Second or Foreign Language.,Master's Degree,,,
