cohort,school_ID_num,school_name,school_type,program,degree_type,number_people_in_cohort,median_debt,mean_debt
2015_2016,001355,Lamar Community College,Public,Accounting and Related Services.,Undergraduate Certificate or Diploma,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,Accounting and Related Services.,Undergraduate Certificate or Diploma,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,Agricultural and Domestic Animal Services.,Undergraduate Certificate or Diploma,10,NA,7650
2015_2016,001355,Lamar Community College,Public,Agricultural and Domestic Animal Services.,Associate's Degree,13,NA,10067
2016_2017,001355,Lamar Community College,Public,Agricultural and Domestic Animal Services.,Undergraduate Certificate or Diploma,12,NA,6278
2016_2017,001355,Lamar Community College,Public,Agricultural and Domestic Animal Services.,Associate's Degree,23,9303,8805
2015_2016,001355,Lamar Community College,Public,Agricultural Business and Management.,Undergraduate Certificate or Diploma,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,Agricultural Business and Management.,Associate's Degree,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,Agricultural Business and Management.,Undergraduate Certificate or Diploma,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,Agricultural Business and Management.,Associate's Degree,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,Allied Health and Medical Assisting Services.,Undergraduate Certificate or Diploma,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Undergraduate Certificate or Diploma,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,"Allied Health Diagnostic, Intervention, and Treatment Professions.",Undergraduate Certificate or Diploma,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,Business Operations Support and Assistant Services.,Undergraduate Certificate or Diploma,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,Business Operations Support and Assistant Services.,Associate's Degree,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,Business Operations Support and Assistant Services.,Undergraduate Certificate or Diploma,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,Business Operations Support and Assistant Services.,Associate's Degree,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,"Computer and Information Sciences, General.",Associate's Degree,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,"Computer and Information Sciences, General.",Associate's Degree,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,Computer/Information Technology Administration and Management.,Undergraduate Certificate or Diploma,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,Computer/Information Technology Administration and Management.,Associate's Degree,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,Computer/Information Technology Administration and Management.,Undergraduate Certificate or Diploma,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,Computer/Information Technology Administration and Management.,Associate's Degree,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,"Construction Trades, General.",Undergraduate Certificate or Diploma,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,"Construction Trades, General.",Associate's Degree,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,"Construction Trades, General.",Undergraduate Certificate or Diploma,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,"Construction Trades, General.",Associate's Degree,NA,NA,9048
2015_2016,001355,Lamar Community College,Public,Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,Cosmetology and Related Personal Grooming Services.,Associate's Degree,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,Cosmetology and Related Personal Grooming Services.,Undergraduate Certificate or Diploma,12,NA,6117
2016_2017,001355,Lamar Community College,Public,Cosmetology and Related Personal Grooming Services.,Associate's Degree,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,Entrepreneurial and Small Business Operations.,Undergraduate Certificate or Diploma,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,Entrepreneurial and Small Business Operations.,Undergraduate Certificate or Diploma,NA,NA,NA
2015_2016,001355,Lamar Community College,Public,Environmental Control Technologies/Technicians.,Associate's Degree,NA,NA,NA
2016_2017,001355,Lamar Community College,Public,Environmental Control Technologies/Technicians.,Associate's Degree,NA,NA,NA
