state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
washington,2016,0.96,0.52,0.7799999999999999,2.2600000000000002,228,103,162,482
washington,2015,0.97,0.53,0.77,2.2600000000000002,230,105,160,482
washington,2014,0.97,0.53,0.76,2.2600000000000002,230,105,158,482
washington,2013,0.9500000000000001,0.53,0.76,2.24,225,105,158,478
washington,2012,0.96,0.53,0.76,2.25,228,105,158,480
washington,2011,0.97,0.54,0.75,2.25,230,107,156,480
washington,2010,1.01,0.52,0.73,2.25,239,103,152,480
washington,2009,1.1,0.51,0.74,2.34,261,101,154,499
washington,2008,1.11,0.5,0.75,2.3699999999999997,263,99,156,506
washington,2007,1.1400000000000001,0.5,0.74,2.38,270,99,154,508
washington,2006,1.08,0.48000000000000004,0.72,2.2800000000000002,256,95,149,486
washington,2005,1.11,0.55,0.6799999999999999,2.34,263,109,141,499
washington,2004,1.11,0.53,0.6599999999999999,2.3,263,105,137,491
washington,2003,1.07,0.47000000000000003,0.6799999999999999,2.21,254,93,141,471
washington,2002,1.09,0.43000000000000005,0.6599999999999999,2.17,258,85,137,463
washington,2001,1.09,0.4,0.65,2.15,258,79,135,459
washington,2000,1.11,0.41000000000000003,0.6599999999999999,2.18,263,81,137,465
washington,1999,1.11,0.4,0.63,2.14,263,79,131,457
washington,1998,1.12,0.39,0.63,2.14,265,77,131,457
washington,1997,1.09,0.42000000000000004,0.63,2.15,258,83,131,459
washington,1996,1.09,0.4,0.63,2.12,258,79,131,452
washington,1995,1.1700000000000002,0.4,0.63,2.2,277,79,131,469
washington,1994,1.1800000000000002,0.39,0.65,2.23,280,77,135,476
washington,1993,1.1900000000000002,0.39,0.69,2.27,282,77,143,484
washington,1992,1.26,0.46,0.72,2.44,299,91,149,521
washington,1991,1.23,0.43000000000000005,0.73,2.3899999999999997,292,85,152,510
washington,1990,1.27,0.46,0.76,2.4899999999999998,301,91,158,531
washington,1989,1.25,0.47000000000000003,0.76,2.4699999999999998,296,93,158,527
washington,1988,1.23,0.5,0.77,2.51,292,99,160,535
washington,1987,1.24,0.56,0.7899999999999999,2.59,294,111,164,553
washington,1986,1.23,0.61,0.8200000000000001,2.66,292,121,170,567
washington,1985,1.21,0.59,0.8700000000000001,2.67,287,117,181,570
washington,1984,1.23,0.5700000000000001,0.91,2.7,292,113,189,576
washington,1983,1.29,0.54,0.9400000000000001,2.7600000000000002,306,107,195,589
washington,1982,1.32,0.52,0.98,2.8299999999999996,313,103,203,604
washington,1981,1.3800000000000001,0.54,1.04,2.96,327,107,216,631
washington,1980,1.51,0.51,1.08,3.1,358,101,224,661
washington,1979,1.3900000000000001,0.47000000000000003,1.08,2.94,329,93,224,627
washington,1978,1.36,0.47000000000000003,1.07,2.9099999999999997,322,93,222,621
washington,1977,1.34,0.45,1.06,2.8499999999999996,318,89,220,608
