state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Oregon,2017,294,117,193,589
Oregon,2016,294,119,191,589
Oregon,2015,292,115,187,578
Oregon,2014,294,113,187,576
Oregon,2013,284,113,185,567
Oregon,2012,287,113,185,567
Oregon,2011,280,111,176,555
Oregon,2010,282,97,172,535
Oregon,2009,303,97,170,553
Oregon,2008,289,97,172,542
Oregon,2007,320,99,168,565
Oregon,2006,313,97,162,553
Oregon,2005,275,99,156,512
Oregon,2004,292,97,149,521
Oregon,2003,284,93,143,503
Oregon,2002,289,91,137,499
Oregon,2001,289,85,135,491
Oregon,2000,284,87,133,486
Oregon,1999,287,85,131,484
Oregon,1998,284,85,127,480
Oregon,1997,282,87,125,478
Oregon,1996,292,87,127,484
Oregon,1995,287,83,122,476
Oregon,1994,292,73,129,471
Oregon,1993,294,85,133,493
Oregon,1992,306,91,139,514
Oregon,1991,303,87,139,508
Oregon,1990,313,93,152,535
Oregon,1989,303,93,145,525
Oregon,1988,306,103,149,538
Oregon,1987,303,105,152,542
Oregon,1986,303,109,154,548
Oregon,1985,296,109,160,550
Oregon,1984,303,105,170,561
Oregon,1983,313,105,176,576
Oregon,1982,313,103,183,580
Oregon,1981,325,99,191,595
Oregon,1980,322,99,195,599
Oregon,1979,322,93,195,591
Oregon,1978,313,91,199,585
Oregon,1977,308,89,195,576
