state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Texas,2017,301,69,149,499
Texas,2016,308,67,143,499
Texas,2015,303,65,139,489
Texas,2014,296,65,135,476
Texas,2013,308,64,131,480
Texas,2012,315,64,131,486
Texas,2011,320,62,127,484
Texas,2010,320,58,122,476
Texas,2009,334,56,120,482
Texas,2008,339,54,120,486
Texas,2007,334,54,116,478
Texas,2006,339,52,114,478
Texas,2005,339,50,110,469
Texas,2004,344,48,108,471
Texas,2003,346,46,106,467
Texas,2002,353,44,104,471
Texas,2001,358,42,102,471
Texas,2000,363,44,104,480
Texas,1999,365,40,102,476
Texas,1998,360,40,104,471
Texas,1997,370,38,98,474
Texas,1996,372,40,102,482
Texas,1995,375,38,104,484
Texas,1994,379,40,106,493
Texas,1993,379,40,110,497
Texas,1992,391,48,114,523
Texas,1991,379,50,114,512
Texas,1990,389,52,120,527
Texas,1989,384,54,120,525
Texas,1988,382,56,122,527
Texas,1987,384,58,127,538
Texas,1986,396,62,135,561
Texas,1985,398,60,152,578
Texas,1984,410,56,164,597
Texas,1983,408,54,164,593
Texas,1982,434,36,174,606
Texas,1981,436,48,176,627
Texas,1980,415,44,166,591
Texas,1979,403,28,174,572
Texas,1978,389,28,170,555
Texas,1977,377,28,162,535
