state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Virginia,2018,223,97,145,454
Virginia,2017,228,97,139,454
Virginia,2016,237,97,137,457
Virginia,2015,237,95,135,454
Virginia,2014,239,93,131,450
Virginia,2013,242,91,129,448
Virginia,2012,247,91,129,454
Virginia,2011,249,91,127,452
Virginia,2010,256,87,125,452
Virginia,2009,261,83,120,450
Virginia,2008,265,83,120,452
Virginia,2007,268,81,118,448
Virginia,2006,268,77,116,444
Virginia,2005,268,75,112,437
Virginia,2004,270,73,110,435
Virginia,2003,270,71,108,431
Virginia,2002,273,67,106,427
Virginia,2001,273,64,104,420
Virginia,2000,275,62,102,420
Virginia,1999,280,64,100,420
Virginia,1998,277,60,98,416
Virginia,1997,263,58,100,401
Virginia,1996,265,60,102,407
Virginia,1995,273,58,104,414
Virginia,1994,284,54,106,425
Virginia,1993,294,54,112,437
Virginia,1992,296,56,118,448
Virginia,1991,284,56,120,439
Virginia,1990,296,60,129,465
Virginia,1989,292,62,135,465
Virginia,1988,311,50,139,478
Virginia,1987,329,50,145,501
Virginia,1986,360,54,152,538
Virginia,1985,344,60,164,542
Virginia,1984,346,58,166,544
Virginia,1983,348,54,170,546
Virginia,1982,346,54,179,553
Virginia,1981,292,54,185,510
Virginia,1980,292,50,187,508
Virginia,1979,287,50,187,503
Virginia,1978,284,42,185,491
Virginia,1977,277,42,185,484
