state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
US Total,2018,249,87,181,501
US Total,2017,251,87,176,501
US Total,2016,256,87,172,501
US Total,2015,258,83,168,497
US Total,2014,261,85,166,495
US Total,2013,265,83,164,497
US Total,2012,268,83,162,499
US Total,2011,265,81,158,489
US Total,2010,270,75,154,482
US Total,2009,277,77,152,489
US Total,2008,284,75,152,493
US Total,2007,287,75,149,493
US Total,2006,284,73,147,486
US Total,2005,284,71,145,480
US Total,2004,287,69,141,478
US Total,2003,287,67,139,474
US Total,2002,292,65,133,469
US Total,2001,292,62,133,465
US Total,2000,292,62,133,467
US Total,1999,292,62,131,463
US Total,1998,289,60,129,459
US Total,1997,289,60,129,459
US Total,1996,292,60,131,461
US Total,1995,294,58,131,459
US Total,1994,296,56,135,465
US Total,1993,299,56,141,476
US Total,1992,306,60,147,491
US Total,1991,306,60,147,491
US Total,1990,318,65,160,523
US Total,1989,313,67,162,518
US Total,1988,315,71,164,531
US Total,1987,318,75,172,544
US Total,1986,320,77,174,550
US Total,1985,315,75,189,559
US Total,1984,320,73,195,565
US Total,1983,325,71,199,574
US Total,1982,327,71,203,580
US Total,1981,329,69,212,589
US Total,1980,325,67,216,587
US Total,1979,318,62,216,576
US Total,1978,308,60,218,567
US Total,1977,301,58,216,555
