state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
louisiana,2016,1.25,0.33999999999999997,1,2.59,296,67,208,553
louisiana,2015,1.27,0.32999999999999996,0.98,2.59,301,65,203,553
louisiana,2014,1.3,0.32999999999999996,0.9500000000000001,2.58,308,65,197,550
louisiana,2013,1.34,0.32,0.93,2.58,318,64,193,550
louisiana,2012,1.3800000000000001,0.32,0.9,2.59,327,64,187,553
louisiana,2011,1.3900000000000001,0.3,0.88,2.57,329,60,183,548
louisiana,2010,1.42,0.28,0.8400000000000001,2.55,337,56,174,544
louisiana,2009,1.5,0.28,0.8500000000000001,2.63,356,56,176,561
louisiana,2008,1.55,0.26,0.8300000000000001,2.64,367,52,172,563
louisiana,2007,1.57,0.27,0.81,2.66,372,54,168,567
louisiana,2006,1.59,0.25,0.7799999999999999,2.63,377,50,162,561
louisiana,2005,1.47,0.24000000000000002,0.71,2.4099999999999997,348,48,147,514
louisiana,2004,1.3800000000000001,0.26,0.73,2.36,327,52,152,503
louisiana,2003,1.41,0.25,0.72,2.38,334,50,149,508
louisiana,2002,1.32,0.24000000000000002,0.7,2.2600000000000002,313,48,145,482
louisiana,2001,1.49,0.23,0.69,2.4099999999999997,353,46,143,514
louisiana,2000,1.51,0.22,0.7,2.44,358,44,145,521
louisiana,1999,1.52,0.24000000000000002,0.69,2.4499999999999997,360,48,143,523
louisiana,1998,1.48,0.23,0.7,2.4,351,46,145,512
louisiana,1997,1.51,0.23,0.71,2.44,358,46,147,521
louisiana,1996,1.52,0.22,0.72,2.46,360,44,149,525
louisiana,1995,1.51,0.21000000000000002,0.73,2.46,358,42,152,525
louisiana,1994,1.45,0.21000000000000002,0.73,2.3899999999999997,344,42,152,510
louisiana,1993,1.53,0.21000000000000002,0.72,2.4699999999999998,363,42,149,527
louisiana,1992,1.55,0.22,0.74,2.51,367,44,154,535
louisiana,1991,1.52,0.21000000000000002,0.73,2.46,360,42,152,525
louisiana,1990,1.53,0.23,0.7799999999999999,2.54,363,46,162,542
louisiana,1989,1.47,0.24000000000000002,0.74,2.4499999999999997,348,48,154,523
louisiana,1988,1.49,0.24000000000000002,0.71,2.44,353,48,147,521
louisiana,1987,1.4,0.25,0.77,2.4099999999999997,332,50,160,514
louisiana,1986,1.42,0.26,0.7899999999999999,2.4699999999999998,337,52,164,527
louisiana,1985,1.37,0.28,0.8700000000000001,2.52,325,56,181,538
louisiana,1984,1.42,0.29000000000000004,0.9500000000000001,2.66,337,58,197,567
louisiana,1983,1.44,0.31,1.03,2.77,341,62,214,591
louisiana,1982,1.49,0.3,1,2.7800000000000002,353,60,208,593
louisiana,1981,1.49,0.28,1.02,2.79,353,56,212,595
louisiana,1980,1.4,0.27,1.03,2.7,332,54,214,576
louisiana,1979,1.32,0.25,1.04,2.61,313,50,216,557
louisiana,1978,1.32,0.25,1.04,2.6,313,50,216,555
louisiana,1977,1.27,0.25,1,2.51,301,50,208,535
