state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Illinois,2016,265,85,160,495
Illinois,2015,268,85,166,503
Illinois,2014,265,83,162,495
Illinois,2013,268,83,162,497
Illinois,2012,273,85,160,503
Illinois,2011,282,81,156,501
Illinois,2010,289,79,154,501
Illinois,2009,294,77,152,503
Illinois,2008,292,75,154,499
Illinois,2007,294,81,154,508
Illinois,2006,294,73,154,501
Illinois,2005,292,67,147,489
Illinois,2004,294,64,139,474
Illinois,2003,299,69,154,503
Illinois,2002,303,65,135,482
Illinois,2001,301,64,141,486
Illinois,2000,303,64,131,478
Illinois,1999,306,65,137,484
Illinois,1998,301,67,133,480
Illinois,1997,299,69,135,482
Illinois,1996,301,69,141,491
Illinois,1995,308,65,137,489
Illinois,1994,313,67,143,501
Illinois,1993,313,67,149,508
Illinois,1992,318,69,154,518
Illinois,1991,327,67,158,529
Illinois,1990,339,71,170,559
Illinois,1989,337,71,176,561
Illinois,1988,344,75,181,576
Illinois,1987,339,77,183,578
Illinois,1986,337,77,189,580
Illinois,1985,329,75,206,589
Illinois,1984,334,73,212,597
Illinois,1983,339,69,214,602
Illinois,1982,337,69,222,606
Illinois,1981,341,69,233,621
Illinois,1980,337,65,255,638
Illinois,1979,337,64,239,617
Illinois,1978,320,62,243,604
Illinois,1977,313,60,249,602
