state,year,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
Massachusetts,2016,225,129,201,548
Massachusetts,2015,230,129,189,538
Massachusetts,2014,232,131,189,544
Massachusetts,2013,237,131,185,546
Massachusetts,2012,244,129,183,548
Massachusetts,2011,242,127,183,542
Massachusetts,2010,247,123,174,533
Massachusetts,2009,244,123,176,531
Massachusetts,2008,256,123,174,542
Massachusetts,2007,263,123,181,553
Massachusetts,2006,261,121,176,546
Massachusetts,2005,254,117,176,535
Massachusetts,2004,261,115,174,538
Massachusetts,2003,261,111,170,531
Massachusetts,2002,268,107,166,527
Massachusetts,2001,268,103,164,521
Massachusetts,2000,275,101,181,544
Massachusetts,1999,258,101,164,510
Massachusetts,1998,270,99,156,510
Massachusetts,1997,268,97,158,510
Massachusetts,1996,263,95,160,501
Massachusetts,1995,268,87,162,501
Massachusetts,1994,270,87,166,508
Massachusetts,1993,270,87,166,508
Massachusetts,1992,265,87,170,508
Massachusetts,1991,282,85,181,531
Massachusetts,1990,289,89,201,561
Massachusetts,1989,294,91,208,576
Massachusetts,1988,301,97,218,599
Massachusetts,1987,301,99,230,614
Massachusetts,1986,306,103,230,623
Massachusetts,1985,303,99,247,634
Massachusetts,1984,306,99,255,644
Massachusetts,1983,322,97,249,651
Massachusetts,1982,320,99,253,655
Massachusetts,1981,341,97,257,676
Massachusetts,1980,346,89,262,678
Massachusetts,1979,332,85,257,655
Massachusetts,1978,327,81,262,651
Massachusetts,1977,320,73,260,634
