state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
virginia,2016,1,0.49,0.6599999999999999,2.14,237,97,137,457
virginia,2015,1,0.48000000000000004,0.65,2.13,237,95,135,454
virginia,2014,1.01,0.47000000000000003,0.63,2.11,239,93,131,450
virginia,2013,1.02,0.46,0.62,2.1,242,91,129,448
virginia,2012,1.04,0.46,0.62,2.12,247,91,129,452
virginia,2011,1.05,0.46,0.61,2.12,249,91,127,452
virginia,2010,1.08,0.44,0.6,2.12,256,87,125,452
virginia,2009,1.1,0.42000000000000004,0.58,2.11,261,83,120,450
virginia,2008,1.12,0.42000000000000004,0.58,2.12,265,83,120,452
virginia,2007,1.1300000000000001,0.41000000000000003,0.5700000000000001,2.1,268,81,118,448
virginia,2006,1.1300000000000001,0.39,0.56,2.08,268,77,116,444
virginia,2005,1.1300000000000001,0.38,0.54,2.05,268,75,112,437
virginia,2004,1.1400000000000001,0.37,0.53,2.04,270,73,110,435
virginia,2003,1.1400000000000001,0.36,0.52,2.02,270,71,108,431
virginia,2002,1.1500000000000001,0.33999999999999997,0.51,2,273,67,106,427
virginia,2001,1.1500000000000001,0.32,0.5,1.97,273,64,104,420
virginia,2000,1.1600000000000001,0.31,0.49,1.97,275,62,102,420
virginia,1999,1.1800000000000002,0.32,0.48000000000000004,1.97,280,64,100,420
virginia,1998,1.1700000000000002,0.3,0.47000000000000003,1.95,277,60,98,416
virginia,1997,1.11,0.29000000000000004,0.48000000000000004,1.8800000000000001,263,58,100,401
virginia,1996,1.12,0.3,0.49,1.91,265,60,102,407
virginia,1995,1.1500000000000001,0.29000000000000004,0.5,1.94,273,58,104,414
virginia,1994,1.2,0.27,0.51,1.99,284,54,106,425
virginia,1993,1.24,0.27,0.54,2.05,294,54,112,437
virginia,1992,1.25,0.28,0.5700000000000001,2.1,296,56,118,448
virginia,1991,1.2,0.28,0.58,2.06,284,56,120,439
virginia,1990,1.25,0.3,0.62,2.18,296,60,129,465
virginia,1989,1.23,0.31,0.65,2.18,292,62,135,465
virginia,1988,1.31,0.25,0.6699999999999999,2.24,311,50,139,478
virginia,1987,1.3900000000000001,0.25,0.7,2.3499999999999996,329,50,145,501
virginia,1986,1.52,0.27,0.73,2.52,360,54,152,538
virginia,1985,1.45,0.3,0.7899999999999999,2.54,344,60,164,542
virginia,1984,1.46,0.29000000000000004,0.8,2.55,346,58,166,544
virginia,1983,1.47,0.27,0.8200000000000001,2.56,348,54,170,546
virginia,1982,1.46,0.27,0.8600000000000001,2.59,346,54,179,553
virginia,1981,1.23,0.27,0.89,2.3899999999999997,292,54,185,510
virginia,1980,1.23,0.25,0.9,2.38,292,50,187,508
virginia,1979,1.21,0.25,0.9,2.36,287,50,187,503
virginia,1978,1.2,0.21000000000000002,0.89,2.3,284,42,185,491
virginia,1977,1.1700000000000002,0.21000000000000002,0.89,2.27,277,42,185,484
