state,year,ethanol_beer_gallons_per_capita,ethanol_wine_gallons_per_capita,ethanol_spirit_gallons_per_capita,ethanol_all_drinks_gallons_per_capita,number_of_beers,number_of_glasses_wine,number_of_shots_liquor,number_of_drinks_total
oregon,2016,1.24,0.6,0.91,2.75,294,119,189,587
oregon,2015,1.23,0.58,0.9,2.71,292,115,187,578
oregon,2014,1.23,0.5700000000000001,0.9,2.7,292,113,187,576
oregon,2013,1.2,0.5700000000000001,0.89,2.66,284,113,185,567
oregon,2012,1.21,0.5700000000000001,0.89,2.66,287,113,185,567
oregon,2011,1.1800000000000002,0.56,0.8500000000000001,2.59,280,111,176,553
oregon,2010,1.1900000000000002,0.49,0.8300000000000001,2.51,282,97,172,535
oregon,2009,1.28,0.49,0.8200000000000001,2.59,303,97,170,553
oregon,2008,1.22,0.49,0.8300000000000001,2.54,289,97,172,542
oregon,2007,1.35,0.5,0.81,2.65,320,99,168,565
oregon,2006,1.32,0.49,0.7799999999999999,2.59,313,97,162,553
oregon,2005,1.1600000000000001,0.5,0.75,2.4,275,99,156,512
oregon,2004,1.23,0.49,0.72,2.44,292,97,149,521
oregon,2003,1.2,0.47000000000000003,0.69,2.36,284,93,143,503
oregon,2002,1.22,0.46,0.6599999999999999,2.34,289,91,137,499
oregon,2001,1.22,0.43000000000000005,0.65,2.3,289,85,135,491
oregon,2000,1.2,0.44,0.64,2.2800000000000002,284,87,133,486
oregon,1999,1.21,0.43000000000000005,0.63,2.27,287,85,131,484
oregon,1998,1.2,0.43000000000000005,0.61,2.25,284,85,127,480
oregon,1997,1.1900000000000002,0.44,0.6,2.24,282,87,125,478
oregon,1996,1.23,0.44,0.61,2.27,292,87,127,484
oregon,1995,1.21,0.42000000000000004,0.59,2.23,287,83,122,476
oregon,1994,1.23,0.37,0.62,2.21,292,73,129,471
oregon,1993,1.24,0.43000000000000005,0.64,2.3099999999999996,294,85,133,493
oregon,1992,1.29,0.46,0.6699999999999999,2.4099999999999997,306,91,139,514
oregon,1991,1.28,0.44,0.6699999999999999,2.38,303,87,139,508
oregon,1990,1.32,0.47000000000000003,0.73,2.51,313,93,152,535
oregon,1989,1.28,0.47000000000000003,0.7,2.46,303,93,145,525
oregon,1988,1.29,0.52,0.72,2.52,306,103,149,538
oregon,1987,1.28,0.53,0.73,2.54,303,105,152,542
oregon,1986,1.28,0.55,0.74,2.57,303,109,154,548
oregon,1985,1.25,0.55,0.77,2.58,296,109,160,550
oregon,1984,1.28,0.53,0.8200000000000001,2.63,303,105,170,561
oregon,1983,1.32,0.53,0.8500000000000001,2.7,313,105,176,576
oregon,1982,1.32,0.52,0.88,2.72,313,103,183,580
oregon,1981,1.37,0.5,0.92,2.79,325,99,191,595
oregon,1980,1.36,0.5,0.9400000000000001,2.8099999999999996,322,99,195,599
oregon,1979,1.36,0.47000000000000003,0.9400000000000001,2.77,322,93,195,591
oregon,1978,1.32,0.46,0.96,2.74,313,91,199,585
oregon,1977,1.3,0.45,0.9400000000000001,2.7,308,89,195,576
