sector,fiscal_year,number_of_agents
New Orleans,1992,41
New Orleans,1993,41
New Orleans,1994,38
New Orleans,1995,34
New Orleans,1996,41
New Orleans,1997,40
New Orleans,1998,40
New Orleans,1999,43
New Orleans,2000,41
New Orleans,2001,41
New Orleans,2002,43
New Orleans,2003,44
New Orleans,2004,41
New Orleans,2005,46
New Orleans,2006,41
New Orleans,2007,52
New Orleans,2008,58
New Orleans,2009,65
New Orleans,2010,78
New Orleans,2011,70
New Orleans,2012,72
New Orleans,2013,62
New Orleans,2014,62
New Orleans,2015,66
New Orleans,2016,67
New Orleans,2017,63
New Orleans,2018,65
New Orleans,2019,69
