sector,fiscal_year,total_apprehensions
El_Centro,1960,1839
El_Centro,1961,1878
El_Centro,1962,1426
El_Centro,1963,1690
El_Centro,1964,2640
El_Centro,1965,5344
El_Centro,1966,6916
El_Centro,1967,6974
El_Centro,1968,8358
El_Centro,1969,9195
El_Centro,1970,12028
El_Centro,1971,14292
El_Centro,1972,15327
El_Centro,1973,23125
El_Centro,1974,26143
El_Centro,1975,27217
El_Centro,1976,32327
El_Centro,1977,38421
El_Centro,1978,42118
El_Centro,1979,55532
El_Centro,1980,57009
El_Centro,1981,59774
El_Centro,1982,55440
El_Centro,1983,71897
El_Centro,1984,68563
El_Centro,1985,71519
El_Centro,1986,95186
El_Centro,1987,55291
El_Centro,1988,41179
El_Centro,1989,27524
El_Centro,1990,28708
El_Centro,1991,30450
El_Centro,1992,29852
El_Centro,1993,30058
El_Centro,1994,27654
El_Centro,1995,37317
El_Centro,1996,66873
El_Centro,1997,146210
El_Centro,1998,226695
El_Centro,1999,225279
El_Centro,2000,238126
El_Centro,2001,172852
El_Centro,2002,108273
El_Centro,2003,92099
El_Centro,2004,74467
El_Centro,2005,55722
El_Centro,2006,61465
El_Centro,2007,55883
El_Centro,2008,40961
El_Centro,2009,33521
El_Centro,2010,32562
El_Centro,2011,30191
El_Centro,2012,23916
El_Centro,2013,16306
El_Centro,2014,14511
El_Centro,2015,12820
El_Centro,2016,19448
El_Centro,2017,18633
El_Centro,2018,29230
