sector,fiscal_year,total_apprehensions
El Centro,1960,1839
El Centro,1961,1878
El Centro,1962,1426
El Centro,1963,1690
El Centro,1964,2640
El Centro,1965,5344
El Centro,1966,6916
El Centro,1967,6974
El Centro,1968,8358
El Centro,1969,9195
El Centro,1970,12028
El Centro,1971,14292
El Centro,1972,15327
El Centro,1973,23125
El Centro,1974,26143
El Centro,1975,27217
El Centro,1976,32327
El Centro,1977,38421
El Centro,1978,42118
El Centro,1979,55532
El Centro,1980,57009
El Centro,1981,59774
El Centro,1982,55440
El Centro,1983,71897
El Centro,1984,68563
El Centro,1985,71519
El Centro,1986,95186
El Centro,1987,55291
El Centro,1988,41179
El Centro,1989,27524
El Centro,1990,28708
El Centro,1991,30450
El Centro,1992,29852
El Centro,1993,30058
El Centro,1994,27654
El Centro,1995,37317
El Centro,1996,66873
El Centro,1997,146210
El Centro,1998,226695
El Centro,1999,225279
El Centro,2000,238126
El Centro,2001,172852
El Centro,2002,108273
El Centro,2003,92099
El Centro,2004,74467
El Centro,2005,55722
El Centro,2006,61465
El Centro,2007,55883
El Centro,2008,40961
El Centro,2009,33521
El Centro,2010,32562
El Centro,2011,30191
El Centro,2012,23916
El Centro,2013,16306
El Centro,2014,14511
El Centro,2015,12820
El Centro,2016,19448
El Centro,2017,18633
El Centro,2018,29230
