sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
Northern_Border_Total,2000,24216,NA,NA
Northern_Border_Total,2001,24676,NA,NA
Northern_Border_Total,2002,20974,NA,NA
Northern_Border_Total,2003,20314,NA,NA
Northern_Border_Total,2004,19918,NA,NA
Northern_Border_Total,2005,14686,NA,NA
Northern_Border_Total,2006,13198,NA,NA
Northern_Border_Total,2007,12760,NA,NA
Northern_Border_Total,2008,15850,NA,NA
Northern_Border_Total,2009,13612,NA,NA
Northern_Border_Total,2010,14862,244,NA
Northern_Border_Total,2011,12246,152,NA
Northern_Border_Total,2012,8420,100,NA
Northern_Border_Total,2013,6460,60,268
Northern_Border_Total,2014,6676,50,228
Northern_Border_Total,2015,5252,28,168
Northern_Border_Total,2016,4566,34,134
Northern_Border_Total,2017,6054,92,262
Northern_Border_Total,2018,8632,106,460
