sector,fiscal_year,total_apprehensions
Tucson,1960,1255
Tucson,1961,1178
Tucson,1962,1247
Tucson,1963,1466
Tucson,1964,1200
Tucson,1965,1480
Tucson,1966,2392
Tucson,1967,3068
Tucson,1968,4537
Tucson,1969,8301
Tucson,1970,14222
Tucson,1971,23548
Tucson,1972,32272
Tucson,1973,44824
Tucson,1974,50108
Tucson,1975,39941
Tucson,1976,34641
Tucson,1977,33295
Tucson,1978,34991
Tucson,1979,37075
Tucson,1980,33668
Tucson,1981,33085
Tucson,1982,32344
Tucson,1983,35870
Tucson,1984,46283
Tucson,1985,55269
Tucson,1986,71675
Tucson,1987,47481
Tucson,1988,48683
Tucson,1989,51445
Tucson,1990,53061
Tucson,1991,59728
Tucson,1992,71036
Tucson,1993,92639
Tucson,1994,139473
Tucson,1995,227529
Tucson,1996,305348
Tucson,1997,272397
Tucson,1998,387406
Tucson,1999,470449
Tucson,2000,616346
Tucson,2001,449675
Tucson,2002,333648
Tucson,2003,347263
Tucson,2004,491771
Tucson,2005,439079
Tucson,2006,392074
Tucson,2007,378239
Tucson,2008,317696
Tucson,2009,241673
Tucson,2010,212202
Tucson,2011,123285
Tucson,2012,120000
Tucson,2013,120939
Tucson,2014,87915
Tucson,2015,63397
Tucson,2016,64891
Tucson,2017,38657
Tucson,2018,52172
Tucson,2019,63490
