sector,fiscal_year,total_apprehensions,unaccompanied_child_apprehension,family_apprehensions
New_Orleans,2000,12956,NA,NA
New_Orleans,2001,10066,NA,NA
New_Orleans,2002,9330,NA,NA
New_Orleans,2003,10302,NA,NA
New_Orleans,2004,5778,NA,NA
New_Orleans,2005,2716,NA,NA
New_Orleans,2006,6106,NA,NA
New_Orleans,2007,8036,NA,NA
New_Orleans,2008,8606,NA,NA
New_Orleans,2009,7054,NA,NA
New_Orleans,2010,6342,56,NA
New_Orleans,2011,3018,28,NA
New_Orleans,2012,948,10,NA
New_Orleans,2013,1000,22,36
New_Orleans,2014,1900,42,72
New_Orleans,2015,1698,52,50
New_Orleans,2016,1528,50,40
New_Orleans,2017,1840,44,4
New_Orleans,2018,1596,52,10
