year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Colorado,4226018,449,19,468,26,843,NA,76,80,193,375,199,574,113,1519,10.62,NA,11.07,0.62,19.95,NA,1.8,1.89,4.57,8.87,4.71,13.58,2.67,35.94,11.07,NA,11.49,0.62,20.09,NA,1.82,1.77,4.38,8.6,4.5,13.72,2.55,38.98
2000,Colorado,4301261,432,14,446,20,818,NA,59,71,220,372,151,613,98,1702,10.04,NA,10.37,0.46,19.02,NA,1.37,1.65,5.11,8.65,3.51,14.25,2.28,39.57,10.46,NA,10.77,0.55,19.16,NA,1.35,1.61,4.89,8.39,3.42,14.32,2.25,42.55
2001,Colorado,4425687,493,18,511,33,955,NA,106,64,240,444,169,722,108,1720,11.14,NA,11.55,0.75,21.58,NA,2.4,1.45,5.42,10.03,3.82,16.31,2.44,38.86,11.58,NA,11.96,0.76,21.71,NA,2.36,1.37,5.22,9.76,3.68,16.52,2.36,41.64
2002,Colorado,4490406,497,19,516,26,990,NA,98,59,289,474,184,727,95,1812,11.07,NA,11.49,0.58,22.05,NA,2.18,1.31,6.44,10.56,4.1,16.19,2.12,40.35,11.37,NA,11.76,0.62,22.11,NA,2.15,1.28,6.27,10.34,3.98,16.18,2.11,43.12
2003,Colorado,4528732,499,18,517,27,1046,NA,107,73,322,529,192,728,112,1806,11.02,NA,11.42,0.6,23.1,NA,2.36,1.61,7.11,11.68,4.24,16.08,2.47,39.88,10.99,NA,11.37,0.63,22.77,NA,2.3,1.56,6.9,11.39,4.11,16.11,2.43,42.37
2004,Colorado,4575013,475,23,498,30,1046,NA,132,55,331,548,219,797,85,1810,10.38,0.5,10.89,0.66,22.86,NA,2.89,1.2,7.23,11.98,4.79,17.42,1.86,39.56,10.3,0.5,10.75,0.72,22.4,NA,2.76,1.16,7.01,11.67,4.66,17.22,1.82,42.14
2005,Colorado,4631888,481,19,500,32,1140,NA,122,69,416,640,182,800,108,1947,10.38,NA,10.79,0.69,24.61,NA,2.63,1.49,8.98,13.82,3.93,17.27,2.33,42.03,10.16,NA,10.55,0.73,23.95,NA,2.6,1.43,8.65,13.42,3.84,17.24,2.29,44.13
2006,Colorado,4720423,510,16,526,33,1186,NA,100,90,436,660,181,730,138,1917,10.8,NA,11.14,0.7,25.12,NA,2.12,1.91,9.24,13.98,3.83,15.46,2.92,40.61,10.28,NA,10.61,0.68,24.13,NA,2.03,1.85,8.92,13.53,3.73,15.3,2.86,42.5
2007,Colorado,4803868,557,53,610,13,1357,NA,142,85,507,747,173,811,126,2056,11.59,1.1,12.7,NA,28.25,NA,2.96,1.77,10.55,15.55,3.6,16.88,2.62,42.8,10.93,1.02,11.93,NA,26.93,NA,2.82,1.7,10.19,15,3.48,16.62,2.56,44.79
2008,Colorado,4889730,615,61,676,11,1436,NA,133,79,536,760,194,803,130,2172,12.58,1.25,13.82,NA,29.37,NA,2.72,1.62,10.96,15.54,3.97,16.42,2.66,44.42,11.76,1.18,12.94,NA,27.92,NA,2.62,1.56,10.58,14.99,3.89,16.13,2.59,46.28
