year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Idaho,1275674,74,NA,74,NA,140,NA,18,NA,39,66,31,181,14,597,5.8,NA,5.8,NA,10.97,NA,NA,NA,3.06,5.17,2.43,14.19,NA,46.8,6.21,NA,6.21,NA,11.65,NA,NA,NA,3.19,5.44,2.38,14.79,NA,48.32
2000,Idaho,1293953,104,NA,105,NA,175,NA,19,12,32,70,24,167,14,518,8.04,NA,8.11,NA,13.52,NA,NA,NA,2.47,5.41,1.85,12.91,NA,40.03,8.61,NA,8.7,NA,14.32,NA,NA,NA,2.6,5.61,1.92,13.3,NA,41.45
2001,Idaho,1319962,122,NA,123,NA,222,NA,25,14,58,99,41,210,21,568,9.24,NA,9.32,NA,16.82,NA,1.89,NA,4.39,7.5,3.11,15.91,1.59,43.03,9.83,NA,9.91,NA,17.79,NA,1.98,NA,4.61,7.91,3.12,16.34,1.68,44.15
2002,Idaho,1340372,118,NA,121,NA,244,NA,22,21,74,123,32,202,28,611,8.8,NA,9.03,NA,18.2,NA,1.64,1.57,5.52,9.18,2.39,15.07,2.09,45.58,9.18,NA,9.4,NA,18.99,NA,1.71,1.66,5.78,9.61,2.36,15.5,2.18,47.06
2003,Idaho,1363380,133,NA,135,16,253,NA,22,22,57,118,33,217,31,605,9.76,NA,9.9,NA,18.56,NA,1.61,1.61,4.18,8.65,2.42,15.92,2.27,44.38,9.99,NA,10.12,NA,19.27,NA,1.68,1.78,4.4,9.16,2.41,16.38,2.46,45.63
2004,Idaho,1391802,119,NA,119,15,232,NA,16,16,66,113,31,236,26,593,8.55,NA,8.55,NA,16.67,NA,NA,NA,4.74,8.12,2.23,16.96,1.87,42.61,8.67,NA,8.67,NA,17.15,NA,NA,NA,4.95,8.47,2.22,17.57,1.91,43.64
2005,Idaho,1428241,135,NA,135,NA,253,NA,21,23,64,118,45,228,28,606,9.45,NA,9.45,NA,17.71,NA,1.47,1.61,4.48,8.26,3.15,15.96,1.96,42.43,9.48,NA,9.48,NA,18.12,NA,1.54,1.7,4.76,8.65,3.18,16.47,2.05,43.7
2006,Idaho,1468669,124,NA,129,17,276,NA,26,18,86,147,38,222,29,682,8.44,NA,8.78,NA,18.79,NA,1.77,NA,5.86,10.01,2.59,15.12,1.97,46.44,8.39,NA,8.74,NA,19.27,NA,1.9,NA,6.15,10.52,2.63,15.78,2.07,47.45
2007,Idaho,1505105,144,NA,152,NA,285,NA,22,16,88,133,48,223,24,641,9.57,NA,10.1,NA,18.94,NA,1.46,NA,5.85,8.84,3.19,14.82,1.59,42.59,9.43,NA,9.95,NA,19.09,NA,1.49,NA,6.07,9.15,3.21,15.03,1.62,43.36
2008,Idaho,1534320,164,NA,173,NA,325,NA,31,24,90,152,25,252,32,649,10.69,NA,11.28,NA,21.18,NA,2.02,1.56,5.87,9.91,1.63,16.42,2.09,42.3,10.49,NA,11.06,NA,21.24,NA,2.14,1.66,5.93,10.17,1.6,16.66,2.24,43.16
2009,Idaho,1554439,153,14,167,10,348,NA,43,28,100,181,22,304,35,670,9.84,NA,10.74,NA,22.39,NA,2.77,1.8,6.43,11.64,1.42,19.56,2.25,43.1,9.57,NA,10.45,NA,22.76,NA,2.91,1.89,6.79,12.33,1.38,20.25,2.37,44.04
2010,Idaho,1567582,154,NA,162,NA,346,NA,34,28,116,184,23,290,34,654,9.82,NA,10.33,NA,22.07,NA,2.17,1.79,7.4,11.74,1.47,18.5,2.17,41.72,9.44,NA,9.92,NA,22.13,NA,2.34,1.82,7.65,12.19,1.49,18.84,2.19,42.14
2011,Idaho,1584985,175,NA,181,NA,380,NA,44,31,118,199,29,281,41,710,11.04,NA,11.42,NA,23.97,NA,2.78,1.96,7.44,12.56,1.83,17.73,2.59,44.8,10.69,NA,11.09,NA,24.32,NA,2.89,2.09,7.87,13.22,1.87,18.19,2.71,44.7
2012,Idaho,1595728,209,NA,218,NA,406,NA,27,40,113,188,34,297,44,699,13.1,NA,13.66,NA,25.44,NA,1.69,2.51,7.08,11.78,2.13,18.61,2.76,43.8,12.47,NA,13.01,NA,25.33,NA,1.71,2.71,7.4,12.33,2.21,18.98,2.96,43.65
2013,Idaho,1612136,205,10,215,10,432,NA,38,27,142,217,31,308,35,776,12.72,NA,13.34,NA,26.8,NA,2.36,1.67,8.81,13.46,1.92,19.11,2.17,48.13,11.34,NA,11.93,NA,25.87,NA,2.33,1.71,9.3,13.92,1.98,19.17,2.21,47.69
2014,Idaho,1634464,217,14,231,NA,449,NA,44,22,146,218,36,320,31,765,13.28,NA,14.13,NA,27.47,NA,2.69,1.35,8.93,13.34,2.2,19.58,1.9,46.8,12.04,NA,12.97,NA,27.09,NA,2.9,1.42,9.4,14.11,2.37,20.04,1.99,46.49
2015,Idaho,1654930,228,12,240,NA,464,NA,46,23,148,224,33,359,31,746,13.78,NA,14.5,NA,28.04,NA,2.78,1.39,8.94,13.54,1.99,21.69,1.87,45.08,12.77,NA,13.5,NA,28.05,NA,2.9,1.52,9.69,14.55,2,22.13,2.02,44.71
2016,Idaho,1683140,215,NA,221,17,481,NA,37,25,181,260,30,351,30,849,12.77,NA,13.13,NA,28.58,NA,2.2,1.49,10.75,15.45,1.78,20.85,1.78,50.44,11.27,NA,11.66,NA,27.77,NA,2.32,1.63,11.27,16.1,1.93,21.39,1.92,49.55
2017,Idaho,1716943,212,NA,221,28,485,NA,37,18,180,264,50,392,28,876,12.35,NA,12.87,1.63,28.25,NA,2.15,NA,10.48,15.38,2.91,22.83,1.63,51.02,11.1,NA,11.6,1.52,27.51,NA,2.13,NA,11.12,15.88,3.02,23.17,1.71,49.77
