year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Kansas,2678338,129,NA,132,11,232,NA,25,NA,58,100,137,299,16,1126,4.82,NA,4.93,NA,8.66,NA,0.93,NA,2.17,3.73,5.12,11.16,NA,42.04,4.92,NA,5.04,NA,8.86,NA,0.98,NA,2.21,3.81,5.08,11.24,NA,40.68
2000,Kansas,2688418,130,NA,137,NA,249,NA,36,NA,59,112,141,325,22,1054,4.84,NA,5.1,NA,9.26,NA,1.34,NA,2.19,4.17,5.24,12.09,0.82,39.21,4.95,NA,5.22,NA,9.48,NA,1.37,NA,2.25,4.28,5.25,12.21,0.83,38.04
2001,Kansas,2702162,155,NA,158,10,306,NA,34,NA,97,148,143,293,19,1156,5.74,NA,5.85,NA,11.32,NA,1.26,NA,3.59,5.48,5.29,10.84,NA,42.78,5.81,NA,5.94,NA,11.57,NA,1.31,NA,3.69,5.62,5.3,10.93,NA,41.39
2002,Kansas,2713535,166,NA,170,19,359,NA,44,15,111,189,129,345,26,1139,6.12,NA,6.26,NA,13.23,NA,1.62,NA,4.09,6.97,4.75,12.71,0.96,41.97,6.17,NA,6.31,NA,13.5,NA,1.68,NA,4.2,7.18,4.75,12.69,0.98,40.79
2003,Kansas,2723004,168,NA,173,NA,370,NA,55,16,117,197,121,347,20,1089,6.17,NA,6.35,NA,13.59,NA,2.02,NA,4.3,7.23,4.44,12.74,0.73,39.99,6.16,NA,6.35,NA,13.77,NA,2.05,NA,4.44,7.44,4.45,12.79,0.75,38.55
2004,Kansas,2734373,158,NA,167,14,405,NA,48,26,149,238,117,370,40,1144,5.78,NA,6.11,NA,14.81,NA,1.76,0.95,5.45,8.7,4.28,13.53,1.46,41.84,5.73,NA,6.08,NA,15.05,NA,1.81,0.99,5.66,8.99,4.32,13.65,1.52,40.57
2005,Kansas,2745299,170,NA,177,43,461,NA,53,20,168,284,106,362,32,1149,6.19,NA,6.45,1.57,16.79,NA,1.93,0.73,6.12,10.34,3.86,13.19,1.17,41.85,6.02,NA,6.28,1.54,16.89,NA,2,0.75,6.32,10.61,3.91,13.34,1.21,40.61
2006,Kansas,2762931,181,NA,184,35,476,NA,49,30,178,292,114,379,43,1198,6.55,NA,6.66,1.27,17.23,NA,1.77,1.09,6.44,10.57,4.13,13.72,1.56,43.36,6.32,NA,6.45,1.25,17.21,NA,1.79,1.13,6.57,10.78,4.17,13.88,1.6,41.72
2007,Kansas,2783785,193,18,211,24,505,NA,64,38,167,294,115,382,59,1205,6.93,NA,7.58,0.86,18.14,NA,2.3,1.37,6,10.56,4.13,13.72,2.12,43.29,6.55,NA,7.21,0.83,18.02,NA,2.34,1.4,6.23,10.81,4.2,13.68,2.12,41.4
2008,Kansas,2808076,186,19,205,22,446,NA,29,22,168,241,112,337,32,1174,6.62,NA,7.3,0.78,15.88,NA,1.03,0.78,5.98,8.58,3.99,12,1.14,41.81,6.32,NA,6.97,0.75,15.71,NA,1.08,0.76,6.14,8.75,3.95,12.09,1.12,40.01
2009,Kansas,2832704,197,28,225,14,543,NA,53,22,229,318,128,382,41,1273,6.95,0.99,7.94,NA,19.17,NA,1.87,0.78,8.08,11.23,4.52,13.49,1.45,44.94,6.38,0.96,7.35,NA,18.85,NA,1.92,0.77,8.35,11.54,4.64,13.59,1.43,42.94
2010,Kansas,2853118,186,15,201,19,489,NA,46,32,191,288,105,401,60,1317,6.52,NA,7.04,NA,17.14,NA,1.61,1.12,6.69,10.09,3.68,14.05,2.1,46.16,5.99,NA,6.49,NA,16.73,NA,1.54,1.1,6.9,10.24,3.78,13.95,2.09,43.98
2011,Kansas,2871238,205,25,230,37,547,NA,44,35,200,317,123,394,59,1333,7.14,0.87,8.01,1.29,19.05,NA,1.53,1.22,6.97,11.04,4.28,13.72,2.05,46.43,6.73,0.87,7.61,1.24,18.99,NA,1.57,1.26,7.22,11.37,4.36,13.75,2.1,43.8
2012,Kansas,2885905,199,26,225,23,566,NA,59,20,239,341,103,502,40,1319,6.9,0.9,7.8,0.8,19.61,NA,2.04,0.69,8.28,11.82,3.57,17.39,1.39,45.7,6.27,0.92,7.2,0.77,19.46,NA,2.03,0.64,8.81,12.25,3.84,17.44,1.27,43.58
2013,Kansas,2893957,182,30,212,25,568,NA,52,24,253,356,117,425,49,1359,6.29,1.04,7.33,0.86,19.63,NA,1.8,0.83,8.74,12.3,4.04,14.69,1.69,46.96,5.75,1.05,6.83,0.91,19.65,NA,1.81,0.84,9.23,12.85,4.17,14.71,1.71,44.37
