year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Florida,15759421,1268,16,1284,64,2345,NA,267,49,681,1061,964,2029,116,5961,8.05,NA,8.15,0.41,14.88,NA,1.69,0.31,4.32,6.73,6.12,12.87,0.74,37.82,7.51,NA,7.63,0.4,14.43,NA,1.65,0.32,4.44,6.81,6.34,12.21,0.72,35.73
2000,Florida,15982378,1322,19,1341,78,2578,NA,279,55,823,1237,937,2086,109,6267,8.27,NA,8.39,0.49,16.13,NA,1.75,0.34,5.15,7.74,5.86,13.05,0.68,39.21,7.65,NA,7.78,0.46,15.66,NA,1.7,0.36,5.35,7.91,6.08,12.41,0.68,37.29
2001,Florida,16356966,1384,24,1408,87,3241,NA,382,65,1295,1833,969,2314,134,6969,8.46,0.15,8.61,0.53,19.81,NA,2.34,0.4,7.92,11.21,5.92,14.15,0.82,42.61,7.79,0.14,7.93,0.52,19.39,NA,2.3,0.39,8.19,11.45,6.07,13.46,0.82,40.49
2002,Florida,16689370,1395,29,1424,114,3465,NA,374,87,1466,2041,1008,2338,147,7396,8.36,0.17,8.53,0.68,20.76,NA,2.24,0.52,8.78,12.23,6.04,14.01,0.88,44.32,7.62,0.17,7.8,0.67,20.31,NA,2.18,0.53,9.1,12.49,6.27,13.34,0.88,42.02
2003,Florida,17004085,1462,23,1485,99,3638,NA,332,50,1670,2153,1004,2297,102,7919,8.6,0.14,8.73,0.58,21.39,NA,1.95,0.29,9.82,12.66,5.9,13.51,0.6,46.57,7.75,0.14,7.89,0.56,20.82,NA,1.9,0.3,10.15,12.93,6.12,12.84,0.57,44.18
2004,Florida,17415318,1506,19,1525,144,3933,NA,401,70,1789,2408,1032,2389,150,8229,8.65,NA,8.76,0.83,22.58,NA,2.3,0.4,10.27,13.83,5.93,13.72,0.86,47.25,7.75,NA,7.83,0.84,21.92,NA,2.23,0.42,10.59,14.09,6.11,13.04,0.85,44.66
2005,Florida,17842038,1590,22,1612,293,4276,NA,367,86,1917,2664,998,2347,153,8868,8.91,0.12,9.03,1.64,23.97,NA,2.06,0.48,10.74,14.93,5.59,13.15,0.86,49.7,7.87,0.14,7.99,1.49,23.02,NA,1.98,0.47,11.1,15.05,5.85,12.49,0.85,47.11
2006,Florida,18166990,1722,24,1746,337,4674,NA,408,84,2097,2928,1214,2440,143,8917,9.48,0.13,9.61,1.86,25.73,NA,2.25,0.46,11.54,16.12,6.68,13.43,0.79,49.08,8.38,0.13,8.51,1.71,24.64,NA,2.12,0.45,11.84,16.14,6.92,12.59,0.76,46.45
2007,Florida,18367842,1707,63,1770,142,4706,NA,389,65,2337,2936,1324,2587,130,9113,9.29,0.34,9.64,0.77,25.62,NA,2.12,0.35,12.72,15.98,7.21,14.08,0.71,49.61,8.07,0.33,8.37,0.72,24.55,NA,2.01,0.33,13.04,16.14,7.52,13.22,0.65,46.93
2008,Florida,18527305,1656,109,1765,134,4862,NA,465,96,2399,3097,1300,2740,181,8939,8.94,0.59,9.53,0.72,26.24,NA,2.51,0.52,12.95,16.72,7.02,14.79,0.98,48.25,7.59,0.58,8.18,0.71,25.09,NA,2.34,0.52,13.32,16.93,7.41,13.86,0.97,45.29
