year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Massachusetts,6317345,349,NA,354,24,866,NA,69,375,43,512,133,431,417,1303,5.52,NA,5.6,0.38,13.71,NA,1.09,5.94,0.68,8.1,2.11,6.82,6.6,20.63,5.46,NA,5.53,0.38,13.38,NA,1.06,5.74,0.64,7.84,2.12,6.67,6.42,19.61
2000,Massachusetts,6349097,331,10,341,21,825,NA,65,349,49,484,122,387,394,1357,5.21,NA,5.37,0.33,12.99,NA,1.02,5.5,0.77,7.62,1.92,6.1,6.21,21.37,5.09,NA,5.25,0.31,12.67,NA,0.99,5.36,0.77,7.42,1.93,5.97,6.05,20.21
2001,Massachusetts,6397634,343,NA,346,25,1060,NA,65,568,56,714,246,426,606,1506,5.36,NA,5.41,0.39,16.57,NA,1.02,8.88,0.88,11.16,3.85,6.66,9.47,23.54,5.17,NA,5.21,0.38,16.1,NA,1.01,8.66,0.85,10.87,3.82,6.48,9.21,22.19
2002,Massachusetts,6417206,379,NA,384,31,1120,NA,68,576,61,736,185,436,612,1413,5.91,NA,5.98,0.48,17.45,NA,1.06,8.98,0.95,11.47,2.88,6.79,9.54,22.02,5.64,NA,5.71,0.45,16.93,NA,1.03,8.79,0.91,11.2,2.89,6.61,9.34,20.74
2003,Massachusetts,6422565,386,NA,391,53,1267,NA,70,673,80,876,140,433,733,1421,6.01,NA,6.09,0.83,19.73,NA,1.09,10.48,1.25,13.64,2.18,6.74,11.41,22.13,5.7,NA,5.78,0.8,19.23,NA,1.04,10.34,1.2,13.43,2.18,6.54,11.25,20.73
2004,Massachusetts,6412281,360,NA,365,35,1069,NA,60,509,99,704,175,425,576,1366,5.61,NA,5.69,0.55,16.67,NA,0.94,7.94,1.54,10.98,2.73,6.63,8.98,21.3,5.29,NA,5.37,0.53,16.18,NA,0.87,7.83,1.49,10.8,2.75,6.44,8.84,19.87
2005,Massachusetts,6403290,375,NA,380,87,1247,NA,86,68,626,867,178,480,98,1907,5.86,NA,5.93,1.36,19.47,NA,1.34,1.06,9.78,13.54,2.78,7.5,1.53,29.78,5.41,NA,5.48,1.31,18.77,NA,1.29,1.03,9.64,13.3,2.79,7.22,1.49,28.04
2006,Massachusetts,6410084,366,NA,371,51,1392,NA,94,50,826,1021,183,450,80,2214,5.71,NA,5.79,0.8,21.72,NA,1.47,0.78,12.89,15.93,2.85,7.02,1.25,34.54,5.13,NA,5.22,0.76,20.67,NA,1.36,0.74,12.59,15.46,2.89,6.68,1.17,32.31
2007,Massachusetts,6431559,424,16,440,81,1443,NA,95,59,768,1003,188,516,115,2139,6.59,NA,6.84,1.26,22.44,NA,1.48,0.92,11.94,15.59,2.92,8.02,1.79,33.26,5.92,NA,6.18,1.25,21.45,NA,1.39,0.86,11.73,15.26,2.95,7.71,1.69,30.99
2008,Massachusetts,6468967,389,42,431,99,1316,NA,83,34,669,885,167,509,81,2040,6.01,0.65,6.66,1.53,20.34,NA,1.28,0.53,10.34,13.68,2.58,7.87,1.25,31.54,5.39,0.61,5.98,1.51,19.41,NA,1.17,0.49,10.2,13.41,2.57,7.54,1.21,28.96
