year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Michigan,9897116,611,12,623,248,1331,NA,96,120,240,708,759,974,165,3188,6.17,NA,6.29,2.51,13.45,NA,0.97,1.21,2.42,7.15,7.67,9.84,1.67,32.21,6.21,NA,6.32,2.51,13.49,NA,0.98,1.22,2.42,7.16,7.65,9.88,1.65,32.75
2000,Michigan,9938444,670,NA,679,310,1550,NA,103,170,286,871,722,974,214,3220,6.74,NA,6.83,3.12,15.6,NA,1.04,1.71,2.88,8.76,7.26,9.8,2.15,32.4,6.75,NA,6.85,3.09,15.59,NA,1.03,1.7,2.88,8.77,7.27,9.86,2.14,32.87
2001,Michigan,9991120,704,NA,713,334,1668,NA,132,174,315,955,689,1051,220,3291,7.05,NA,7.14,3.34,16.69,NA,1.32,1.74,3.15,9.56,6.9,10.52,2.2,32.94,6.98,NA,7.06,3.31,16.56,NA,1.3,1.73,3.16,9.5,6.92,10.54,2.18,33.25
2002,Michigan,10015710,667,10,677,329,1757,NA,134,226,388,1080,696,1106,285,3285,6.66,NA,6.76,3.28,17.54,NA,1.34,2.26,3.87,10.78,6.95,11.04,2.85,32.8,6.54,NA,6.63,3.28,17.4,NA,1.34,2.26,3.89,10.77,7,11.07,2.87,32.99
2003,Michigan,10041152,666,NA,673,301,1735,NA,136,237,386,1062,650,1029,293,3324,6.63,NA,6.7,3,17.28,NA,1.35,2.36,3.84,10.58,6.47,10.25,2.92,33.1,6.45,NA,6.53,2.96,17.05,NA,1.33,2.36,3.84,10.56,6.57,10.24,2.96,33.03
2004,Michigan,10055315,694,NA,701,341,1909,NA,145,234,488,1208,673,1098,297,3312,6.9,NA,6.97,3.39,18.98,NA,1.44,2.33,4.85,12.01,6.69,10.92,2.95,32.94,6.58,NA,6.61,3.36,18.66,NA,1.46,2.34,4.9,12.02,6.83,10.89,2.94,32.83
2005,Michigan,10051137,715,10,725,413,2123,NA,163,171,650,1398,677,1108,235,3451,7.11,NA,7.21,4.11,21.12,NA,1.62,1.7,6.47,13.91,6.74,11.02,2.34,34.33,6.69,NA,6.8,4.07,20.64,NA,1.61,1.7,6.48,13.84,6.94,10.97,2.33,34.03
2006,Michigan,10036081,683,12,695,485,2356,NA,161,191,820,1661,722,1139,252,3590,6.81,NA,6.93,4.83,23.48,NA,1.6,1.9,8.17,16.55,7.19,11.35,2.51,35.77,6.34,NA,6.47,4.77,22.97,NA,1.59,1.89,8.21,16.53,7.35,11.19,2.5,35.17
2007,Michigan,10001284,671,42,713,306,2255,NA,163,206,863,1542,704,1131,269,3764,6.71,0.42,7.13,3.06,22.55,NA,1.63,2.06,8.63,15.42,7.04,11.31,2.69,37.64,6.06,0.4,6.44,2.99,21.66,NA,1.57,2.07,8.54,15.21,7.27,11.09,2.7,36.48
2008,Michigan,9946889,710,70,780,336,2355,NA,173,206,857,1575,644,1180,280,3685,7.14,0.7,7.84,3.38,23.68,NA,1.74,2.07,8.62,15.83,6.47,11.86,2.81,37.05,6.37,0.69,7.05,3.36,22.77,NA,1.7,2.06,8.59,15.73,6.64,11.75,2.78,35.68
2009,Michigan,9901591,813,70,883,321,2633,NA,182,245,1002,1750,656,1169,323,3682,8.21,0.71,8.92,3.24,26.59,NA,1.84,2.47,10.12,17.67,6.63,11.81,3.26,37.19,7.32,0.68,7.99,3.19,25.66,NA,1.76,2.53,10.18,17.67,6.86,11.48,3.31,35.8
2010,Michigan,9883640,860,68,928,329,2651,NA,205,211,976,1723,610,1263,281,3770,8.7,0.69,9.39,3.33,26.82,NA,2.07,2.13,9.87,17.43,6.17,12.78,2.84,38.14,7.63,0.66,8.29,3.37,25.58,NA,1.96,2.11,9.84,17.3,6.42,12.48,2.8,36.23
2011,Michigan,9876187,801,99,900,316,2602,NA,145,235,1006,1702,654,1221,303,3951,8.11,1,9.11,3.2,26.35,NA,1.47,2.38,10.19,17.23,6.62,12.36,3.07,40.01,7,1.02,8.01,3.23,25.52,NA,1.42,2.39,10.47,17.5,6.94,12.18,3.08,38.02
2012,Michigan,9883360,814,69,883,315,2506,NA,166,198,943,1623,734,1261,251,3805,8.24,0.7,8.93,3.19,25.36,NA,1.68,2,9.54,16.42,7.43,12.76,2.54,38.5,7.02,0.68,7.71,3.17,24.39,NA,1.65,2.03,9.81,16.69,7.77,12.47,2.55,36.6
2013,Michigan,9895622,818,66,884,259,2696,NA,165,190,1196,1812,635,1295,247,4225,8.27,0.67,8.93,2.62,27.24,NA,1.67,1.92,12.09,18.31,6.42,13.09,2.5,42.7,7.16,0.67,7.84,2.64,26.38,NA,1.65,1.89,12.29,18.52,6.75,12.86,2.45,40.05
2014,Michigan,9909877,826,73,899,286,2947,NA,180,235,1345,2048,589,1354,281,4422,8.34,0.74,9.07,2.89,29.74,NA,1.82,2.37,13.57,20.67,5.94,13.66,2.84,44.62,7.07,0.69,7.77,2.93,28.74,NA,1.71,2.42,13.87,20.98,6.28,13.28,2.86,41.7
2015,Michigan,9922576,901,84,985,336,3301,NA,178,242,1556,2316,597,1410,321,4647,9.08,0.85,9.93,3.39,33.27,NA,1.79,2.44,15.68,23.34,6.02,14.21,3.24,46.83,7.81,0.84,8.67,3.52,32.55,NA,1.74,2.45,16.13,23.88,6.44,13.82,3.22,43.94
2016,Michigan,9928300,949,79,1028,354,3729,NA,165,263,1919,2701,624,1364,350,5313,9.56,0.8,10.35,3.57,37.56,NA,1.66,2.65,19.33,27.21,6.29,13.74,3.53,53.51,7.96,0.83,8.79,3.66,36.84,NA,1.57,2.71,20.08,28.04,6.71,13.29,3.61,50.45
2017,Michigan,9962311,984,65,1049,340,4083,NA,191,313,2187,3034,588,1457,387,5623,9.88,0.65,10.53,3.41,40.98,NA,1.92,3.14,21.95,30.45,5.9,14.63,3.88,56.44,8.42,0.67,9.06,3.49,40.32,NA,1.8,3.26,22.7,31.27,6.27,14.1,3.98,52.95
