year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Mississippi,2828408,154,NA,155,14,256,NA,20,NA,60,101,312,304,30,1642,5.44,NA,5.48,NA,9.05,NA,0.71,NA,2.12,3.57,11.03,10.75,1.06,58.05,5.77,NA,5.81,NA,9.55,NA,0.72,NA,2.22,3.76,10.92,11.02,1.05,58.85
2000,Mississippi,2844658,168,NA,168,NA,291,NA,25,12,76,123,312,294,39,1653,5.91,NA,5.91,NA,10.23,NA,0.88,NA,2.67,4.32,10.97,10.34,1.37,58.11,6.19,NA,6.19,NA,10.7,NA,0.91,NA,2.8,4.51,10.91,10.51,1.4,58.88
2001,Mississippi,2852994,164,NA,167,14,350,NA,30,26,112,183,326,328,45,1571,5.75,NA,5.85,NA,12.27,NA,1.05,0.91,3.93,6.41,11.43,11.5,1.58,55.06,5.96,NA,6.08,NA,12.75,NA,1.09,0.95,4.08,6.68,11.46,11.73,1.62,55.98
2002,Mississippi,2858681,157,NA,158,19,360,NA,31,25,127,202,305,343,43,1642,5.49,NA,5.53,NA,12.59,NA,1.08,0.87,4.44,7.07,10.67,12,1.5,57.44,5.56,NA,5.6,NA,12.96,NA,1.12,0.9,4.64,7.35,10.74,12.2,1.53,58.47
2003,Mississippi,2868312,131,NA,134,18,359,NA,23,16,167,225,304,336,26,1656,4.57,NA,4.67,NA,12.52,NA,0.8,NA,5.82,7.84,10.6,11.71,0.91,57.73,4.56,NA,4.68,NA,12.83,NA,0.81,NA,6.07,8.15,10.66,11.92,0.92,58.78
2004,Mississippi,2889010,182,10,192,21,437,NA,26,23,173,245,283,350,35,1703,6.3,NA,6.65,0.73,15.13,NA,0.9,0.8,5.99,8.48,9.8,12.11,1.21,58.95,6.24,NA,6.61,0.77,15.55,NA,0.94,0.82,6.34,8.95,9.92,12.19,1.26,59.9
2005,Mississippi,2905943,155,NA,162,15,425,NA,26,33,187,263,254,363,53,1936,5.33,NA,5.57,NA,14.63,NA,0.89,1.14,6.44,9.05,8.74,12.49,1.82,66.62,5.19,NA,5.45,NA,14.78,NA,0.91,1.18,6.65,9.34,8.96,12.73,1.86,67.13
2006,Mississippi,2904978,151,NA,159,29,527,NA,32,45,261,368,318,325,67,1856,5.2,NA,5.47,1,18.14,NA,1.1,1.55,8.98,12.67,10.95,11.19,2.31,63.89,5.06,NA,5.34,1.08,18.51,NA,1.15,1.62,9.29,13.16,11.08,11.41,2.36,64.66
2007,Mississippi,2928350,144,16,160,20,494,NA,30,29,255,334,286,396,43,1808,4.92,NA,5.46,0.68,16.87,NA,1.02,0.99,8.71,11.41,9.77,13.52,1.47,61.74,4.77,NA,5.31,0.71,16.94,NA,1.05,1.04,8.89,11.63,9.87,13.62,1.47,62.2
2008,Mississippi,2947806,149,23,172,18,493,NA,28,34,240,321,330,409,67,1693,5.05,0.78,5.83,NA,16.72,NA,0.95,1.15,8.14,10.89,11.19,13.87,2.27,57.43,4.78,0.82,5.6,NA,16.74,NA,1,1.14,8.31,11.13,11.28,13.89,2.27,57.81
2009,Mississippi,2958774,153,NA,161,22,506,NA,27,33,262,345,275,381,51,1658,5.17,NA,5.44,0.74,17.1,NA,0.91,1.12,8.86,11.66,9.29,12.88,1.72,56.04,4.9,NA,5.16,0.76,17.1,NA,0.94,1.12,9.07,11.94,9.42,13.05,1.7,56.35
2010,Mississippi,2967297,154,13,167,19,520,NA,43,30,260,353,284,388,53,1685,5.19,NA,5.63,NA,17.52,NA,1.45,1.01,8.76,11.9,9.57,13.08,1.79,56.79,4.84,NA,5.32,NA,17.38,NA,1.39,1,8.95,12.04,9.78,12.97,1.71,56.81
2011,Mississippi,2978512,146,13,159,15,476,NA,31,17,254,317,312,389,39,1724,4.9,NA,5.34,NA,15.98,NA,1.04,NA,8.53,10.64,10.48,13.06,1.31,57.88,4.61,NA,5.05,NA,16.26,NA,1.07,NA,9.08,11.21,10.8,13.09,1.28,57.9
2012,Mississippi,2984926,153,19,172,18,500,NA,24,19,267,328,293,410,41,1627,5.13,NA,5.76,NA,16.75,NA,0.8,NA,8.94,10.99,9.82,13.74,1.37,54.51,4.7,NA,5.34,NA,16.61,NA,0.81,NA,9.14,11.26,10.17,14.01,1.47,54.49
2013,Mississippi,2991207,160,16,176,11,503,NA,26,17,272,327,291,388,41,1692,5.35,NA,5.88,NA,16.82,NA,0.87,NA,9.09,10.93,9.73,12.97,1.37,56.57,4.77,NA,5.32,NA,16.53,NA,0.83,NA,9.39,11.2,10,13.03,1.37,55.6
2014,Mississippi,2994079,167,20,187,25,548,NA,25,12,299,361,332,380,46,1712,5.58,0.67,6.25,0.83,18.3,NA,0.83,NA,9.99,12.06,11.09,12.69,1.54,57.18,4.97,0.7,5.69,0.85,18.18,NA,0.84,NA,10.4,12.47,11.41,12.5,1.51,56.16
2015,Mississippi,2992333,165,10,175,18,544,NA,33,15,302,369,325,431,49,1814,5.51,NA,5.85,NA,18.18,NA,1.1,NA,10.09,12.33,10.86,14.4,1.64,60.62,4.9,NA,5.24,NA,18.21,NA,1.05,NA,10.74,12.96,11.28,14.03,1.59,59.79
2016,Mississippi,2988726,166,12,178,22,552,NA,23,18,311,374,345,383,53,1803,5.55,NA,5.96,0.74,18.47,NA,0.77,NA,10.41,12.51,11.54,12.81,1.77,60.33,4.82,NA,5.24,0.74,18.09,NA,0.75,NA,10.73,12.86,12.08,12.68,1.89,59.19
2017,Mississippi,2984100,203,11,214,33,601,NA,29,19,306,387,360,445,51,1738,6.8,NA,7.17,1.11,20.14,NA,0.97,NA,10.25,12.97,12.06,14.91,1.71,58.24,5.98,NA,6.32,1.1,19.62,NA,0.96,NA,10.59,13.29,12.67,15.02,1.77,56.33
