year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_homicide,deaths_suicide,deaths_undetermined,deaths_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_homicide,crude_rate_suicide,crude_rate_undetermined,crude_rate_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_homicide,age_adjusted_rate_suicide,age_adjusted_rate_undetermined,age_adjusted_rate_unintentional
1999,Illinois,12359020,639,NA,643,47,1515,NA,98,32,691,872,1023,1020,109,4125,5.17,NA,5.2,0.38,12.26,NA,0.79,0.26,5.59,7.06,8.28,8.25,0.88,33.38,5.33,NA,5.37,0.39,12.44,NA,0.8,0.28,5.58,7.05,8.13,8.32,0.89,33.69
2000,Illinois,12419293,554,NA,563,42,1473,NA,110,25,731,910,991,1003,99,4041,4.46,NA,4.53,0.34,11.86,NA,0.89,0.2,5.89,7.33,7.98,8.08,0.8,32.54,4.57,NA,4.66,0.35,12.01,NA,0.89,0.2,5.87,7.34,7.87,8.13,0.8,32.77
2001,Illinois,12488445,629,NA,634,38,1564,NA,124,38,729,930,1087,1139,126,4077,5.04,NA,5.08,0.3,12.52,NA,0.99,0.3,5.84,7.45,8.7,9.12,1.01,32.65,5.12,NA,5.18,0.3,12.63,NA,1.01,0.3,5.83,7.45,8.57,9.17,1.01,32.81
2002,Illinois,12525556,578,NA,582,44,1612,NA,133,34,814,1030,1016,1145,130,4222,4.61,NA,4.65,0.35,12.87,NA,1.06,0.27,6.5,8.22,8.11,9.14,1.04,33.71,4.65,NA,4.67,0.36,12.94,NA,1.06,0.27,6.52,8.26,7.98,9.15,1.03,33.81
2003,Illinois,12556006,559,NA,568,25,1440,NA,116,22,705,872,966,1011,90,3942,4.45,NA,4.52,0.2,11.47,NA,0.92,0.18,5.61,6.94,7.69,8.05,0.72,31.4,4.46,NA,4.53,0.22,11.5,NA,0.9,0.18,5.63,6.97,7.6,8.04,0.73,31.45
2004,Illinois,12589773,579,13,592,45,1672,NA,115,42,873,1080,871,1028,98,4133,4.6,NA,4.7,0.36,13.28,NA,0.91,0.33,6.93,8.58,6.92,8.17,0.78,32.83,4.53,NA,4.63,0.35,13.27,NA,0.9,0.33,6.99,8.63,6.86,8.12,0.77,32.78
2005,Illinois,12609903,566,NA,572,73,1712,NA,116,27,922,1140,866,1086,91,4182,4.49,NA,4.54,0.58,13.58,NA,0.92,0.21,7.31,9.04,6.87,8.61,0.72,33.16,4.38,NA,4.43,0.58,13.46,NA,0.9,0.21,7.31,9.03,6.81,8.57,0.72,32.96
2006,Illinois,12643955,600,10,610,54,2033,NA,136,19,1208,1423,865,1010,72,4451,4.75,NA,4.82,0.43,16.08,NA,1.08,NA,9.55,11.25,6.84,7.99,0.57,35.2,4.59,NA,4.67,0.43,15.93,NA,1.08,NA,9.58,11.28,6.79,7.92,0.58,34.91
2007,Illinois,12695866,592,38,630,47,1869,NA,131,31,1022,1239,863,1108,75,4367,4.66,0.3,4.96,0.37,14.72,NA,1.03,0.24,8.05,9.76,6.8,8.73,0.59,34.4,4.5,0.26,4.79,0.36,14.52,NA,1.02,0.26,8.06,9.73,6.79,8.63,0.59,33.9
2008,Illinois,12747038,661,46,707,59,2119,12,166,57,1118,1412,872,1198,143,4218,5.19,0.36,5.55,0.46,16.62,NA,1.3,0.45,8.77,11.08,6.84,9.4,1.12,33.09,4.92,0.33,5.27,0.46,16.3,NA,1.28,0.44,8.81,11.04,6.81,9.25,1.09,32.6
