year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Rhode Island,1040402,70,NA,70,NA,131,NA,13,41,NA,61,36,96,44,243,6.73,NA,6.73,NA,12.59,NA,NA,3.94,NA,5.86,3.46,9.23,4.23,23.36,6.59,NA,6.59,NA,12.36,NA,NA,3.86,NA,5.77,3.48,9.06,4.15,21.47
2000,Rhode Island,1048319,77,NA,77,NA,153,NA,NA,61,NA,76,39,75,72,235,7.35,NA,7.35,NA,14.59,NA,NA,5.82,NA,7.25,3.72,7.15,6.87,22.42,7.16,NA,7.16,NA,14.33,NA,NA,5.74,NA,7.19,3.75,7.05,6.83,20.45
2001,Rhode Island,1057142,61,NA,63,NA,179,NA,13,86,11,116,37,88,92,293,5.77,NA,5.96,NA,16.93,NA,NA,8.14,NA,10.97,3.5,8.32,8.7,27.72,5.55,NA,5.73,NA,16.47,NA,NA,8.05,NA,10.74,3.53,8.08,8.6,25.34
2002,Rhode Island,1065995,74,NA,74,13,186,NA,10,83,NA,112,43,86,93,277,6.94,NA,6.94,NA,17.45,NA,NA,7.79,NA,10.51,4.03,8.07,8.72,25.99,6.69,NA,6.69,NA,17.23,NA,NA,7.86,NA,10.56,4.01,7.94,8.78,23.43
2003,Rhode Island,1071342,65,NA,65,11,222,NA,16,118,12,157,29,84,124,393,6.07,NA,6.07,NA,20.72,NA,NA,11.01,NA,14.65,2.71,7.84,11.57,36.68,5.77,NA,5.77,NA,20.52,NA,NA,11.11,NA,14.73,2.65,7.7,11.67,33.89
2004,Rhode Island,1074579,83,NA,83,NA,192,NA,13,91,NA,109,29,85,95,298,7.72,NA,7.72,NA,17.87,NA,NA,8.47,NA,10.14,2.7,7.91,8.84,27.73,7.25,NA,7.25,NA,17.33,NA,NA,8.44,NA,10.07,2.7,7.59,8.79,24.8
2005,Rhode Island,1067916,55,NA,56,NA,219,NA,17,108,31,163,32,71,114,334,5.15,NA,5.24,NA,20.51,NA,NA,10.11,2.9,15.26,3,6.65,10.67,31.28,4.78,NA,4.87,NA,19.78,NA,NA,10,2.82,14.91,3.08,6.3,10.53,27.58
2006,Rhode Island,1063096,94,NA,95,NA,274,NA,12,28,135,179,39,90,39,434,8.84,NA,8.94,NA,25.77,NA,NA,2.63,12.7,16.84,3.67,8.47,3.67,40.82,8,NA,8.09,NA,24.87,NA,NA,2.67,12.62,16.74,3.6,8.2,3.73,36.54
2007,Rhode Island,1057315,82,11,93,NA,235,NA,14,NA,114,142,24,96,14,416,7.76,NA,8.8,NA,22.23,NA,NA,NA,10.78,13.43,2.27,9.08,NA,39.34,6.92,NA,7.95,NA,21.03,NA,NA,NA,10.52,13.09,2.22,8.78,NA,34.66
2008,Rhode Island,1055003,67,19,86,NA,279,NA,30,NA,149,193,29,110,NA,480,6.35,NA,8.15,NA,26.45,NA,2.84,NA,14.12,18.29,2.75,10.43,NA,45.5,5.64,NA,7.49,NA,25.56,NA,2.73,NA,14.05,18.08,2.7,9.94,NA,40.55
