year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Montana,897507,73,,76,,124,,19,,14,48,33,162,14,461,8.13,,8.47,,13.82,,,,,5.35,3.68,18.05,,51.36,7.77,,8.07,,13.47,,,,,5.39,3.76,17.69,,50.25
2000,Montana,902195,78,,80,,127,,11,11,19,47,35,158,14,495,8.65,,8.87,,14.08,,,,,5.21,3.88,17.51,,54.87,8.19,,8.42,,13.58,,,,,5.15,3.95,17.5,,53.94
2001,Montana,906961,105,,107,,169,,11,15,30,62,32,175,24,468,11.58,,11.8,,18.63,,,,3.31,6.84,3.53,19.3,2.65,51.6,10.94,,11.19,,18.07,,,,3.43,6.88,3.59,19.28,2.73,50.13
2002,Montana,911667,111,,111,,196,,26,14,36,85,23,184,27,524,12.18,,12.18,,21.5,,2.85,,3.95,9.32,2.52,20.18,2.96,57.48,11.35,,11.35,,20.79,,2.81,,4.04,9.46,2.52,19.99,2.99,55.57
2003,Montana,919630,105,,109,23,225,,18,29,45,116,37,180,36,518,11.42,,11.85,2.5,24.47,,,3.15,4.89,12.61,4.02,19.57,3.91,56.33,10.67,,11.12,2.33,24.01,,,3.28,5.11,12.89,4.23,19.45,4.02,54.8
2004,Montana,930009,95,,100,21,219,,24,20,54,119,25,175,33,535,10.21,,10.75,2.26,23.55,,2.58,2.15,5.81,12.8,2.69,18.82,3.55,57.53,9.37,,9.95,2.14,23.01,,2.57,2.29,6.03,13.04,2.76,18.79,3.72,55.26
2005,Montana,940102,123,,125,23,244,,25,17,54,119,33,206,26,524,13.08,,13.3,2.45,25.95,,2.66,,5.74,12.66,3.51,21.91,2.77,55.74,11.89,,12.08,2.19,24.39,,2.55,,5.88,12.33,3.41,21.73,2.66,53.15
2006,Montana,952692,144,,149,24,270,,24,17,55,121,35,189,25,558,15.12,,15.64,2.52,28.34,,2.52,,5.77,12.7,3.67,19.84,2.62,58.57,13.62,,14.22,2.29,26.76,,2.4,,5.82,12.54,3.81,19.69,2.69,55.67
2007,Montana,964706,135,,143,,275,,30,22,73,132,24,196,26,614,13.99,,14.82,,28.51,,3.11,2.28,7.57,13.68,2.49,20.32,2.7,63.65,12.19,,12.94,,26.32,,3.02,2.32,7.4,13.43,2.49,19.39,2.69,60.27
2008,Montana,976415,147,15,162,,303,,27,12,95,141,40,203,19,592,15.06,,16.59,,31.03,,2.77,,9.73,14.44,4.1,20.79,,60.63,13.44,,15,,29.75,,2.61,,10.27,14.76,4.2,20.6,,59.07
2009,Montana,983982,133,14,147,,294,,30,18,94,147,35,219,25,619,13.52,,14.94,,29.88,,3.05,,9.55,14.94,3.56,22.26,2.54,62.91,12.51,,13.91,,28.95,,2.95,,9.93,15.03,3.89,21.2,2.46,60.3
2010,Montana,989415,141,,147,,270,,32,23,63,123,30,227,34,548,14.25,,14.86,,27.29,,3.23,2.32,6.37,12.43,3.03,22.94,3.44,55.39,12.39,,13.05,,26.34,,3.31,2.57,6.96,13.3,3,21.76,3.69,53.22
2011,Montana,998199,133,,139,,289,,22,29,90,150,27,232,38,609,13.32,,13.93,,28.95,,2.2,2.91,9.02,15.03,2.7,23.24,3.81,61.01,11.61,,12.2,,27.47,,2.02,2.97,9.41,15.25,2.81,22.54,4.01,56.8
2012,Montana,1005141,157,,166,11,295,,24,16,78,129,24,233,24,572,15.62,,16.52,,29.35,,2.39,,7.76,12.83,2.39,23.18,2.39,56.91,13.89,,14.62,,27.78,,2.3,,8.09,13.16,2.43,22.61,2.49,52.79
