year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_homicide,deaths_suicide,deaths_undetermined,deaths_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_homicide,crude_rate_suicide,crude_rate_undetermined,crude_rate_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_homicide,age_adjusted_rate_suicide,age_adjusted_rate_undetermined,age_adjusted_rate_unintentional
1999,Oregon,3393941,301,NA,305,119,634,NA,40,34,135,329,107,478,51,1199,8.87,NA,8.99,3.51,18.68,NA,1.18,1,3.98,9.69,3.15,14.08,1.5,35.33,8.66,NA,8.78,3.49,18.42,NA,1.14,0.99,3.97,9.63,3.12,13.88,1.51,34.67
2000,Oregon,3421399,307,NA,312,98,618,NA,52,31,125,306,91,493,59,1248,8.97,NA,9.12,2.86,18.06,NA,1.52,0.91,3.65,8.94,2.66,14.41,1.72,36.48,8.73,NA,8.88,2.79,17.71,NA,1.48,0.89,3.61,8.84,2.67,14.12,1.71,35.75
2001,Oregon,3467937,367,NA,369,80,690,NA,60,42,139,321,100,505,70,1313,10.58,NA,10.64,2.31,19.9,NA,1.73,1.21,4.01,9.26,2.88,14.56,2.02,37.86,10.19,NA,10.26,2.27,19.39,NA,1.71,1.2,3.97,9.15,2.88,14.35,2,36.89
2002,Oregon,3513424,432,NA,434,93,845,NA,69,58,191,411,106,518,100,1397,12.3,NA,12.35,2.65,24.05,NA,1.96,1.65,5.44,11.7,3.02,14.74,2.85,39.76,11.71,NA,11.76,2.63,23.34,NA,1.93,1.63,5.39,11.57,3.09,14.44,2.79,38.39
2003,Oregon,3547376,500,NA,504,127,986,NA,86,49,220,482,93,592,79,1401,14.09,NA,14.21,3.58,27.8,NA,2.42,1.38,6.2,13.59,2.62,16.69,2.23,39.49,13.27,NA,13.39,3.48,26.67,NA,2.36,1.37,6.06,13.29,2.58,16.22,2.22,38.23
2004,Oregon,3569463,514,NA,515,117,997,NA,94,47,224,482,112,555,75,1444,14.4,NA,14.43,3.28,27.93,NA,2.63,1.32,6.28,13.5,3.14,15.55,2.1,40.45,13.34,NA,13.37,3.23,26.61,NA,2.58,1.28,6.18,13.24,3.13,15.05,2.08,38.86
2005,Oregon,3613202,522,NA,530,127,1043,NA,97,41,248,513,102,560,72,1469,14.45,NA,14.67,3.51,28.87,NA,2.68,1.13,6.86,14.2,2.82,15.5,1.99,40.66,13.2,NA,13.41,3.34,27.17,NA,2.52,1.08,6.83,13.74,2.86,14.92,1.98,38.83
2006,Oregon,3670883,475,NA,475,99,1059,NA,108,78,299,584,113,579,103,1586,12.94,NA,12.94,2.7,28.85,NA,2.94,2.12,8.15,15.91,3.08,15.77,2.81,43.2,11.67,NA,11.67,2.58,27.14,NA,2.85,2.07,7.97,15.47,3.09,15.29,2.75,40.82
2007,Oregon,3722417,529,14,543,62,1107,NA,74,78,349,564,81,594,111,1646,14.21,NA,14.59,1.67,29.74,NA,1.99,2.1,9.38,15.15,2.18,15.96,2.98,44.22,12.67,NA,13.05,1.56,27.73,NA,1.9,2.06,9.16,14.68,2.17,15.31,2.95,41.79
2008,Oregon,3768748,493,51,544,69,1065,NA,69,51,332,521,103,572,74,1674,13.08,1.35,14.43,1.83,28.26,NA,1.83,1.35,8.81,13.82,2.73,15.18,1.96,44.42,11.58,1.3,12.86,1.65,26.33,NA,1.74,1.35,8.76,13.47,2.76,14.53,1.93,41.71
2009,Oregon,3808600,556,36,592,75,1168,NA,90,51,360,576,103,644,94,1598,14.6,0.95,15.54,1.97,30.67,NA,2.36,1.34,9.45,15.12,2.7,16.91,2.47,41.96,12.86,0.95,13.8,1.69,28.38,NA,2.31,1.28,9.31,14.6,2.61,16.2,2.37,39.25
2010,Oregon,3831074,525,47,572,73,1148,NA,113,57,332,576,115,685,105,1566,13.7,1.23,14.93,1.91,29.97,NA,2.95,1.49,8.67,15.03,3,17.88,2.74,40.88,11.77,1.17,12.91,1.68,27.5,NA,2.86,1.44,8.59,14.58,2.93,17.12,2.66,37.84
2011,Oregon,3871859,604,41,645,64,1241,NA,95,52,385,596,109,656,89,1722,15.6,1.06,16.66,1.65,32.05,NA,2.45,1.34,9.94,15.39,2.82,16.94,2.3,44.47,13.55,0.98,14.54,1.36,29.44,NA,2.33,1.3,9.9,14.91,2.85,16.59,2.22,40.58
2012,Oregon,3899353,637,41,678,78,1246,NA,113,43,334,568,110,724,80,1709,16.34,1.05,17.39,2,31.95,NA,2.9,1.1,8.57,14.57,2.82,18.57,2.05,43.83,13.91,0.94,14.85,1.74,29.05,NA,2.74,1.01,8.73,14.2,2.8,17.82,1.92,39.86
2013,Oregon,3930065,665,54,719,90,1264,NA,86,38,331,545,90,698,66,1755,16.92,1.37,18.29,2.29,32.16,NA,2.19,0.97,8.42,13.87,2.29,17.76,1.68,44.66,14.15,1.31,15.47,1.94,28.75,NA,2.04,0.98,8.28,13.27,2.27,16.82,1.71,40.12
2014,Oregon,3970239,715,46,761,95,1378,NA,98,46,377,617,99,782,72,1803,18.01,1.16,19.17,2.39,34.71,NA,2.47,1.16,9.5,15.54,2.49,19.7,1.81,45.41,15.3,1.09,16.41,2.06,31.31,NA,2.31,1.11,9.37,14.88,2.42,18.62,1.76,40.96
2015,Oregon,4028977,856,40,896,104,1505,NA,97,48,360,609,138,762,77,1999,21.25,0.99,22.24,2.58,37.35,NA,2.41,1.19,8.94,15.12,3.43,18.91,1.91,49.62,17.66,0.96,18.61,2.18,32.83,NA,2.2,1.21,8.66,14.23,3.43,17.78,1.93,44.48
2016,Oregon,4093465,784,45,829,145,1480,NA,80,36,390,651,129,772,64,2105,19.15,1.1,20.25,3.54,36.16,NA,1.95,0.88,9.53,15.9,3.15,18.86,1.56,51.42,15.81,1.04,16.86,3.05,31.82,NA,1.77,0.85,9.34,14.99,3.26,17.84,1.53,46
2017,Oregon,4142776,839,40,879,146,1555,NA,92,32,405,676,127,825,60,2076,20.25,0.97,21.22,3.52,37.54,NA,2.22,0.77,9.78,16.32,3.07,19.91,1.45,50.11,16.57,0.87,17.42,3.01,32.82,NA,2.08,0.68,9.56,15.39,3.11,19,1.34,44.75
