year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Washington,5842564,556,10,566,41,1162,NA,95,53,401,596,190,816,103,1914,9.52,NA,9.69,0.7,19.89,NA,1.63,0.91,6.86,10.2,3.25,13.97,1.76,32.76,9.84,NA,10,0.71,20.01,NA,1.61,0.88,6.66,10,3.23,14.03,1.74,33.29
2000,Washington,5894121,517,NA,524,43,1123,NA,86,64,404,599,200,727,132,2049,8.77,NA,8.89,0.73,19.05,NA,1.46,1.09,6.85,10.16,3.39,12.33,2.24,34.76,8.99,NA,9.12,0.73,19.04,NA,1.45,1.05,6.65,9.94,3.39,12.35,2.19,35.46
2001,Washington,5985722,602,NA,611,48,1158,NA,79,64,356,547,195,712,110,2072,10.06,NA,10.21,0.8,19.35,NA,1.32,1.07,5.95,9.14,3.26,11.89,1.84,34.62,10.17,NA,10.31,0.8,19.26,NA,1.3,1.05,5.8,8.93,3.21,11.88,1.78,35.24
2002,Washington,6052349,565,NA,574,51,1268,NA,102,64,475,694,213,811,105,2203,9.34,NA,9.48,0.84,20.95,NA,1.69,1.06,7.85,11.47,3.52,13.4,1.73,36.4,9.32,NA,9.46,0.85,20.7,NA,1.69,1.03,7.67,11.22,3.49,13.35,1.7,36.82
2003,Washington,6104115,614,15,629,56,1381,NA,106,62,528,752,219,803,110,2239,10.06,NA,10.3,0.92,22.62,NA,1.74,1.02,8.65,12.32,3.59,13.16,1.8,36.68,9.88,NA,10.13,0.93,22.15,NA,1.69,0.99,8.41,12,3.53,13.06,1.73,36.94
2004,Washington,6178645,624,NA,633,77,1521,NA,138,58,613,888,217,830,112,2341,10.1,NA,10.24,1.25,24.62,NA,2.23,0.94,9.92,14.37,3.51,13.43,1.81,37.89,9.72,NA,9.87,1.25,23.87,NA,2.16,0.91,9.63,13.99,3.51,13.32,1.81,37.89
2005,Washington,6257305,612,NA,616,81,1547,NA,140,47,662,931,231,822,83,2543,9.78,NA,9.84,1.29,24.72,NA,2.24,0.75,10.58,14.88,3.69,13.14,1.33,40.64,9.37,NA,9.44,1.26,23.78,NA,2.15,0.71,10.17,14.32,3.64,12.8,1.26,40.43
2006,Washington,6370753,658,NA,663,73,1633,NA,133,47,713,970,221,809,89,2679,10.33,NA,10.41,1.15,25.63,NA,2.09,0.74,11.19,15.23,3.47,12.7,1.4,42.05,9.72,NA,9.79,1.13,24.51,NA,1.97,0.71,10.83,14.7,3.46,12.33,1.39,41.46
2007,Washington,6461587,690,28,718,41,1721,NA,132,61,768,1003,201,865,113,2637,10.68,0.43,11.11,0.63,26.63,NA,2.04,0.94,11.89,15.52,3.11,13.39,1.75,40.81,9.94,0.44,10.38,0.6,25.35,NA,1.96,0.91,11.44,14.96,3.09,13.06,1.69,40.2
2008,Washington,6562231,748,32,780,47,1838,NA,145,67,797,1058,224,889,108,2727,11.4,0.49,11.89,0.72,28.01,NA,2.21,1.02,12.15,16.12,3.41,13.55,1.65,41.56,10.53,0.47,11.02,0.69,26.48,NA,2.14,0.98,11.62,15.48,3.41,13.15,1.6,40.78
2009,Washington,6667426,768,47,815,44,1846,NA,119,63,804,1031,193,921,119,2696,11.52,0.7,12.22,0.66,27.69,NA,1.78,0.94,12.06,15.46,2.89,13.81,1.78,40.44,10.42,0.68,11.13,0.62,26.06,NA,1.68,0.89,11.71,14.91,2.87,13.34,1.71,39.42
2010,Washington,6724540,811,39,850,46,1812,NA,170,50,695,962,180,957,107,2609,12.06,0.58,12.64,0.68,26.95,NA,2.53,0.74,10.34,14.31,2.68,14.23,1.59,38.8,10.83,0.55,11.4,0.65,25.18,NA,2.45,0.73,9.91,13.78,2.69,13.94,1.52,37.59
2011,Washington,6830038,830,40,870,53,1920,NA,161,50,783,1050,180,1021,104,2709,12.15,0.59,12.74,0.78,28.11,NA,2.36,0.73,11.46,15.37,2.64,14.95,1.52,39.66,10.8,0.54,11.33,0.72,26.15,NA,2.19,0.72,11.14,14.83,2.65,14.27,1.54,38.05
2012,Washington,6897012,896,64,960,48,1993,NA,158,49,778,1033,227,1038,97,2760,12.99,0.93,13.92,0.7,28.9,NA,2.29,0.71,11.28,14.98,3.29,15.05,1.41,40.02,11.5,0.84,12.32,0.64,26.7,NA,2.14,0.72,10.83,14.33,3.3,14.53,1.4,38.31
2013,Washington,6971406,976,66,1042,73,2084,NA,143,34,790,1042,204,1027,89,2826,14,0.95,14.95,1.05,29.89,NA,2.05,0.49,11.33,14.95,2.93,14.73,1.28,40.54,12.33,0.9,13.25,1.04,27.72,NA,1.88,0.48,11.03,14.46,2.89,14.05,1.26,38.74
2014,Washington,7061530,994,45,1039,79,2097,NA,161,29,789,1058,211,1119,79,2997,14.08,0.64,14.71,1.12,29.7,NA,2.28,0.41,11.17,14.98,2.99,15.85,1.12,42.44,12.29,0.61,12.88,1.1,27.27,NA,2.09,0.39,10.78,14.38,3.07,15.24,1.12,40.06
2015,Washington,7170351,1047,53,1100,95,2289,NA,159,50,885,1189,239,1137,103,3192,14.6,0.74,15.34,1.32,31.92,NA,2.22,0.7,12.34,16.58,3.33,15.86,1.44,44.52,12.67,0.68,13.36,1.26,29.36,NA,2.07,0.69,12.01,16.01,3.38,15.41,1.38,41.94
2016,Washington,7288000,952,66,1018,110,2230,NA,158,38,906,1212,216,1141,94,3221,13.06,0.91,13.97,1.51,30.6,NA,2.17,0.52,12.43,16.63,2.96,15.66,1.29,44.2,11.38,0.83,12.2,1.39,28.1,NA,1.98,0.5,12.02,15.91,2.94,14.9,1.25,41.35
2017,Washington,7405743,1095,57,1152,140,2461,NA,135,45,989,1309,266,1297,98,3455,14.79,0.77,15.56,1.89,33.23,NA,1.82,0.61,13.35,17.68,3.59,17.51,1.32,46.65,12.71,0.7,13.4,1.69,30.25,NA,1.7,0.6,12.87,16.85,3.64,16.91,1.28,43.95
