year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Nebraska,1704764,89,NA,90,NA,131,NA,10,NA,24,41,61,177,28,668,5.22,NA,5.28,NA,7.68,NA,NA,NA,1.41,2.41,3.58,10.38,1.64,39.18,5.36,NA,5.43,NA,7.88,NA,NA,NA,1.43,2.45,3.54,10.48,1.6,37.34
2000,Nebraska,1711263,67,NA,70,NA,122,NA,14,10,22,52,64,193,19,640,3.92,NA,4.09,NA,7.13,NA,NA,NA,1.29,3.04,3.74,11.28,NA,37.4,4.02,NA,4.2,NA,7.27,NA,NA,NA,1.31,3.06,3.71,11.25,NA,35.3
2001,Nebraska,1719836,86,NA,86,NA,155,NA,12,21,33,69,44,187,36,633,5,NA,5,NA,9.01,NA,NA,1.22,1.92,4.01,2.56,10.87,2.09,36.81,5.07,NA,5.07,NA,9.19,NA,NA,1.25,1.96,4.11,2.58,10.92,2.12,34.78
2002,Nebraska,1728292,105,NA,108,NA,177,NA,19,18,29,69,50,201,33,762,6.08,NA,6.25,NA,10.24,NA,NA,NA,1.68,3.99,2.89,11.63,1.91,44.09,6.09,NA,6.28,NA,10.39,NA,NA,NA,1.76,4.12,2.95,11.77,1.92,41.66
2003,Nebraska,1738643,92,NA,92,33,180,NA,13,12,30,88,63,176,29,696,5.29,NA,5.29,1.9,10.35,NA,NA,NA,1.73,5.06,3.62,10.12,1.67,40.03,5.29,NA,5.29,1.83,10.3,NA,NA,NA,1.76,5.04,3.64,10.16,1.63,37.96
2004,Nebraska,1749370,102,NA,103,32,194,NA,20,NA,34,91,39,166,19,743,5.83,NA,5.89,1.83,11.09,NA,1.14,NA,1.94,5.2,2.23,9.49,NA,42.47,5.72,NA,5.77,1.68,11.02,NA,1.23,NA,2.03,5.24,2.17,9.5,NA,39.72
2005,Nebraska,1761497,109,NA,113,43,242,NA,23,20,43,129,44,187,34,704,6.19,NA,6.41,2.44,13.74,NA,1.31,1.14,2.44,7.32,2.5,10.62,1.93,39.97,6.17,NA,6.41,2.28,13.7,NA,1.34,1.17,2.5,7.29,2.55,10.88,1.93,37.41
2006,Nebraska,1772693,103,NA,105,40,236,NA,21,14,56,131,55,202,33,683,5.81,NA,5.92,2.26,13.31,NA,1.18,NA,3.16,7.39,3.1,11.4,1.86,38.53,5.62,NA,5.75,2.04,13.16,NA,1.18,NA,3.36,7.41,3.06,11.17,1.86,36.14
2007,Nebraska,1783440,92,11,103,12,195,NA,13,17,50,92,71,181,30,674,5.16,NA,5.78,NA,10.93,NA,NA,NA,2.8,5.16,3.98,10.15,1.68,37.79,5.05,NA,5.7,NA,11.06,NA,NA,NA,2.99,5.36,4.14,10.13,1.74,35.81
2008,Nebraska,1796378,121,16,137,19,250,NA,17,NA,73,113,78,191,NA,714,6.74,NA,7.63,NA,13.92,NA,NA,NA,4.06,6.29,4.34,10.63,NA,39.75,6.36,NA,7.2,NA,13.65,NA,NA,NA,4.25,6.43,4.34,10.6,NA,37.09
2009,Nebraska,1812683,119,15,134,12,252,NA,14,11,81,118,48,170,24,683,6.56,NA,7.39,NA,13.9,NA,NA,NA,4.47,6.51,2.65,9.38,1.32,37.68,5.85,NA,6.71,NA,13.22,NA,NA,NA,4.58,6.5,2.75,9.3,1.26,35.59
2010,Nebraska,1826341,136,NA,145,13,275,NA,20,16,81,130,60,193,20,700,7.45,NA,7.94,NA,15.06,NA,1.1,NA,4.44,7.12,3.29,10.57,1.1,38.33,6.91,NA,7.41,NA,14.77,NA,1.07,NA,4.75,7.35,3.39,10.43,1.09,35.76
2011,Nebraska,1842641,116,14,130,19,278,NA,17,15,96,148,67,193,30,678,6.3,NA,7.06,NA,15.09,NA,NA,NA,5.21,8.03,3.64,10.47,1.63,36.8,5.87,NA,6.64,NA,14.69,NA,NA,NA,5.3,8.03,3.85,10.53,1.61,33.63
2012,Nebraska,1855525,163,11,174,NA,328,NA,25,NA,117,154,64,232,14,792,8.78,NA,9.38,NA,17.68,NA,1.35,NA,6.31,8.3,3.45,12.5,NA,42.68,7.85,NA,8.48,NA,16.79,NA,1.3,NA,6.38,8.32,3.53,12.5,NA,39.81
2013,Nebraska,1868516,170,11,181,20,318,NA,21,NA,92,137,75,220,14,703,9.1,NA,9.69,1.07,17.02,NA,1.12,NA,4.92,7.33,4.01,11.77,NA,37.62,8.46,NA,9.11,0.98,16.57,NA,1.09,NA,5.13,7.48,4.11,11.64,NA,34.9
2014,Nebraska,1881503,171,13,184,15,324,NA,25,NA,93,140,63,251,20,781,9.09,NA,9.78,NA,17.22,NA,1.33,NA,4.94,7.44,3.35,13.34,1.06,41.51,8.31,NA,8.99,NA,16.88,NA,1.39,NA,5.42,7.89,3.4,13.4,1.08,38.59
2015,Nebraska,1896190,181,18,199,13,338,NA,18,NA,104,139,75,223,16,799,9.55,NA,10.49,NA,17.83,NA,NA,NA,5.48,7.33,3.96,11.76,NA,42.14,8.83,NA,9.81,NA,17.42,NA,NA,NA,5.87,7.63,4.04,11.74,NA,38.87
2016,Nebraska,1907116,207,13,220,26,366,NA,20,NA,94,146,60,246,23,772,10.85,NA,11.54,1.36,19.19,NA,1.05,NA,4.93,7.66,3.15,12.9,1.21,40.48,10,NA,10.77,1.27,18.48,NA,1.03,NA,5.11,7.71,3.33,13.07,1.21,36.96
2017,Nebraska,1920076,227,18,245,11,408,NA,22,NA,125,163,50,275,19,811,11.82,NA,12.76,NA,21.25,NA,1.15,NA,6.51,8.49,2.6,14.32,NA,42.24,10.85,NA,11.84,NA,20.51,NA,1.26,NA,6.58,8.68,2.73,14.68,NA,38.53
