year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Indiana,6044969,301,NA,307,60,558,NA,50,39,101,251,386,628,78,2309,4.98,NA,5.08,0.99,9.23,NA,0.83,0.65,1.67,4.15,6.39,10.39,1.29,38.2,5.05,NA,5.16,1.02,9.33,NA,0.84,0.64,1.67,4.16,6.28,10.41,1.31,38.43
2000,Indiana,6080485,342,NA,347,75,636,NA,52,49,113,289,367,683,86,2139,5.62,NA,5.71,1.23,10.46,NA,0.86,0.81,1.86,4.75,6.04,11.23,1.41,35.18,5.68,NA,5.76,1.24,10.56,NA,0.87,0.81,1.85,4.78,5.96,11.27,1.42,35.37
2001,Indiana,6127760,302,NA,310,65,658,NA,72,71,139,348,437,715,112,2185,4.93,NA,5.06,1.06,10.74,NA,1.17,1.16,2.27,5.68,7.13,11.67,1.83,35.66,4.93,NA,5.08,1.06,10.79,NA,1.18,1.17,2.3,5.74,7.06,11.69,1.84,35.79
2002,Indiana,6155967,320,NA,325,52,670,NA,64,84,143,345,385,743,119,2148,5.2,NA,5.28,0.84,10.88,NA,1.04,1.36,2.32,5.6,6.25,12.07,1.93,34.89,5.17,NA,5.24,0.84,10.93,NA,1.05,1.37,2.35,5.67,6.22,12.11,1.95,34.89
2003,Indiana,6196638,325,NA,330,64,828,NA,79,111,242,498,347,736,155,2196,5.24,NA,5.33,1.03,13.36,NA,1.27,1.79,3.91,8.04,5.6,11.88,2.5,35.44,5.13,NA,5.23,1.05,13.39,NA,1.27,1.82,3.97,8.15,5.62,11.89,2.53,35.39
2004,Indiana,6233007,316,11,327,64,933,NA,83,138,317,606,332,704,228,2395,5.07,NA,5.25,1.03,14.97,NA,1.33,2.21,5.09,9.72,5.33,11.29,3.66,38.42,4.97,NA,5.13,1.05,15,NA,1.34,2.23,5.16,9.86,5.32,11.34,3.67,38.35
2005,Indiana,6278616,305,14,319,55,984,NA,83,157,369,665,368,745,194,2480,4.86,NA,5.08,0.88,15.67,NA,1.32,2.5,5.88,10.59,5.86,11.87,3.09,39.5,4.67,NA,4.87,0.91,15.62,NA,1.33,2.57,5.96,10.74,5.85,11.85,3.15,39.26
2006,Indiana,6332669,324,NA,332,37,1105,NA,112,174,449,773,375,824,221,2480,5.12,NA,5.24,0.58,17.45,NA,1.77,2.75,7.09,12.21,5.92,13.01,3.49,39.16,4.9,NA,5.03,0.56,17.35,NA,1.79,2.8,7.15,12.32,5.95,13,3.53,38.92
2007,Indiana,6379599,276,39,315,46,1142,NA,102,172,504,827,374,790,204,2499,4.33,0.61,4.94,0.72,17.9,NA,1.6,2.7,7.9,12.96,5.86,12.38,3.2,39.17,4.1,0.59,4.69,0.75,17.83,NA,1.58,2.75,8.02,13.13,5.89,12.34,3.22,38.84
2008,Indiana,6424806,343,33,376,39,1245,NA,83,214,529,869,323,809,260,2558,5.34,0.51,5.85,0.61,19.38,NA,1.29,3.33,8.23,13.53,5.03,12.59,4.05,39.81,4.93,0.51,5.44,0.61,19.25,NA,1.3,3.38,8.45,13.81,5.18,12.58,4.09,39.45
