year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Maryland,5254509,313,NA,314,31,974,NA,47,544,36,660,531,435,589,1296,5.96,NA,5.98,0.59,18.54,NA,0.89,10.35,0.69,12.56,10.11,8.28,11.21,24.66,5.94,NA,5.97,0.56,17.96,NA,0.87,9.84,0.69,12,10.2,8.28,10.7,25.93
2000,Maryland,5296486,289,NA,294,34,951,NA,50,523,48,657,503,474,578,1182,5.46,NA,5.55,0.64,17.96,NA,0.94,9.87,0.91,12.4,9.5,8.95,10.91,22.32,5.4,NA,5.49,0.62,17.39,NA,0.92,9.41,0.92,11.9,9.65,8.98,10.43,23.25
2001,Maryland,5374691,276,NA,278,37,954,NA,56,535,45,676,555,454,590,1339,5.14,NA,5.17,0.69,17.75,NA,1.04,9.95,0.84,12.58,10.33,8.45,10.98,24.91,4.96,NA,5,0.63,17.13,NA,1.03,9.58,0.83,12.11,10.4,8.4,10.62,25.77
2002,Maryland,5440389,292,NA,295,36,1054,NA,63,623,37,759,540,477,677,1332,5.37,NA,5.42,0.66,19.37,NA,1.16,11.45,0.68,13.95,9.93,8.77,12.44,24.48,5.19,NA,5.24,0.63,18.78,NA,1.13,11.1,0.69,13.53,10.07,8.75,12.08,25.24
2003,Maryland,5496269,278,NA,283,55,1117,NA,50,668,60,834,557,491,710,1432,5.06,NA,5.15,1,20.32,NA,0.91,12.15,1.09,15.17,10.13,8.93,12.92,26.05,4.89,NA,4.97,0.96,19.73,NA,0.87,11.79,1.09,14.75,10.3,8.9,12.52,26.73
2004,Maryland,5546935,277,NA,280,45,1001,NA,63,573,38,721,533,500,625,1412,4.99,NA,5.05,0.81,18.05,NA,1.14,10.33,0.69,13,9.61,9.01,11.27,25.46,4.74,NA,4.79,0.8,17.43,NA,1.1,10.01,0.69,12.66,9.76,8.84,10.97,26.01
2005,Maryland,5592379,276,NA,281,40,977,NA,58,559,38,696,576,472,608,1376,4.94,NA,5.02,0.72,17.47,NA,1.04,10,0.68,12.45,10.3,8.44,10.87,24.6,4.59,NA,4.69,0.67,16.79,NA,1.01,9.74,0.66,12.11,10.42,8.42,10.6,24.96
2006,Maryland,5627367,294,NA,294,43,1099,NA,54,661,47,805,568,495,727,1456,5.22,NA,5.22,0.76,19.53,NA,0.96,11.75,0.84,14.31,10.09,8.8,12.92,25.87,4.89,NA,4.89,0.75,18.8,NA,0.93,11.4,0.82,13.9,10.2,8.63,12.56,26.12
2007,Maryland,5653408,292,46,338,38,1145,NA,49,677,41,807,573,518,778,1480,5.17,0.81,5.98,0.67,20.25,NA,0.87,11.98,0.73,14.27,10.14,9.16,13.76,26.18,4.69,0.78,5.46,0.63,19.28,NA,0.82,11.63,0.74,13.85,10.3,8.98,13.34,26.19
2008,Maryland,5684965,235,34,269,38,1000,NA,57,578,57,731,523,507,667,1465,4.13,0.6,4.73,0.67,17.59,NA,1,10.17,1,12.86,9.2,8.92,11.73,25.77,3.84,0.57,4.41,0.6,16.76,NA,0.94,9.78,1.01,12.35,9.26,8.66,11.29,25.59
