year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Iowa,2917634,150,NA,153,NA,212,NA,22,NA,25,59,53,305,16,1123,5.14,NA,5.24,NA,7.27,NA,0.75,NA,0.86,2.02,1.82,10.45,NA,38.49,4.99,NA,5.1,NA,7.17,NA,0.77,NA,0.89,2.05,1.84,10.3,NA,35.24
2000,Iowa,2926324,133,NA,135,NA,214,NA,21,14,38,79,58,289,24,1070,4.54,NA,4.61,NA,7.31,NA,0.72,NA,1.3,2.7,1.98,9.88,0.82,36.56,4.43,NA,4.49,NA,7.23,NA,0.72,NA,1.31,2.74,2.03,9.82,0.78,33.43
2001,Iowa,2931997,157,NA,158,NA,248,NA,32,14,41,90,61,304,27,1051,5.35,NA,5.39,NA,8.46,NA,1.09,NA,1.4,3.07,2.08,10.37,0.92,35.85,5.16,NA,5.2,NA,8.31,NA,1.12,NA,1.38,3.11,2.08,10.22,0.9,32.45
2002,Iowa,2934234,160,NA,162,10,263,NA,29,NA,58,101,56,314,13,1093,5.45,NA,5.52,NA,8.96,NA,0.99,NA,1.98,3.44,1.91,10.7,NA,37.25,5.22,NA,5.3,NA,8.74,NA,0.96,NA,2.02,3.46,1.96,10.66,NA,33.58
2003,Iowa,2941999,163,NA,167,14,277,NA,26,NA,62,110,50,352,20,1164,5.54,NA,5.68,NA,9.42,NA,0.88,NA,2.11,3.74,1.7,11.96,0.68,39.56,5.32,NA,5.45,NA,9.28,NA,0.91,NA,2.19,3.85,1.79,11.87,0.71,35.37
2004,Iowa,2953635,155,NA,156,10,288,NA,42,12,67,132,57,343,29,1108,5.25,NA,5.28,NA,9.75,NA,1.42,NA,2.27,4.47,1.93,11.61,0.98,37.51,4.99,NA,5.02,NA,9.57,NA,1.47,NA,2.34,4.56,1.98,11.54,0.95,33.42
2005,Iowa,2964454,190,NA,193,13,347,NA,45,NA,87,154,44,333,28,1202,6.41,NA,6.51,NA,11.71,NA,1.52,NA,2.93,5.19,1.48,11.23,0.94,40.55,5.94,NA,6.07,NA,11.36,NA,1.57,NA,3.02,5.27,1.57,11.18,0.89,36.7
2006,Iowa,2982644,178,NA,185,12,384,NA,45,28,114,199,73,334,35,1188,5.97,NA,6.2,NA,12.87,NA,1.51,0.94,3.82,6.67,2.45,11.2,1.17,39.83,5.5,NA,5.76,NA,12.7,NA,1.57,0.98,3.99,6.95,2.51,11.16,1.23,35.68
2007,Iowa,2999212,199,13,212,NA,423,NA,62,24,117,211,51,322,32,1252,6.64,NA,7.07,NA,14.1,NA,2.07,0.8,3.9,7.04,1.7,10.74,1.07,41.74,6.08,NA,6.53,NA,13.66,NA,2.1,0.82,3.99,7.13,1.78,10.66,1.09,37.46
2008,Iowa,3016734,181,24,205,NA,419,NA,54,25,130,214,81,380,43,1266,6,0.8,6.8,NA,13.89,NA,1.79,0.83,4.31,7.09,2.69,12.6,1.43,41.97,5.36,0.83,6.17,NA,13.54,NA,1.86,0.9,4.42,7.34,2.83,12.63,1.55,37.81
