year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Arkansas,2651860,119,NA,120,NA,241,NA,32,49,31,121,179,336,78,1287,4.49,NA,4.53,NA,9.09,NA,1.21,1.85,1.17,4.56,6.75,12.67,2.94,48.53,4.47,NA,4.52,NA,9.25,NA,1.24,1.93,1.19,4.73,6.81,12.61,3.02,47.56
2000,Arkansas,2673400,108,NA,113,11,264,NA,30,64,46,151,204,349,84,1267,4.04,NA,4.23,NA,9.88,NA,1.12,2.39,1.72,5.65,7.63,13.05,3.14,47.39,3.98,NA,4.19,NA,10,NA,1.14,2.5,1.75,5.81,7.63,12.99,3.25,46.46
2001,Arkansas,2691571,159,NA,161,NA,292,NA,33,53,40,131,183,382,70,1277,5.91,NA,5.98,NA,10.85,NA,1.23,1.97,1.49,4.87,6.8,14.19,2.6,47.44,5.76,NA,5.83,NA,10.87,NA,1.28,2.08,1.51,5.03,6.93,14.25,2.71,46.52
2002,Arkansas,2705927,130,NA,136,14,326,NA,40,76,59,190,194,377,119,1311,4.8,NA,5.03,NA,12.05,NA,1.48,2.81,2.18,7.02,7.17,13.93,4.4,48.45,4.58,NA,4.81,NA,12.14,NA,1.53,2.97,2.29,7.33,7.27,13.96,4.58,47.59
2003,Arkansas,2724816,133,NA,138,19,341,NA,42,81,61,203,195,374,108,1304,4.88,NA,5.06,NA,12.51,NA,1.54,2.97,2.24,7.45,7.16,13.73,3.96,47.86,4.65,NA,4.82,NA,12.55,NA,1.6,3.08,2.32,7.72,7.29,13.61,4.1,46.88
2004,Arkansas,2749686,124,NA,131,19,380,NA,46,88,93,249,211,361,116,1406,4.51,NA,4.76,NA,13.82,NA,1.67,3.2,3.38,9.06,7.67,13.13,4.22,51.13,4.35,NA,4.57,NA,13.94,NA,1.66,3.35,3.54,9.39,7.82,12.99,4.4,50.64
2005,Arkansas,2781097,140,NA,146,17,432,NA,48,112,109,286,219,400,143,1329,5.03,NA,5.25,NA,15.53,NA,1.73,4.03,3.92,10.28,7.87,14.38,5.14,47.79,4.65,NA,4.87,NA,15.51,NA,1.78,4.19,4.07,10.68,7.96,14.34,5.34,46.98
2006,Arkansas,2821761,169,NA,171,22,478,NA,38,112,135,307,234,376,147,1415,5.99,NA,6.06,0.78,16.94,NA,1.35,3.97,4.78,10.88,8.29,13.33,5.21,50.15,5.63,NA,5.72,0.83,17.01,NA,1.37,4.21,4.9,11.3,8.52,13.29,5.47,49.4
2007,Arkansas,2848650,155,18,173,25,499,NA,44,128,129,326,243,402,165,1391,5.44,NA,6.07,0.88,17.52,NA,1.54,4.49,4.53,11.44,8.53,14.11,5.79,48.83,4.95,NA,5.59,0.87,17.34,NA,1.56,4.66,4.69,11.75,8.75,14.22,5.96,47.79
2008,Arkansas,2874554,178,22,200,30,590,NA,68,95,197,390,214,447,127,1477,6.19,0.77,6.96,1.04,20.52,NA,2.37,3.3,6.85,13.57,7.44,15.55,4.42,51.38,5.69,0.8,6.47,0.95,20.52,NA,2.47,3.46,7.14,14.03,7.72,15.5,4.54,50.55
