year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Virginia,7000174,314,19,333,25,724,,107,12,247,391,419,791,27,2214,4.49,,4.76,0.36,10.34,,1.53,,3.53,5.59,5.99,11.3,0.39,31.63,4.51,,4.78,0.36,10.19,,1.5,,3.39,5.41,5.89,11.2,0.37,33.17
2000,Virginia,7078515,340,18,358,30,799,,101,21,288,441,435,768,49,2396,4.8,,5.06,0.42,11.29,,1.43,0.3,4.07,6.23,6.15,10.85,0.69,33.85,4.79,,5.03,0.43,11.08,,1.37,0.28,3.94,6.05,6.05,10.8,0.68,35.35
2001,Virginia,7198362,324,26,350,44,853,,125,18,314,503,509,797,40,2432,4.5,0.36,4.86,0.61,11.85,,1.74,,4.36,6.99,7.07,11.07,0.56,33.79,4.41,0.35,4.76,0.61,11.54,,1.68,,4.21,6.79,6.94,10.97,0.55,35.23
2002,Virginia,7286873,309,21,330,18,857,,88,20,401,527,397,799,63,2479,4.24,0.29,4.53,,11.76,,1.21,0.27,5.5,7.23,5.45,10.96,0.86,34.02,4.18,0.27,4.44,,11.48,,1.18,0.26,5.36,7.04,5.39,10.9,0.85,35.22
2003,Virginia,7366977,363,28,391,33,971,,112,14,421,580,462,808,37,2644,4.93,0.38,5.31,0.45,13.18,,1.52,,5.71,7.87,6.27,10.97,0.5,35.89,4.74,0.36,5.1,0.45,12.78,,1.49,,5.58,7.68,6.21,10.87,0.48,37.04
2004,Virginia,7475575,310,22,332,37,927,,98,15,445,595,407,828,37,2630,4.15,0.29,4.44,0.49,12.4,,1.31,,5.95,7.96,5.44,11.08,0.49,35.18,3.91,0.28,4.19,0.48,12.01,,1.3,,5.84,7.81,5.4,10.93,0.5,36.22
2005,Virginia,7577105,328,22,350,36,967,,111,16,454,617,490,866,43,2638,4.33,0.29,4.62,0.48,12.76,,1.46,,5.99,8.14,6.47,11.43,0.57,34.82,4.09,0.28,4.37,0.47,12.35,,1.43,,5.92,7.98,6.4,11.18,0.56,35.6
2006,Virginia,7673725,337,11,348,41,1018,,128,18,481,670,410,876,49,2703,4.39,,4.53,0.53,13.27,,1.67,,6.27,8.73,5.34,11.42,0.64,35.22,4.15,,4.3,0.51,12.86,,1.59,,6.19,8.55,5.28,11.12,0.6,35.84
2007,Virginia,7751000,417,28,445,13,1158,,148,29,522,713,420,880,61,2931,5.38,0.36,5.74,,14.94,,1.91,0.37,6.73,9.2,5.42,11.35,0.79,37.81,4.92,0.35,5.28,,14.31,,1.84,0.37,6.69,9.06,5.33,11.1,0.77,38.26
2008,Virginia,7833496,428,32,460,12,1190,,138,20,560,730,376,948,61,2820,5.46,0.41,5.87,,15.19,,1.76,0.26,7.15,9.32,4.8,12.1,0.78,36,4.96,0.41,5.38,,14.52,,1.73,0.25,7.06,9.16,4.8,11.78,0.75,36.21
