year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Nevada,1934718,252,NA,254,NA,490,NA,52,37,138,236,167,404,59,710,13.03,NA,13.13,NA,25.33,NA,2.69,1.91,7.13,12.2,8.63,20.88,3.05,36.7,13.09,NA,13.18,NA,25.21,NA,2.64,1.94,7,12.04,8.65,21.28,3.06,38.48
2000,Nevada,1998257,215,NA,217,NA,498,NA,62,35,176,281,134,400,59,730,10.76,NA,10.86,NA,24.92,NA,3.1,1.75,8.81,14.06,6.71,20.02,2.95,36.53,10.65,NA,10.75,NA,24.85,NA,3.12,1.72,8.85,14.09,6.65,20.18,2.92,38.65
2001,Nevada,2098399,250,NA,251,NA,519,NA,63,35,161,268,175,387,62,739,11.91,NA,11.96,NA,24.73,NA,3,1.67,7.67,12.77,8.34,18.44,2.95,35.22,11.77,NA,11.81,NA,24.41,NA,2.96,1.66,7.57,12.59,8.35,18.65,2.89,37.04
2002,Nevada,2173791,211,NA,211,NA,543,NA,81,35,206,332,175,423,63,860,9.71,NA,9.71,NA,24.98,NA,3.73,1.61,9.48,15.27,8.05,19.46,2.9,39.56,9.45,NA,9.45,NA,24.64,NA,3.73,1.61,9.39,15.19,8.01,19.65,2.85,41.73
2003,Nevada,2248850,244,NA,245,NA,595,NA,63,15,262,350,183,434,29,911,10.85,NA,10.89,NA,26.46,NA,2.8,NA,11.65,15.56,8.14,19.3,1.29,40.51,10.46,NA,10.51,NA,26.12,NA,2.85,NA,11.6,15.62,8.03,19.86,1.27,41.86
2004,Nevada,2346222,230,NA,232,15,627,NA,62,11,302,395,186,440,23,1021,9.8,NA,9.89,NA,26.72,NA,2.64,NA,12.87,16.84,7.93,18.75,0.98,43.52,9.34,NA,9.41,NA,26.05,NA,2.57,NA,12.79,16.66,7.84,18.91,0.93,45.2
2005,Nevada,2432143,224,NA,225,NA,689,NA,93,18,344,464,190,480,27,1104,9.21,NA,9.25,NA,28.33,NA,3.82,NA,14.14,19.08,7.81,19.74,1.11,45.39,8.85,NA,8.89,NA,27.87,NA,3.88,NA,13.97,18.96,7.79,19.79,1.09,47.02
2006,Nevada,2522658,217,NA,217,10,688,NA,84,20,353,471,219,486,38,1091,8.6,NA,8.6,NA,27.27,NA,3.33,0.79,13.99,18.67,8.68,19.27,1.51,43.25,8.14,NA,8.14,NA,26.52,NA,3.28,0.8,13.73,18.37,8.73,19.32,1.48,44.26
2007,Nevada,2601072,244,NA,253,16,768,NA,85,15,399,515,188,471,36,1212,9.38,NA,9.73,NA,29.53,NA,3.27,NA,15.34,19.8,7.23,18.11,1.38,46.6,8.87,NA,9.25,NA,28.69,NA,3.2,NA,15.09,19.47,7.17,18.03,1.31,48.05
2008,Nevada,2653630,268,13,281,10,810,NA,89,19,411,529,161,528,41,1134,10.1,NA,10.59,NA,30.52,NA,3.35,NA,15.49,19.93,6.07,19.9,1.55,42.73,9.52,NA,10,NA,29.55,NA,3.31,NA,15.13,19.54,5.97,19.74,1.54,43.99
2009,Nevada,2684665,302,17,319,NA,874,NA,83,17,449,555,153,505,35,1025,11.25,NA,11.88,NA,32.56,NA,3.09,NA,16.72,20.67,5.7,18.81,1.3,38.18,10.47,NA,11.12,NA,31.34,NA,3,NA,16.42,20.24,5.75,18.71,1.33,38.95
2010,Nevada,2700551,316,20,336,NA,917,NA,90,14,472,581,164,547,35,1088,11.7,0.74,12.44,NA,33.96,NA,3.33,NA,17.48,21.51,6.07,20.26,1.3,40.29,10.71,0.73,11.43,NA,32.28,NA,3.12,NA,17.05,20.85,6.07,19.8,1.23,41.32
2011,Nevada,2723322,328,18,346,NA,988,NA,98,18,522,642,130,516,39,1155,12.04,NA,12.71,NA,36.28,NA,3.6,NA,19.17,23.57,4.77,18.95,1.43,42.41,11.08,NA,11.76,NA,34.72,NA,3.44,NA,18.77,22.96,4.84,18.41,1.36,42.8
2012,Nevada,2758931,339,30,369,NA,980,NA,103,19,480,611,123,524,29,1177,12.29,1.09,13.37,NA,35.52,NA,3.73,NA,17.4,22.15,4.46,18.99,1.05,42.66,11.21,1.11,12.31,NA,33.6,NA,3.48,NA,16.81,21.28,4.52,18.24,1.02,42.38
2013,Nevada,2790136,355,13,368,NA,990,NA,105,17,490,622,151,541,34,1184,12.72,NA,13.19,NA,35.48,NA,3.76,NA,17.56,22.29,5.41,19.39,1.22,42.44,11.38,NA,11.81,NA,33.17,NA,3.51,NA,16.95,21.4,5.4,18.62,1.18,41.94
2014,Nevada,2839099,361,17,378,10,933,NA,87,NA,447,555,176,573,25,1166,12.72,NA,13.31,NA,32.86,NA,3.06,NA,15.74,19.55,6.2,20.18,0.88,41.07,11.34,NA,11.92,NA,30.67,NA,2.93,NA,15.1,18.76,6.28,19.56,0.86,40.25
2015,Nevada,2890845,420,13,433,10,1062,NA,87,13,517,629,191,558,32,1340,14.53,NA,14.98,NA,36.74,NA,3.01,NA,17.88,21.76,6.61,19.3,1.11,46.35,12.7,NA,13.17,NA,33.85,NA,2.8,NA,17.03,20.68,6.67,18.44,1.12,45.39
2016,Nevada,2940058,450,21,471,13,1149,NA,113,16,535,678,211,650,39,1395,15.31,0.71,16.02,NA,39.08,NA,3.84,NA,18.2,23.06,7.18,22.11,1.33,47.45,13.25,0.68,13.91,NA,35.99,NA,3.6,NA,17.53,22.1,7.42,21.39,1.19,45.97
2017,Nevada,2998039,490,23,513,22,1211,NA,105,20,550,698,221,627,57,1496,16.34,0.77,17.11,0.73,40.39,NA,3.5,0.67,18.35,23.28,7.37,20.91,1.9,49.9,14.13,0.7,14.84,0.67,37.08,NA,3.33,0.66,17.55,22.24,7.57,20.28,1.78,47.82
