year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,California,33499204,3244,42,3286,429,6377,NA,403,100,2157,3091,2066,3077,252,9198,9.68,0.13,9.81,1.28,19.04,NA,1.2,0.3,6.44,9.23,6.17,9.19,0.75,27.46,10.67,0.12,10.78,1.32,20.2,NA,1.25,0.32,6.51,9.41,6,9.59,0.76,28.71
2000,California,33871648,3374,32,3406,360,5707,NA,343,74,1519,2301,2064,2969,176,8577,9.96,0.09,10.06,1.06,16.85,NA,1.01,0.22,4.48,6.79,6.09,8.77,0.52,25.32,10.87,0.09,10.95,1.11,17.89,NA,1.06,0.23,4.52,6.93,5.9,9.14,0.53,26.46
2001,California,34479458,3370,29,3399,281,4906,NA,203,45,976,1507,2223,2831,103,8132,9.77,0.08,9.86,0.81,14.23,NA,0.59,0.13,2.83,4.37,6.45,8.21,0.3,23.59,10.55,0.07,10.63,0.85,15.09,NA,0.62,0.14,2.87,4.45,6.24,8.53,0.29,24.54
2002,California,34871843,3486,56,3542,443,6960,NA,511,138,2318,3418,2485,3228,320,10107,10,0.16,10.16,1.27,19.96,NA,1.47,0.4,6.65,9.8,7.13,9.26,0.92,28.98,10.64,0.16,10.81,1.31,20.78,NA,1.52,0.4,6.75,9.95,6.9,9.59,0.93,30.07
2003,California,35253159,3691,61,3752,506,7366,11,542,156,2399,3614,2487,3397,371,10471,10.47,0.17,10.64,1.44,20.89,NA,1.54,0.44,6.81,10.25,7.05,9.64,1.05,29.7,11.01,0.16,11.17,1.47,21.6,NA,1.59,0.45,6.86,10.39,6.85,9.89,1.07,30.69
2004,California,35574576,3649,54,3703,556,7384,NA,532,164,2424,3681,2490,3368,333,10633,10.26,0.15,10.41,1.56,20.76,NA,1.5,0.46,6.81,10.35,7,9.47,0.94,29.89,10.66,0.15,10.81,1.59,21.21,NA,1.51,0.46,6.83,10.4,6.76,9.67,0.94,30.78
2005,California,35827943,3877,55,3932,607,7753,NA,495,184,2529,3821,2540,3206,357,11129,10.82,0.15,10.97,1.69,21.64,NA,1.38,0.51,7.06,10.66,7.09,8.95,1,31.06,11.06,0.15,11.2,1.71,21.89,NA,1.39,0.52,7.05,10.67,6.87,9.09,0.99,31.7
2006,California,36021202,3890,42,3932,532,7958,NA,565,160,2760,4026,2616,3334,331,11375,10.8,0.12,10.92,1.48,22.09,NA,1.57,0.44,7.66,11.18,7.26,9.26,0.92,31.58,10.9,0.13,10.99,1.47,22.07,NA,1.57,0.45,7.6,11.07,7.01,9.33,0.93,32.05
2007,California,36250311,3763,264,4027,324,8205,NA,629,160,3059,4178,2376,3602,345,11614,10.38,0.73,11.11,0.89,22.63,NA,1.74,0.44,8.44,11.53,6.55,9.94,0.95,32.04,10.34,0.72,11.08,0.88,22.41,NA,1.72,0.45,8.29,11.34,6.32,9.93,0.94,32.29
2008,California,36604337,3885,282,4167,284,8314,NA,671,145,3043,4147,2280,3775,318,10761,10.61,0.77,11.38,0.78,22.71,NA,1.83,0.4,8.31,11.33,6.23,10.31,0.87,29.4,10.49,0.77,11.24,0.77,22.39,NA,1.83,0.36,8.14,11.14,6.06,10.29,0.86,29.5
