year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,New Jersey,8359592,468,NA,469,200,1226,NA,75,42,440,757,298,563,70,2227,5.6,NA,5.61,2.39,14.67,NA,0.9,0.5,5.26,9.06,3.56,6.73,0.84,26.64,5.47,NA,5.48,2.31,14.27,NA,0.87,0.49,5.14,8.81,3.61,6.61,0.83,26.22
2000,New Jersey,8414350,503,NA,510,152,1305,NA,83,48,511,795,320,560,71,2284,5.98,NA,6.06,1.81,15.51,NA,0.99,0.57,6.07,9.45,3.8,6.66,0.84,27.14,5.78,NA,5.86,1.74,15.15,NA,0.95,0.57,6.01,9.3,3.87,6.57,0.83,26.74
2001,New Jersey,8492671,490,10,500,91,1296,NA,110,39,553,796,1051,588,74,2405,5.77,NA,5.89,1.07,15.26,NA,1.3,0.46,6.51,9.37,12.38,6.92,0.87,28.32,5.53,NA,5.65,1.06,14.85,NA,1.27,0.44,6.39,9.19,12.23,6.8,0.85,27.8
2002,New Jersey,8552643,489,NA,495,72,1380,NA,91,51,671,885,333,553,79,2599,5.72,NA,5.79,0.84,16.14,NA,1.06,0.6,7.85,10.35,3.89,6.47,0.92,30.39,5.44,NA,5.5,0.82,15.64,NA,1.04,0.58,7.72,10.16,3.96,6.29,0.9,29.75
2003,New Jersey,8601402,432,NA,439,71,1231,NA,81,39,601,792,423,588,65,2371,5.02,NA,5.1,0.83,14.31,NA,0.94,0.45,6.99,9.21,4.92,6.84,0.76,27.57,4.76,NA,4.84,0.82,13.92,NA,0.91,0.46,6.93,9.1,5.06,6.66,0.73,27.02
2004,New Jersey,8634561,469,NA,476,121,1187,NA,74,19,497,711,405,597,54,2324,5.43,NA,5.51,1.4,13.75,NA,0.86,NA,5.76,8.23,4.69,6.91,0.63,26.92,5.08,NA,5.16,1.35,13.26,NA,0.83,NA,5.72,8.11,4.84,6.82,0.61,26.29
2005,New Jersey,8651974,480,NA,486,143,1452,NA,82,37,701,966,427,536,76,2561,5.55,NA,5.62,1.65,16.78,NA,0.95,0.43,8.1,11.17,4.94,6.2,0.88,29.6,5.14,NA,5.2,1.59,16.21,NA,0.92,0.42,8.03,11.01,5.13,6.07,0.86,28.76
2006,New Jersey,8661679,460,NA,466,162,1475,NA,82,30,735,1009,449,585,72,2590,5.31,NA,5.38,1.87,17.03,NA,0.95,0.35,8.49,11.65,5.18,6.75,0.83,29.9,4.87,NA,4.94,1.78,16.39,NA,0.88,0.33,8.45,11.44,5.41,6.53,0.81,29.02
2007,New Jersey,8677885,391,23,414,70,1211,NA,75,24,627,797,403,596,54,2425,4.51,0.27,4.77,0.81,13.96,NA,0.86,0.28,7.23,9.18,4.64,6.87,0.62,27.94,4.09,0.27,4.34,0.75,13.46,NA,0.83,0.27,7.26,9.13,4.84,6.67,0.59,26.91
2008,New Jersey,8711090,424,80,504,106,1312,NA,72,24,605,808,377,615,54,2436,4.87,0.92,5.79,1.22,15.06,NA,0.83,0.28,6.95,9.28,4.33,7.06,0.62,27.96,4.38,0.86,5.24,1.12,14.34,NA,0.79,0.28,6.89,9.1,4.48,6.79,0.59,26.68
2009,New Jersey,8755602,377,18,395,80,738,NA,36,NA,223,343,328,557,18,1875,4.31,NA,4.51,0.91,8.43,NA,0.41,NA,2.55,3.92,3.75,6.36,NA,21.41,3.79,NA,3.98,0.86,7.84,NA,0.38,NA,2.56,3.86,3.87,6.15,NA,20.06
2010,New Jersey,8791894,471,77,548,35,1451,NA,106,29,732,903,388,719,55,2486,5.36,0.88,6.23,0.4,16.5,NA,1.21,0.33,8.33,10.27,4.41,8.18,0.63,28.28,4.69,0.84,5.56,0.38,15.7,NA,1.11,0.31,8.33,10.13,4.61,7.73,0.59,26.7
2011,New Jersey,8821155,503,81,584,30,1626,NA,97,45,868,1042,413,689,82,2685,5.7,0.92,6.62,0.34,18.43,NA,1.1,0.51,9.84,11.81,4.68,7.81,0.93,30.44,4.91,0.84,5.75,0.32,17.38,NA,1.05,0.48,9.77,11.64,4.93,7.48,0.89,28.56
2012,New Jersey,8864590,439,65,504,46,1772,NA,120,39,1061,1268,405,683,84,2990,4.95,0.73,5.69,0.52,19.99,NA,1.35,0.44,11.97,14.3,4.57,7.7,0.95,33.73,4.35,0.68,5.02,0.51,19.26,NA,1.29,0.43,12,14.23,4.79,7.41,0.9,31.66
2013,New Jersey,8899339,474,77,551,37,1882,NA,109,17,1168,1331,419,757,63,3028,5.33,0.87,6.19,0.42,21.15,NA,1.22,NA,13.12,14.96,4.71,8.51,0.71,34.02,4.59,0.8,5.39,0.38,20.26,NA,1.15,NA,13.12,14.86,4.9,8.04,0.71,31.79
2014,New Jersey,8938175,495,60,555,50,1858,NA,106,37,1109,1303,372,786,75,2970,5.54,0.67,6.21,0.56,20.79,NA,1.19,0.41,12.41,14.58,4.16,8.79,0.84,33.23,4.74,0.64,5.37,0.51,19.9,NA,1.13,0.38,12.49,14.51,4.42,8.34,0.8,30.92
2015,New Jersey,8958013,466,61,527,52,2033,NA,102,24,1326,1506,388,789,62,3218,5.2,0.68,5.88,0.58,22.69,NA,1.14,0.27,14.8,16.81,4.33,8.81,0.69,35.92,4.48,0.65,5.15,0.57,22.04,NA,1.02,0.26,15.04,16.9,4.51,8.31,0.68,33.67
2016,New Jersey,8944469,519,64,583,76,2715,NA,84,40,1931,2132,395,687,76,3839,5.8,0.72,6.52,0.85,30.35,NA,0.94,0.45,21.59,23.84,4.42,7.68,0.85,42.92,4.89,0.69,5.57,0.73,29.52,NA,0.82,0.43,21.98,23.93,4.61,7.2,0.81,40.8
2017,New Jersey,9005644,582,65,647,67,3399,NA,123,33,2529,2752,352,795,69,4482,6.46,0.72,7.18,0.74,37.74,NA,1.37,0.37,28.08,30.56,3.91,8.83,0.77,49.77,5.52,0.74,6.25,0.7,36.97,NA,1.21,0.35,28.45,30.71,4.11,8.34,0.75,47.29
