year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Minnesota,4873481,286,18,304,33,473,NA,45,15,76,169,139,437,48,1772,5.87,NA,6.24,0.68,9.71,NA,0.92,NA,1.56,3.47,2.85,8.97,0.98,36.36,6.07,NA,6.45,0.68,9.91,NA,0.92,NA,1.53,3.46,2.8,8.96,0.98,35.75
2000,Minnesota,4919479,314,NA,320,31,481,NA,36,11,83,161,139,440,49,1711,6.38,NA,6.5,0.63,9.78,NA,0.73,NA,1.69,3.27,2.83,8.94,1,34.78,6.55,NA,6.65,0.65,9.91,NA,0.74,NA,1.65,3.25,2.8,8.9,0.99,34.28
2001,Minnesota,4982796,315,NA,320,41,546,NA,67,15,103,226,127,480,53,1797,6.32,NA,6.42,0.82,10.96,NA,1.34,NA,2.07,4.54,2.55,9.63,1.06,36.06,6.37,NA,6.49,0.82,10.99,NA,1.34,NA,2.02,4.51,2.52,9.6,1.05,35.39
2002,Minnesota,5018935,314,14,328,40,569,NA,55,10,136,241,127,497,39,1928,6.26,NA,6.54,0.8,11.34,NA,1.1,NA,2.71,4.8,2.53,9.9,0.78,38.41,6.28,NA,6.57,0.81,11.33,NA,1.1,NA,2.68,4.75,2.5,9.83,0.76,37.55
2003,Minnesota,5053572,297,NA,304,50,600,NA,63,23,160,296,130,497,50,1912,5.88,NA,6.02,0.99,11.87,NA,1.25,0.46,3.17,5.86,2.57,9.83,0.99,37.83,5.75,NA,5.88,0.98,11.67,NA,1.25,0.44,3.11,5.79,2.54,9.77,0.95,36.69
2004,Minnesota,5087713,352,NA,358,52,660,NA,58,20,172,302,134,524,47,1867,6.92,NA,7.04,1.02,12.97,NA,1.14,0.39,3.38,5.94,2.63,10.3,0.92,36.7,6.76,NA,6.87,1.03,12.75,NA,1.12,0.4,3.32,5.87,2.62,10.19,0.91,35.51
2005,Minnesota,5119598,336,NA,345,56,683,NA,69,26,187,338,139,547,77,1922,6.56,NA,6.74,1.09,13.34,NA,1.35,0.51,3.65,6.6,2.72,10.68,1.5,37.54,6.33,NA,6.49,1.06,13,NA,1.31,0.52,3.61,6.5,2.68,10.49,1.51,36.15
2006,Minnesota,5163555,353,18,371,67,749,NA,77,34,200,378,128,554,66,1919,6.84,NA,7.18,1.3,14.51,NA,1.49,0.66,3.87,7.32,2.48,10.73,1.28,37.16,6.46,NA,6.83,1.27,13.98,NA,1.47,0.63,3.81,7.18,2.47,10.62,1.26,35.44
2007,Minnesota,5207203,302,31,333,18,692,NA,59,42,240,359,120,572,68,2066,5.8,0.6,6.39,NA,13.29,NA,1.13,0.81,4.61,6.89,2.3,10.98,1.31,39.68,5.46,0.56,6.03,NA,12.77,NA,1.07,0.79,4.55,6.75,2.28,10.82,1.27,37.54
2008,Minnesota,5247018,334,74,408,14,806,NA,80,58,246,398,128,596,102,2010,6.37,1.41,7.78,NA,15.36,NA,1.52,1.11,4.69,7.59,2.44,11.36,1.94,38.31,5.89,1.36,7.25,NA,14.75,NA,1.46,1.08,4.68,7.49,2.5,11.15,1.9,36.18
2009,Minnesota,5281203,366,74,440,22,881,NA,76,50,291,441,93,584,100,2037,6.93,1.4,8.33,0.42,16.68,NA,1.44,0.95,5.51,8.35,1.76,11.06,1.89,38.57,6.28,1.32,7.6,0.41,15.88,NA,1.42,0.9,5.54,8.3,1.79,10.79,1.81,36.22
2010,Minnesota,5303925,363,66,429,30,856,NA,80,42,275,427,112,606,66,2103,6.84,1.24,8.09,0.57,16.14,NA,1.51,0.79,5.18,8.05,2.11,11.43,1.24,39.65,6.16,1.18,7.34,0.54,15.23,NA,1.42,0.79,5.14,7.88,2.15,11.19,1.22,36.74
2011,Minnesota,5344861,364,85,449,46,1006,NA,95,30,386,557,103,683,65,2319,6.81,1.59,8.4,0.86,18.82,NA,1.78,0.56,7.22,10.42,1.93,12.78,1.22,43.39,6.05,1.48,7.51,0.78,17.64,NA,1.68,0.55,7.11,10.12,1.95,12.47,1.17,39.87
2012,Minnesota,5379139,435,71,506,57,1045,NA,80,29,373,539,105,656,56,2301,8.09,1.32,9.41,1.06,19.43,NA,1.49,0.54,6.93,10.02,1.95,12.2,1.04,42.78,7.17,1.25,8.44,0.95,18.3,NA,1.47,0.52,6.9,9.84,1.97,11.99,0.99,39.06
2013,Minnesota,5420380,470,57,527,56,1106,NA,93,23,406,579,131,678,59,2405,8.67,1.05,9.72,1.03,20.4,NA,1.72,0.42,7.49,10.68,2.42,12.51,1.09,44.37,7.67,1,8.66,0.9,19.16,NA,1.62,0.41,7.53,10.51,2.46,12.12,1.03,40.13
2014,Minnesota,5457173,499,59,558,69,1144,NA,88,20,407,586,101,686,50,2385,9.14,1.08,10.23,1.26,20.96,NA,1.61,0.37,7.46,10.74,1.85,12.57,0.92,43.7,7.81,1,8.81,1.1,19.51,NA,1.58,0.36,7.61,10.67,1.92,12.24,0.85,39.42
2015,Minnesota,5489594,530,69,599,72,1252,NA,95,26,460,653,147,730,76,2574,9.65,1.26,10.91,1.31,22.81,NA,1.73,0.47,8.38,11.9,2.68,13.3,1.38,46.89,8.47,1.18,9.64,1.08,21.38,NA,1.67,0.47,8.47,11.73,2.79,13.19,1.4,42
2016,Minnesota,5519952,610,59,669,78,1419,NA,80,28,564,750,129,745,75,2697,11.05,1.07,12.12,1.41,25.71,NA,1.45,0.51,10.22,13.59,2.34,13.5,1.36,48.86,9.49,0.99,10.48,1.16,24.12,NA,1.46,0.5,10.5,13.63,2.42,13.19,1.31,43.79
2017,Minnesota,5576606,569,72,641,92,1466,NA,83,29,621,825,122,783,73,2788,10.2,1.29,11.49,1.65,26.29,NA,1.49,0.52,11.14,14.79,2.19,14.04,1.31,49.99,8.79,1.23,10,1.42,24.76,NA,1.44,0.48,11.41,14.77,2.24,13.85,1.26,44.61
