year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Hawaii,1210300,36,,38,,121,,17,27,36,83,38,136,36,293,2.97,,3.14,,10,,,2.23,2.97,6.86,3.14,11.24,2.97,24.21,2.94,,3.1,,9.89,,,2.23,2.94,6.78,3.09,11.09,3,24.33
2000,Hawaii,1211537,38,,38,,102,,15,19,29,64,35,137,32,343,3.14,,3.14,,8.42,,,,2.39,5.28,2.89,11.31,2.64,28.31,3.06,,3.06,,8.29,,,,2.37,5.23,2.89,11.19,2.64,28.2
2001,Hawaii,1225948,36,,36,,119,,18,18,40,83,34,136,35,372,2.94,,2.94,,9.71,,,,3.26,6.77,2.77,11.09,2.85,30.34,2.77,,2.77,,9.43,,,,3.22,6.64,2.79,10.89,2.81,29.83
2002,Hawaii,1239613,43,,44,,129,,13,11,53,85,38,120,33,393,3.47,,3.55,,10.41,,,,4.28,6.86,3.07,9.68,2.66,31.7,3.32,,3.4,,10.18,,,,4.27,6.77,3.13,9.46,2.61,30.85
2003,Hawaii,1251154,30,,31,10,133,,16,14,62,102,20,131,30,415,2.4,,2.48,,10.63,,,,4.96,8.15,1.6,10.47,2.4,33.17,2.23,,2.33,,10.22,,,,4.87,7.93,1.62,10.18,2.3,31.89
2004,Hawaii,1273569,64,,66,25,194,,11,25,67,128,31,116,45,390,5.03,,5.18,1.96,15.23,,,1.96,5.26,10.05,2.43,9.11,3.53,30.62,4.73,,4.9,2,14.86,,,1.89,5.19,9.94,2.37,8.86,3.47,29.6
2005,Hawaii,1292729,49,,49,17,192,,14,41,71,143,25,107,70,436,3.79,,3.79,,14.85,,,3.17,5.49,11.06,1.93,8.28,5.41,33.73,3.52,,3.52,,14.28,,,3.04,5.38,10.77,1.93,8.16,5.23,32.03
2006,Hawaii,1309731,64,,65,45,196,,,18,61,131,28,120,76,441,4.89,,4.96,3.44,14.96,,,,4.66,10,2.14,9.16,5.8,33.67,4.58,,4.64,3.33,14.42,,,,4.61,9.77,2.07,8.98,5.53,31.66
2007,Hawaii,1315675,79,,82,,224,,,41,87,142,24,133,66,470,6,,6.23,,17.03,,,3.12,6.61,10.79,1.82,10.11,5.02,35.72,5.37,,5.59,,16.06,,,3.19,6.31,10.48,1.8,9.52,5.04,33.43
2008,Hawaii,1332213,64,11,75,,204,,13,22,88,129,28,133,50,406,4.8,,5.63,,15.31,,,1.65,6.61,9.68,2.1,9.98,3.75,30.48,4.23,,5.03,,14.45,,,1.57,6.5,9.43,2.13,9.73,3.56,28.21
2009,Hawaii,1346717,89,,94,12,242,,13,29,94,148,23,175,57,436,6.61,,6.98,,17.97,,,2.15,6.98,10.99,1.71,12.99,4.23,32.38,5.76,,6.14,,16.56,,,2.01,6.68,10.43,1.71,12.53,4.01,30.17
2010,Hawaii,1360301,82,,87,,241,,25,28,97,154,24,207,56,432,6.03,,6.4,,17.72,,1.84,2.06,7.13,11.32,1.76,15.22,4.12,31.76,5.11,,5.49,,16.59,,1.83,1.86,7.11,11.11,1.75,15.02,3.76,29.62
2011,Hawaii,1374810,82,,88,,277,,25,48,107,189,18,181,65,517,5.96,,6.4,,20.15,,1.82,3.49,7.78,13.75,,13.17,4.73,37.61,5.05,,5.39,,18.42,,1.71,3.14,7.51,13.01,,12.8,4.26,34.35
2012,Hawaii,1392313,81,,84,,243,,28,31,96,159,22,190,51,458,5.82,,6.03,,17.45,,2.01,2.23,6.9,11.42,1.58,13.65,3.66,32.89,5.04,,5.29,,16.5,,1.93,2.16,6.89,11.22,1.53,13.08,3.49,30.11
2013,Hawaii,1404054,66,,70,,237,,22,18,118,167,33,171,24,467,4.7,,4.99,,16.88,,1.57,,8.4,11.89,2.35,12.18,1.71,33.26,4.22,,4.48,,16.03,,1.49,,8.24,11.52,2.4,11.83,1.71,30.1
2014,Hawaii,1419561,84,,87,17,261,,31,12,112,174,30,204,22,476,5.92,,6.13,,18.39,,2.18,,7.89,12.26,2.11,14.37,1.55,33.53,5.39,,5.61,,17.63,,2.03,,7.82,12.02,2.22,13.79,1.46,30.05
2015,Hawaii,1431603,90,,95,,270,,18,12,139,175,31,201,28,536,6.29,,6.64,,18.86,,,,9.71,12.22,2.17,14.04,1.96,37.44,5.53,,5.83,,17.58,,,,9.39,11.75,2.21,13.54,1.93,32.21
2016,Hawaii,1428557,91,,97,16,304,,15,,168,207,39,174,19,577,6.37,,6.79,,21.28,,,,11.76,14.49,2.73,12.18,,40.39,5.34,,5.68,,19.47,,,,11.16,13.77,2.83,12.06,,35.31
2017,Hawaii,1427538,88,,95,18,316,,28,16,158,221,35,227,31,585,6.16,,6.65,,22.14,,1.96,,11.07,15.48,2.45,15.9,2.17,40.98,5.31,,5.76,,20.77,,1.68,,10.86,15.03,2.51,15.18,2.17,35.72
