year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Oklahoma,3437147,240,NA,245,11,434,NA,56,16,106,189,231,492,46,1609,6.98,NA,7.13,NA,12.63,NA,1.63,NA,3.08,5.5,6.72,14.31,1.34,46.81,7.02,NA,7.17,NA,12.86,NA,1.71,NA,3.17,5.67,6.65,14.42,1.37,46.26
2000,Oklahoma,3450654,224,NA,233,13,483,NA,69,11,157,250,200,497,31,1566,6.49,NA,6.75,NA,14,NA,2,NA,4.55,7.25,5.8,14.4,0.9,45.38,6.49,NA,6.74,NA,14.23,NA,2.08,NA,4.69,7.47,5.85,14.55,0.91,44.89
2001,Oklahoma,3467100,215,NA,222,13,504,NA,60,12,196,282,210,515,26,1700,6.2,NA,6.4,NA,14.54,NA,1.73,NA,5.65,8.13,6.06,14.85,0.75,49.03,6.15,NA,6.36,NA,14.71,NA,1.75,NA,5.83,8.34,6.07,14.89,0.78,48.49
2002,Oklahoma,3489080,284,NA,289,17,546,NA,51,NA,180,257,196,501,25,1580,8.14,NA,8.28,NA,15.65,NA,1.46,NA,5.16,7.37,5.62,14.36,0.72,45.28,7.92,NA,8.08,NA,15.6,NA,1.49,NA,5.3,7.54,5.57,14.38,0.74,44.93
2003,Oklahoma,3504892,230,NA,235,11,646,NA,66,28,306,411,224,476,54,1748,6.56,NA,6.7,NA,18.43,NA,1.88,0.8,8.73,11.73,6.39,13.58,1.54,49.87,6.37,NA,6.5,NA,18.59,NA,1.86,0.81,9.12,12.09,6.43,13.65,1.55,49.86
2004,Oklahoma,3525233,272,14,286,51,813,NA,64,22,388,527,221,506,53,1947,7.72,NA,8.11,1.45,23.06,NA,1.82,0.62,11.01,14.95,6.27,14.35,1.5,55.23,7.37,NA,7.77,1.4,23.14,NA,1.91,0.63,11.36,15.35,6.33,14.43,1.52,55.04
2005,Oklahoma,3548597,335,10,345,55,878,NA,72,33,372,533,214,522,65,2005,9.44,NA,9.72,1.55,24.74,NA,2.03,0.93,10.48,15.02,6.03,14.71,1.83,56.5,9.04,NA,9.33,1.51,24.67,NA,2.06,0.93,10.83,15.37,6.09,14.82,1.83,56.1
2006,Oklahoma,3594090,344,NA,353,56,972,NA,75,37,451,619,226,537,55,2039,9.57,NA,9.82,1.56,27.04,NA,2.09,1.03,12.55,17.22,6.29,14.94,1.53,56.73,9.12,NA,9.38,1.47,27.07,NA,2.12,1.04,13.05,17.71,6.38,14.97,1.52,56.6
2007,Oklahoma,3634349,380,32,412,21,1099,NA,75,44,546,687,251,531,72,2149,10.46,0.88,11.34,0.58,30.24,NA,2.06,1.21,15.02,18.9,6.91,14.61,1.98,59.13,9.93,0.89,10.81,0.57,30.23,NA,2.1,1.19,15.49,19.41,6.89,14.68,1.95,58.81
2008,Oklahoma,3668976,379,42,421,21,1006,NA,65,30,468,585,230,575,47,2119,10.33,1.14,11.47,0.57,27.42,NA,1.77,0.82,12.76,15.94,6.27,15.67,1.28,57.75,9.48,1.21,10.68,0.54,26.81,NA,1.8,0.8,12.99,16.17,6.51,15.66,1.24,57.15
