year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,Alabama,4430141,248,,249,26,444,,37,16,116,195,438,555,40,2313,5.6,,5.62,0.59,10.02,,0.84,,2.62,4.4,9.89,12.53,0.9,52.21,5.55,,5.57,0.59,10.01,,0.84,,2.64,4.45,9.87,12.46,0.91,52.17
2000,Alabama,4447100,236,,238,35,470,,47,20,130,232,444,583,51,2093,5.31,,5.35,0.79,10.57,,1.06,0.45,2.92,5.22,9.98,13.11,1.15,47.06,5.24,,5.29,0.78,10.58,,1.07,0.46,2.95,5.29,10.02,13.11,1.15,47.02
2001,Alabama,4467634,230,,236,37,489,,36,13,166,253,425,512,30,2211,5.15,,5.28,0.83,10.95,,0.81,,3.72,5.66,9.51,11.46,0.67,49.49,4.99,,5.11,0.83,10.84,,0.83,,3.74,5.73,9.56,11.37,0.65,49.45
2002,Alabama,4480089,210,,212,37,460,,28,12,171,248,416,514,36,2228,4.69,,4.73,0.83,10.27,,0.62,,3.82,5.54,9.29,11.47,0.8,49.73,4.49,,4.53,0.82,10.14,,0.67,,3.84,5.6,9.31,11.45,0.82,49.59
2003,Alabama,4503491,217,,218,58,473,,21,21,155,255,434,521,41,2179,4.82,,4.84,1.29,10.5,,0.47,0.47,3.44,5.66,9.64,11.57,0.91,48.38,4.54,,4.57,1.34,10.32,,0.46,0.49,3.48,5.76,9.68,11.44,0.93,48.27
2004,Alabama,4530729,246,,250,44,577,,42,18,223,327,369,541,48,2403,5.43,,5.52,0.97,12.74,,0.93,,4.92,7.22,8.14,11.94,1.06,53.04,5.06,,5.16,0.99,12.46,,0.93,,5.03,7.31,8.25,11.73,1.03,52.98
2005,Alabama,4569805,254,,255,49,587,,28,38,217,332,433,535,66,2395,5.56,,5.58,1.07,12.85,,0.61,0.83,4.75,7.27,9.48,11.71,1.44,52.41,5.17,,5.19,1.09,12.62,,0.62,0.86,4.86,7.42,9.65,11.52,1.49,51.9
2006,Alabama,4628981,245,,249,68,715,,40,48,310,466,445,580,93,2506,5.29,,5.38,1.47,15.45,,0.86,1.04,6.7,10.07,9.61,12.53,2.01,54.14,4.84,,4.94,1.48,15.15,,0.86,1.07,6.84,10.21,9.72,12.37,2.03,53.99
2007,Alabama,4672840,237,17,254,43,808,,48,39,424,554,480,592,77,2542,5.07,,5.44,0.92,17.29,,1.03,0.83,9.07,11.86,10.27,12.67,1.65,54.4,4.54,,4.88,0.91,16.86,,1.01,0.82,9.2,11.99,10.46,12.42,1.66,53.8
2008,Alabama,4718206,226,24,250,39,896,,47,75,485,646,454,604,115,2509,4.79,0.51,5.3,0.83,18.99,,1,1.59,10.28,13.69,9.62,12.8,2.44,53.18,4.31,0.48,4.76,0.79,18.55,,0.96,1.59,10.41,13.78,9.83,12.56,2.4,52.52
2009,Alabama,4757938,223,15,238,58,926,,52,38,537,688,412,673,67,2351,4.69,,5,1.22,19.46,,1.09,0.8,11.29,14.46,8.66,14.14,1.41,49.41,4.2,,4.47,1.17,19.29,,1.09,0.79,11.68,14.77,8.88,13.73,1.38,49.04
2010,Alabama,4779736,249,18,267,38,852,,54,27,463,585,391,679,57,2394,5.21,,5.59,0.8,17.83,,1.13,0.56,9.69,12.24,8.18,14.21,1.19,50.09,4.59,,4.95,0.81,17.52,,1.11,0.56,10.03,12.58,8.27,13.95,1.16,49.61
2011,Alabama,4802740,223,26,249,53,854,,37,26,485,605,392,654,61,2662,4.64,0.54,5.18,1.1,17.78,,0.77,0.54,10.1,12.6,8.16,13.62,1.27,55.43,4.04,0.54,4.58,1.14,17.47,,0.79,0.57,10.33,12.9,8.31,13.21,1.31,54.36
2012,Alabama,4822023,263,17,280,70,912,,57,27,478,632,405,724,55,2283,5.45,,5.81,1.45,18.91,,1.18,0.56,9.91,13.11,8.4,15.01,1.14,47.35,4.78,,5.11,1.47,18.65,,1.09,0.59,10.34,13.56,8.66,14.74,1.16,46.57
2013,Alabama,4833722,240,19,259,50,907,,44,34,520,648,417,721,67,2329,4.97,,5.36,1.03,18.76,,0.91,0.7,10.76,13.41,8.63,14.92,1.39,48.18,4.28,,4.66,1.05,18.43,,0.88,0.65,11.16,13.76,8.95,14.4,1.34,47.24
2014,Alabama,4849377,288,22,310,77,1110,,50,33,639,800,374,715,67,2463,5.94,0.45,6.39,1.59,22.89,,1.03,0.68,13.18,16.5,7.71,14.74,1.38,50.79,5.03,0.45,5.48,1.6,22.23,,1,0.67,13.45,16.74,8.07,14.49,1.37,49.25
