year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,crude_rate_alcohol_all_other,crude_rate_alcohol_overdose,crude_rate_alcohol_total,crude_rate_drugs_all_other,crude_rate_drugs_and_alcohol_total,crude_rate_drugs_overdose_homicide,crude_rate_drugs_overdose_suicide,crude_rate_drugs_overdose_undetermined,crude_rate_drugs_overdose_unintentional,crude_rate_drugs_total,crude_rate_total_homicide,crude_rate_total_suicide,crude_rate_total_undetermined,crude_rate_total_unintentional,age_adjusted_rate_alcohol_all_other,age_adjusted_rate_alcohol_overdose,age_adjusted_rate_alcohol_total,age_adjusted_rate_drugs_all_other,age_adjusted_rate_drugs_and_alcohol_total,age_adjusted_rate_drugs_overdose_homicide,age_adjusted_rate_drugs_overdose_suicide,age_adjusted_rate_drugs_overdose_undetermined,age_adjusted_rate_drugs_overdose_unintentional,age_adjusted_rate_drugs_total,age_adjusted_rate_total_homicide,age_adjusted_rate_total_suicide,age_adjusted_rate_total_undetermined,age_adjusted_rate_total_unintentional
1999,West Virginia,1811799,116,,117,,197,,19,20,36,80,99,229,39,798,6.4,,6.46,,10.87,,,1.1,1.99,4.42,5.46,12.64,2.15,44.04,5.9,,5.97,,10.34,,,1.11,1.97,4.4,5.49,12.13,2.13,41.97
2000,West Virginia,1808344,145,,146,,268,,26,31,56,122,80,245,53,817,8.02,,8.07,,14.82,,1.44,1.71,3.1,6.75,4.42,13.55,2.93,45.18,7.27,,7.32,,14.03,,1.42,1.73,3.08,6.7,4.44,13.18,2.94,43.23
2001,West Virginia,1801481,126,,132,11,349,,34,51,121,217,68,286,74,834,6.99,,7.33,,19.37,,1.89,2.83,6.72,12.05,3.77,15.88,4.11,46.3,6.37,,6.67,,18.74,,1.8,2.84,6.82,12.06,3.73,15.03,4.13,44.72
2002,West Virginia,1805414,125,,128,,365,,24,59,146,237,95,276,79,956,6.92,,7.09,,20.22,,1.33,3.27,8.09,13.13,5.26,15.29,4.38,52.95,6.27,,6.46,,19.79,,1.3,3.29,8.37,13.34,5.5,14.85,4.4,50.89
2003,West Virginia,1812295,153,,155,17,434,,18,12,231,279,89,266,41,1004,8.44,,8.55,,23.95,,,,12.75,15.39,4.91,14.68,2.26,55.4,7.43,,7.55,,23.5,,,,13.35,15.95,4.96,14.04,2.27,53.71
2004,West Virginia,1816438,133,,134,14,481,,36,16,281,347,79,285,39,1110,7.32,,7.38,,26.48,,1.98,,15.47,19.1,4.35,15.69,2.15,61.11,6.39,,6.45,,25.99,,2.05,,15.85,19.54,4.46,15.42,2.14,59
2005,West Virginia,1820492,112,,112,13,309,,15,12,157,197,93,255,28,940,6.15,,6.15,,16.97,,,,8.62,10.82,5.11,14.01,1.54,51.63,5.31,,5.31,,16.44,,,,9,11.14,5.37,13.24,1.46,49.57
2006,West Virginia,1827912,137,,137,16,515,,25,33,304,378,97,269,53,1177,7.49,,7.49,,28.17,,1.37,1.81,16.63,20.68,5.31,14.72,2.9,64.39,6.65,,6.65,,27.88,,1.31,1.85,17.19,21.22,5.45,13.98,2.95,62.37
2007,West Virginia,1834052,154,11,165,,570,,27,26,344,405,86,300,57,1241,8.4,,9,,31.08,,1.47,1.42,18.76,22.08,4.69,16.36,3.11,67.66,7.18,,7.75,,30.65,,1.38,1.4,19.72,22.89,4.93,15.73,3.1,65.84
2008,West Virginia,1840310,117,15,132,,600,,31,31,395,468,70,261,53,1253,6.36,,7.17,,32.6,,1.68,1.68,21.46,25.43,3.8,14.18,2.88,68.09,5.46,,6.25,,32.47,,1.7,1.7,22.22,26.22,3.99,13.71,2.9,65.54
