year,state,population,deaths_alcohol_all_other,deaths_alcohol_overdose,deaths_alcohol_total,deaths_drugs_all_other,deaths_drugs_and_alcohol_total,deaths_drugs_overdose_homicide,deaths_drugs_overdose_suicide,deaths_drugs_overdose_undetermined,deaths_drugs_overdose_unintentional,deaths_drugs_total,deaths_total_homicide,deaths_total_suicide,deaths_total_undetermined,deaths_total_unintentional,alcohol_all_other_crude_rate,alcohol_overdose_crude_rate,alcohol_total_crude_rate,drugs_all_other_crude_rate,drugs_and_alcohol_total_crude_rate,drugs_overdose_homicide_crude_rate,drugs_overdose_suicide_crude_rate,drugs_overdose_undetermined_crude_rate,drugs_overdose_unintentional_crude_rate,drugs_total_crude_rate,total_homicide_crude_rate,total_suicide_crude_rate,total_undetermined_crude_rate,total_unintentional_crude_rate,alcohol_all_other_age_adjusted_rate,alcohol_overdose_age_adjusted_rate,alcohol_total_age_adjusted_rate,drugs_all_other_age_adjusted_rate,drugs_and_alcohol_total_age_adjusted_rate,drugs_overdose_homicide_age_adjusted_rate,drugs_overdose_suicide_age_adjusted_rate,drugs_overdose_undetermined_age_adjusted_rate,drugs_overdose_unintentional_age_adjusted_rate,drugs_total_age_adjusted_rate,total_homicide_age_adjusted_rate,total_suicide_age_adjusted_rate,total_undetermined_age_adjusted_rate,total_unintentional_age_adjusted_rate
1999,Missouri,5561948,393,NA,399,18,693,NA,79,27,170,294,385,700,66,2465,7.07,NA,7.17,NA,12.46,NA,1.42,0.49,3.06,5.29,6.92,12.59,1.19,44.32,7.06,NA,7.15,NA,12.49,NA,1.45,0.51,3.07,5.35,6.98,12.55,1.19,43.22
2000,Missouri,5595211,323,NA,328,24,655,NA,78,22,203,327,398,699,37,2398,5.77,NA,5.86,0.43,11.71,NA,1.39,0.39,3.63,5.84,7.11,12.49,0.66,42.86,5.71,NA,5.8,0.42,11.71,NA,1.42,0.39,3.65,5.91,7.18,12.46,0.67,41.9
2001,Missouri,5641142,364,NA,372,30,753,NA,92,41,216,381,437,725,91,2455,6.45,NA,6.59,0.53,13.35,NA,1.63,0.73,3.83,6.75,7.75,12.85,1.61,43.52,6.32,NA,6.44,0.51,13.25,NA,1.63,0.71,3.86,6.8,7.79,12.77,1.59,42.46
2002,Missouri,5674825,319,NA,326,27,769,NA,68,34,314,443,366,693,63,2641,5.62,NA,5.74,0.48,13.55,NA,1.2,0.6,5.53,7.81,6.45,12.21,1.11,46.54,5.51,NA,5.61,0.47,13.53,NA,1.2,0.61,5.62,7.93,6.51,12.13,1.11,45.55
2003,Missouri,5709403,337,NA,343,28,893,NA,88,51,382,550,323,679,83,2786,5.9,NA,6.01,0.49,15.64,NA,1.54,0.89,6.69,9.63,5.66,11.89,1.45,48.8,5.67,NA,5.78,0.49,15.56,NA,1.58,0.92,6.77,9.78,5.75,11.83,1.49,47.56
2004,Missouri,5747741,378,NA,384,26,958,NA,94,29,422,574,369,715,51,2728,6.58,NA,6.68,0.45,16.67,NA,1.64,0.5,7.34,9.99,6.42,12.44,0.89,47.46,6.29,NA,6.39,0.44,16.6,NA,1.65,0.52,7.53,10.21,6.47,12.38,0.9,46.4
2005,Missouri,5790300,335,NA,340,32,980,NA,101,36,469,640,417,727,74,2848,5.79,NA,5.87,0.55,16.92,NA,1.74,0.62,8.1,11.05,7.2,12.56,1.28,49.19,5.44,NA,5.51,0.57,16.74,NA,1.77,0.62,8.24,11.25,7.32,12.5,1.27,47.82
2006,Missouri,5842704,379,NA,385,22,1150,NA,117,41,585,765,412,799,86,3009,6.49,NA,6.59,0.38,19.68,NA,2,0.7,10.01,13.09,7.05,13.68,1.47,51.5,6.08,NA,6.19,0.39,19.5,NA,2,0.72,10.22,13.32,7.16,13.53,1.5,50.08
2007,Missouri,5887612,287,37,324,16,1054,NA,106,46,561,730,384,808,101,2975,4.87,0.63,5.5,NA,17.9,NA,1.8,0.78,9.53,12.4,6.52,13.72,1.72,50.53,4.53,0.61,5.15,NA,17.64,NA,1.75,0.78,9.7,12.51,6.6,13.54,1.68,48.79
2008,Missouri,5923916,347,50,397,14,1176,NA,99,44,620,779,482,779,78,2997,5.86,0.84,6.7,NA,19.85,NA,1.67,0.74,10.47,13.15,8.14,13.15,1.32,50.59,5.38,0.87,6.23,NA,19.59,NA,1.66,0.76,10.67,13.37,8.35,12.95,1.32,48.93
2009,Missouri,5961088,336,40,376,18,1257,NA,120,38,700,881,428,860,78,2939,5.64,0.67,6.31,NA,21.09,NA,2.01,0.64,11.74,14.78,7.18,14.43,1.31,49.3,5.07,0.67,5.72,NA,20.69,NA,1.98,0.64,11.95,14.95,7.34,14.26,1.3,47.51
2010,Missouri,5988927,361,38,399,26,1423,NA,112,59,822,1024,438,856,111,2975,6.03,0.63,6.66,0.43,23.76,NA,1.87,0.99,13.73,17.1,7.31,14.29,1.85,49.68,5.37,0.65,6.01,0.41,23.47,NA,1.9,1,14.07,17.44,7.5,14.04,1.82,47.94
2011,Missouri,6010688,337,30,367,27,1357,10,118,52,783,990,419,933,100,3169,5.61,0.5,6.11,0.45,22.58,NA,1.96,0.87,13.03,16.47,6.97,15.52,1.66,52.72,4.96,0.48,5.45,0.45,22.31,NA,1.97,0.85,13.43,16.86,7.23,15.29,1.61,50.53
2012,Missouri,6021988,404,47,451,19,1412,11,121,49,761,961,424,914,96,3002,6.71,0.78,7.49,NA,23.45,NA,2.01,0.81,12.64,15.96,7.04,15.18,1.59,49.85,6.08,0.71,6.79,NA,23.29,NA,2.06,0.83,13.06,16.5,7.32,14.91,1.56,47.84
2013,Missouri,6044171,416,34,450,16,1491,NA,118,57,841,1041,392,960,108,2981,6.88,0.56,7.45,NA,24.67,NA,1.95,0.94,13.91,17.22,6.49,15.88,1.79,49.32,5.98,0.54,6.54,NA,24.26,NA,1.93,0.98,14.39,17.73,6.75,15.64,1.77,47.02
2014,Missouri,6063589,423,51,474,40,1581,11,107,62,887,1107,441,1017,83,3110,6.98,0.84,7.82,0.66,26.07,NA,1.76,1.02,14.63,18.26,7.27,16.77,1.37,51.29,6.2,0.79,6.99,0.65,25.85,NA,1.72,1.08,15.23,18.88,7.55,16.33,1.41,48.65
2015,Missouri,6083672,481,31,512,32,1610,11,121,46,888,1098,547,1052,91,3309,7.91,0.51,8.42,0.53,26.46,NA,1.99,0.76,14.6,18.05,8.99,17.29,1.5,54.39,6.96,0.52,7.47,0.49,25.84,NA,1.95,0.76,15,18.38,9.58,17.07,1.47,50.88
2016,Missouri,6093000,503,33,536,47,1954,NA,127,60,1175,1418,570,1133,104,3625,8.26,0.54,8.8,0.77,32.07,NA,2.08,0.98,19.28,23.27,9.35,18.6,1.71,59.49,7.2,0.53,7.75,0.7,32.1,NA,1.98,1.02,20.45,24.34,9.95,18.36,1.71,56.98
2017,Missouri,6113532,525,31,556,59,1982,NA,102,40,1219,1426,655,1151,80,3776,8.59,0.51,9.09,0.97,32.42,NA,1.67,0.65,19.94,23.33,10.71,18.83,1.31,61.76,7.48,0.47,7.95,0.93,32.26,NA,1.65,0.6,21.02,24.31,11.28,18.49,1.25,58.79
