agency,year,state,population,ORI,anti_other_christian_violent,anti_jewish_violent,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_violent,anti_white_violent,anti_multi_racial_group_violent,anti_ethnicity_other_than_hispanic_violent,anti_physical_disability_violent,anti_male_homosexual_gay_violent,anti_black_violent,anti_mormon_violent,anti_native_hawaiian_or_other_pacific_islander_violent,anti_transgender_violent,anti_sikh_violent,anti_protestant_violent,anti_multi_religious_group_violent,anti_buddhist_violent,anti_gender_non_conforming_violent,anti_heterosexual_violent,anti_bisexual_violent,anti_eastern_orthodox_greek_russian_etc_violent,anti_mental_disability_violent,anti_hispanic_violent,anti_arab_violent,anti_muslim_violent,anti_female_violent,anti_american_indian_or_native_alaskan_violent,anti_asian_violent,anti_female_homosexual_lesbian_violent,anti_other_religion_violent,anti_catholic_violent,anti_male_violent,anti_jehovahs_witness_violent,anti_hindu_violent,anti_atheism_agnosticism_violent,99_violent,anti_total_violent,anti_other_christian_nonviolent,anti_jewish_nonviolent,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_nonviolent,anti_white_nonviolent,anti_multi_racial_group_nonviolent,anti_ethnicity_other_than_hispanic_nonviolent,anti_physical_disability_nonviolent,anti_male_homosexual_gay_nonviolent,anti_black_nonviolent,anti_mormon_nonviolent,anti_native_hawaiian_or_other_pacific_islander_nonviolent,anti_transgender_nonviolent,anti_sikh_nonviolent,anti_protestant_nonviolent,anti_multi_religious_group_nonviolent,anti_buddhist_nonviolent,anti_gender_non_conforming_nonviolent,anti_heterosexual_nonviolent,anti_bisexual_nonviolent,anti_eastern_orthodox_greek_russian_etc_nonviolent,anti_mental_disability_nonviolent,anti_hispanic_nonviolent,anti_arab_nonviolent,anti_muslim_nonviolent,anti_female_nonviolent,anti_american_indian_or_native_alaskan_nonviolent,anti_asian_nonviolent,anti_female_homosexual_lesbian_nonviolent,anti_other_religion_nonviolent,anti_catholic_nonviolent,anti_male_nonviolent,anti_jehovahs_witness_nonviolent,anti_hindu_nonviolent,anti_atheism_agnosticism_nonviolent,99_nonviolent,anti_total_nonviolent,anti_other_christian_total,anti_jewish_total,anti_lesbian_gay_bisexual_or_transgender_mixed_group_lgbt_total,anti_white_total,anti_multi_racial_group_total,anti_ethnicity_other_than_hispanic_total,anti_physical_disability_total,anti_male_homosexual_gay_total,anti_black_total,anti_mormon_total,anti_native_hawaiian_or_other_pacific_islander_total,anti_transgender_total,anti_sikh_total,anti_protestant_total,anti_multi_religious_group_total,anti_buddhist_total,anti_gender_non_conforming_total,anti_heterosexual_total,anti_bisexual_total,anti_eastern_orthodox_greek_russian_etc_total,anti_mental_disability_total,anti_hispanic_total,anti_arab_total,anti_muslim_total,anti_female_total,anti_american_indian_or_native_alaskan_total,anti_asian_total,anti_female_homosexual_lesbian_total,anti_other_religion_total,anti_catholic_total,anti_male_total,anti_jehovahs_witness_total,anti_hindu_total,anti_atheism_agnosticism_total,anti_total_total
Chicago Police Dept,2022,Illinois,2652124,ILCPD0000,0,9,6,15,2,0,0,13,21,0,0,4,0,0,0,0,0,0,2,0,0,8,2,4,0,0,6,2,0,0,0,0,0,0,0,94,0,22,1,2,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,0,35,0,31,7,17,3,0,0,15,23,0,0,4,0,0,0,0,0,0,2,0,0,9,3,4,0,0,6,4,0,1,0,0,0,0,129
Chicago Police Dept,2021,Illinois,2721948,ILCPD0000,0,2,1,4,0,0,0,12,8,0,0,2,0,0,0,0,0,0,0,0,0,3,1,2,0,0,6,2,0,0,0,0,0,0,0,43,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,6,0,4,1,4,0,0,0,12,9,0,0,2,0,0,0,0,0,0,0,0,0,3,2,2,0,0,6,2,0,2,0,0,0,0,49
Chicago Police Dept,2020,Illinois,2693598,ILCPD0000,0,0,2,0,0,0,0,5,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,19,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,5,5,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,21
Chicago Police Dept,2019,Illinois,2707064,ILCPD0000,0,2,0,4,0,3,0,11,7,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,36,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,3,0,11,7,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,39
Chicago Police Dept,2018,Illinois,2719151,ILCPD0000,0,3,0,5,0,2,0,11,16,0,0,2,0,0,0,0,0,0,0,0,0,7,1,4,0,0,2,1,1,0,0,0,0,0,0,55,0,2,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,6,0,2,0,12,18,0,0,3,0,0,0,0,0,0,0,0,0,7,1,4,0,0,2,1,1,0,0,0,0,0,62
Chicago Police Dept,2017,Illinois,2706171,ILCPD0000,0,4,0,2,0,1,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,29,0,7,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,11,0,3,0,1,0,7,10,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,41
Chicago Police Dept,2016,Illinois,2725153,ILCPD0000,0,2,1,3,0,0,0,8,9,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,3,1,0,0,0,0,0,0,0,34,0,3,0,1,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,17,0,5,1,4,0,1,0,12,9,0,0,2,0,0,1,0,0,0,0,0,0,6,2,2,0,1,3,1,0,1,0,0,0,0,51
Chicago Police Dept,2015,Illinois,2728695,ILCPD0000,1,1,0,4,0,0,0,6,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,20,0,3,0,0,1,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,18,1,4,0,4,1,0,0,7,11,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,3,1,0,0,0,0,0,38
Chicago Police Dept,2014,Illinois,2724121,ILCPD0000,0,1,2,5,0,3,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,31,0,3,1,1,1,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,4,3,6,1,4,0,13,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,0,50
Chicago Police Dept,2013,Illinois,2720554,ILCPD0000,0,1,1,3,0,1,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,36,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,2,1,3,1,2,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,6,0,0,0,0,0,0,45
