year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,1411330,590,33,59,253,245,16623,3267,11586,1770,Nebraska,Nebraska State-Level Estimate,
1961,1431000,586,34,47,234,271,17756,3730,12372,1654,Nebraska,Nebraska State-Level Estimate,
1962,1484000,637,23,93,275,246,18536,3894,12846,1796,Nebraska,Nebraska State-Level Estimate,
1963,1460000,591,29,102,227,233,20302,4290,14181,1831,Nebraska,Nebraska State-Level Estimate,
1964,1480000,776,34,85,306,351,22929,4832,15895,2202,Nebraska,Nebraska State-Level Estimate,
1965,1477000,852,36,76,324,416,26203,5684,18115,2404,Nebraska,Nebraska State-Level Estimate,
1966,1456000,941,26,97,362,456,27096,6117,18448,2531,Nebraska,Nebraska State-Level Estimate,
1967,1435000,1624,39,117,556,912,28407,7056,18651,2700,Nebraska,Nebraska State-Level Estimate,
1968,1437000,2103,33,103,713,1254,32500,7292,20862,4346,Nebraska,Nebraska State-Level Estimate,
1969,1449000,2302,36,98,751,1417,33217,6989,22106,4122,Nebraska,Nebraska State-Level Estimate,
1970,1483791,2731,44,138,850,1699,35149,7486,23332,4331,Nebraska,Nebraska State-Level Estimate,
1971,1512000,2355,39,212,544,1560,36033,8337,23846,3850,Nebraska,Nebraska State-Level Estimate,
1972,1525000,2638,44,212,803,1579,37446,8489,24968,3989,Nebraska,Nebraska State-Level Estimate,
1973,1542000,2859,67,254,964,1574,40490,9828,25994,4668,Nebraska,Nebraska State-Level Estimate,
1974,1543000,3697,55,291,1404,1947,47906,11939,31685,4282,Nebraska,Nebraska State-Level Estimate,
1975,1546000,3986,66,297,1398,2225,51887,11752,36563,3572,Nebraska,Nebraska State-Level Estimate,
1976,1553000,3269,45,318,979,1927,52048,10626,37795,3627,Nebraska,Nebraska State-Level Estimate,
1977,1561000,3113,61,282,1010,1760,51906,11864,36154,3888,Nebraska,Nebraska State-Level Estimate,
1978,1565000,2982,47,286,1015,1634,50874,11687,35794,3393,Nebraska,Nebraska State-Level Estimate,
1979,1574000,3556,65,338,1157,1996,59295,12804,42195,4296,Nebraska,Nebraska State-Level Estimate,
1980,1563921,3512,69,363,1286,1794,63818,14316,45692,3810,Nebraska,Nebraska State-Level Estimate,
1981,1576000,2861,49,323,1115,1374,62977,14383,45324,3270,Nebraska,Nebraska State-Level Estimate,
1982,1586000,3641,31,329,982,2299,59019,12867,43331,2821,Nebraska,Nebraska State-Level Estimate,
1983,1597000,3477,42,339,796,2300,57012,12408,42026,2578,Nebraska,Nebraska State-Level Estimate,
1984,1606000,3627,54,381,693,2499,52526,10339,39875,2312,Nebraska,Nebraska State-Level Estimate,
1985,1606000,3821,47,376,779,2619,55514,11730,41278,2506,Nebraska,Nebraska State-Level Estimate,
1986,1598000,4196,50,393,817,2936,57418,11956,42784,2678,Nebraska,Nebraska State-Level Estimate,
1987,1594000,4004,55,345,751,2853,61853,13516,45692,2645,Nebraska,Nebraska State-Level Estimate,
1988,1601000,4374,58,385,898,3033,61908,12251,46634,3023,Nebraska,Nebraska State-Level Estimate,
1989,1611000,4503,40,381,837,3245,61413,12010,46403,3000,Nebraska,Nebraska State-Level Estimate,
1990,1578385,5209,43,473,807,3886,61290,11424,47054,2812,Nebraska,Nebraska State-Level Estimate,
1991,1593000,5330,52,447,861,3970,64031,11574,49071,3386,Nebraska,Nebraska State-Level Estimate,
1992,1606000,5598,68,504,911,4115,63846,11477,49144,3225,Nebraska,Nebraska State-Level Estimate,
