agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,burglary_tot_arrests,burglary_tot_adult,burglary_tot_juv,burglary_tot_male,burglary_tot_female,burglary_tot_male_adult,burglary_tot_male_juv,burglary_tot_female_adult,burglary_tot_female_juv,burglary_male_under_10,burglary_male_10_12,burglary_male_13_14,burglary_male_15,burglary_male_16,burglary_male_17,burglary_male_18,burglary_male_19,burglary_male_20,burglary_male_21,burglary_male_22,burglary_male_23,burglary_male_24,burglary_male_25_29,burglary_male_30_34,burglary_male_35_39,burglary_male_40_44,burglary_male_45_49,burglary_male_50_54,burglary_male_55_59,burglary_male_60_64,burglary_male_over_64,burglary_female_under_10,burglary_female_10_12,burglary_female_13_14,burglary_female_15,burglary_female_16,burglary_female_17,burglary_female_18,burglary_female_19,burglary_female_20,burglary_female_21,burglary_female_22,burglary_female_23,burglary_female_24,burglary_female_25_29,burglary_female_30_34,burglary_female_35_39,burglary_female_40_44,burglary_female_45_49,burglary_female_50_54,burglary_female_55_59,burglary_female_60_64,burglary_female_over_64,burglary_adult_white,burglary_adult_black,burglary_adult_asian,burglary_adult_indian,burglary_juv_white,burglary_juv_black,burglary_juv_asian,burglary_juv_indian
Alamance,1980,North Carolina,NC,47124,NC00100,NC0010000,37,001,37001,94,61,33,91,3,60,30,1,30,1,0,5,6,7,12,15,8,7,10,4,1,1,8,4,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45,16,0,0,27,6,0,0
Burlington,1980,North Carolina,NC,37202,NC00101,NC0010100,37,001,37001,146,83,63,138,8,79,52,4,52,7,3,9,11,11,18,19,10,3,2,4,3,1,13,14,3,0,1,2,1,1,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,51,32,0,0,47,16,0,0
Elon College,1980,North Carolina,NC,2863,NC00102,NC0010200,37,001,37001,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Graham,1980,North Carolina,NC,8444,NC00103,NC0010300,37,001,37001,24,5,19,21,3,4,17,1,17,0,2,6,1,8,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,19,0,0,0
Mebane,1980,North Carolina,NC,2781,NC00104,NC0010400,37,001,37001,5,4,1,5,0,4,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0
Alexander,1980,North Carolina,NC,23691,NC00200,NC0020000,37,003,37003,14,11,3,14,0,11,3,0,3,0,0,0,1,2,0,4,0,1,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,3,0,0,0
Taylorsville,1980,North Carolina,NC,1109,NC00201,NC0020100,37,003,37003,12,3,9,12,0,3,9,0,9,0,0,0,2,4,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,3,0,0
Alleghany,1980,North Carolina,NC,7879,NC00300,NC0030000,37,005,37005,20,15,5,20,0,15,5,0,5,0,0,0,0,2,3,2,3,3,0,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,3,2,0,0
Sparta,1980,North Carolina,NC,1691,NC00301,NC0030100,37,005,37005,8,7,1,8,0,7,1,0,1,0,0,1,0,0,0,0,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0
Anson,1980,North Carolina,NC,18372,NC00400,NC0040000,37,007,37007,49,39,10,47,2,37,10,2,10,0,0,0,4,3,3,5,4,3,6,1,1,1,5,8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,14,25,0,0,2,8,0,0
Wadesboro,1980,North Carolina,NC,4086,NC00401,NC0040100,37,007,37007,18,13,5,17,1,12,5,1,5,0,0,1,1,2,1,3,0,0,2,0,0,2,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,3,2,0,0
Ansonville,1980,North Carolina,NC,780,NC00405,NC0040500,37,007,37007,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ashe,1980,North Carolina,NC,21519,NC00500,NC0050000,37,009,37009,33,17,16,27,6,15,12,2,12,0,0,2,0,5,5,0,2,4,1,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,16,0,0,0
West Jefferson,1980,North Carolina,NC,817,NC00501,NC0050100,37,009,37009,2,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Avery,1980,North Carolina,NC,11771,NC00600,NC0060000,37,011,37011,14,10,4,13,1,9,4,1,4,0,0,0,1,2,1,1,1,1,0,0,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0
Banner Elk,1980,North Carolina,NC,1090,NC00602,NC0060200,37,011,37011,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Beaufort,1980,North Carolina,NC,28137,NC00700,NC0070000,37,013,37013,27,27,0,26,1,26,0,1,0,0,0,0,0,0,0,9,4,1,4,0,0,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0
Washington,1980,North Carolina,NC,8448,NC00701,NC0070100,37,013,37013,10,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0
Belhaven,1980,North Carolina,NC,2466,NC00703,NC0070300,37,013,37013,7,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Bertie,1980,North Carolina,NC,16822,NC00800,NC0080000,37,015,37015,36,30,6,36,0,30,5,0,5,1,0,0,0,0,5,4,2,5,4,1,5,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,0,3,3,0,0
Aulander,1980,North Carolina,NC,1189,NC00801,NC0080100,37,015,37015,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Windsor,1980,North Carolina,NC,2156,NC00802,NC0080200,37,015,37015,3,3,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Lewiston,1980,North Carolina,NC,459,NC00803,NC0080300,37,015,37015,2,0,2,2,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Bladen,1980,North Carolina,NC,23235,NC00900,NC0090000,37,017,37017,54,28,26,51,3,27,24,1,24,0,0,2,16,3,3,2,7,5,1,1,2,1,4,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,10,0,1,1,25,0,0
Bladenboro,1980,North Carolina,NC,1385,NC00901,NC0090100,37,017,37017,2,1,1,2,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Clarkton,1980,North Carolina,NC,664,NC00902,NC0090200,37,017,37017,4,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
Elizabethtown,1980,North Carolina,NC,3535,NC00903,NC0090300,37,017,37017,6,5,1,5,1,4,1,1,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0
Brunswick,1980,North Carolina,NC,28432,NC01000,NC0100000,37,019,37019,54,44,10,51,3,41,10,3,10,0,0,0,0,2,8,5,14,6,7,1,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,36,8,0,0,7,3,0,0
Long Beach,1980,North Carolina,NC,1795,NC01001,NC0100100,37,019,37019,21,13,8,19,2,11,8,2,8,0,0,0,0,5,3,1,0,2,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,1,0,0,8,0,0,0
Southport,1980,North Carolina,NC,2824,NC01003,NC0100300,37,019,37019,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Boiling Spring Lakes,1980,North Carolina,NC,1e3,NC01005,NC0100500,37,019,37019,12,11,1,12,0,11,1,0,1,0,0,0,0,0,1,1,4,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0
Sunset Beach,1980,North Carolina,NC,326,NC01007,NC0100700,37,019,37019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocean Isle Beach,1980,North Carolina,NC,110,NC01008,NC0100800,37,019,37019,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Buncombe,1980,North Carolina,NC,96957,NC01100,NC0110000,37,021,37021,99,70,29,94,5,66,28,4,28,0,0,0,1,16,11,8,11,6,8,2,4,4,10,7,2,1,1,1,0,0,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55,15,0,0,21,6,0,2
Asheville,1980,North Carolina,NC,53708,NC01101,NC0110100,37,021,37021,216,132,84,208,8,129,78,3,78,1,2,13,11,24,28,13,7,5,17,10,15,17,21,11,3,2,2,3,1,0,2,0,1,1,1,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,68,64,0,0,39,45,0,0
Black Mountain,1980,North Carolina,NC,4098,NC01102,NC0110200,37,021,37021,9,6,3,7,2,6,1,0,1,0,0,0,0,0,1,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,0,0,0
Biltmore Forest,1980,North Carolina,NC,1510,NC01103,NC0110300,37,021,37021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montreat,1980,North Carolina,NC,737,NC01105,NC0110500,37,021,37021,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Woodfin,1980,North Carolina,NC,3255,NC01106,NC0110600,37,021,37021,9,9,0,5,4,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0
Burke,1980,North Carolina,NC,53349,NC01200,NC0120000,37,023,37023,135,95,40,126,9,88,38,7,38,0,1,3,3,17,14,9,10,11,6,11,9,2,20,6,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,95,0,0,0,40,0,0,0
Morganton,1980,North Carolina,NC,13682,NC01201,NC0120100,37,023,37023,53,32,21,51,2,31,20,1,20,0,0,1,4,8,7,1,3,4,2,4,0,1,8,4,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,7,0,0,18,3,0,0
Valdese,1980,North Carolina,NC,3335,NC01202,NC0120200,37,023,37023,14,14,0,13,1,13,0,1,0,0,0,0,0,0,0,2,1,1,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
Drexel,1980,North Carolina,NC,1377,NC01203,NC0120300,37,023,37023,4,2,2,2,2,0,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
Cabarrus,1980,North Carolina,NC,39083,NC01300,NC0130000,37,025,37025,68,49,19,64,4,46,18,3,18,0,0,0,0,12,6,10,7,3,1,3,3,3,6,5,2,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,35,14,0,0,10,9,0,0
Concord,1980,North Carolina,NC,16851,NC01301,NC0130100,37,025,37025,42,24,18,40,2,22,17,2,17,1,1,1,3,4,8,3,2,2,2,2,2,0,2,2,2,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,11,0,0,13,5,0,0
Kannapolis,1980,North Carolina,NC,29579,NC01302,NC0130200,37,025,37025,68,47,21,64,4,43,21,4,21,0,0,8,2,3,8,7,1,17,5,0,7,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,33,14,0,0,18,3,0,0
Caldwell,1980,North Carolina,NC,47780,NC01400,NC0140000,37,027,37027,104,72,32,99,5,68,31,4,31,0,0,2,5,9,15,6,7,4,4,5,5,0,15,9,4,5,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,70,2,0,0,30,2,0,0
Granite Falls,1980,North Carolina,NC,2564,NC01401,NC0140100,37,027,37027,7,2,5,6,1,2,4,0,4,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0
Lenoir,1980,North Carolina,NC,13420,NC01402,NC0140200,37,027,37027,91,40,51,87,4,38,46,2,46,3,9,10,9,4,14,8,5,7,1,4,3,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,9,0,0,36,15,0,0
Hudson,1980,North Carolina,NC,3206,NC01404,NC0140400,37,027,37027,14,10,4,12,2,8,4,2,4,0,2,1,0,0,1,1,1,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,0,0
Camden,1980,North Carolina,NC,5820,NC01500,NC0150000,37,029,37029,4,3,1,4,0,3,1,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
Carteret,1980,North Carolina,NC,26965,NC01600,NC0160000,37,031,37031,29,25,4,28,1,24,4,1,4,0,0,0,0,1,3,1,7,2,5,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,4,0,0,0
Beaufort,1980,North Carolina,NC,4404,NC01601,NC0160100,37,031,37031,10,9,1,10,0,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,2,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,1,0,0
Morehead City,1980,North Carolina,NC,4335,NC01602,NC0160200,37,031,37031,10,5,5,10,0,5,5,0,5,0,0,0,0,3,2,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,2,2,0,1
Atlantic Beach,1980,North Carolina,NC,724,NC01603,NC0160300,37,031,37031,23,15,8,21,2,13,8,2,8,0,0,2,1,4,1,2,1,0,3,1,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0,0,8,0,0,0
Newport Pd,1980,North Carolina,NC,1878,NC01604,NC0160400,37,031,37031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Carteret,1980,North Carolina,NC,952,NC01605,NC0160500,37,031,37031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emerald Isle,1980,North Carolina,NC,816,NC01606,NC0160600,37,031,37031,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
