agency,year,state,state_abb,population,ORI,ORI9,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,agg_assault_tot_arrests,agg_assault_tot_adult,agg_assault_tot_juv,agg_assault_tot_male,agg_assault_tot_female,agg_assault_tot_male_adult,agg_assault_tot_male_juv,agg_assault_tot_female_adult,agg_assault_tot_female_juv,agg_assault_male_under_10,agg_assault_male_10_12,agg_assault_male_13_14,agg_assault_male_15,agg_assault_male_16,agg_assault_male_17,agg_assault_male_18,agg_assault_male_19,agg_assault_male_20,agg_assault_male_21,agg_assault_male_22,agg_assault_male_23,agg_assault_male_24,agg_assault_male_25_29,agg_assault_male_30_34,agg_assault_male_35_39,agg_assault_male_40_44,agg_assault_male_45_49,agg_assault_male_50_54,agg_assault_male_55_59,agg_assault_male_60_64,agg_assault_male_over_64,agg_assault_female_under_10,agg_assault_female_10_12,agg_assault_female_13_14,agg_assault_female_15,agg_assault_female_16,agg_assault_female_17,agg_assault_female_18,agg_assault_female_19,agg_assault_female_20,agg_assault_female_21,agg_assault_female_22,agg_assault_female_23,agg_assault_female_24,agg_assault_female_25_29,agg_assault_female_30_34,agg_assault_female_35_39,agg_assault_female_40_44,agg_assault_female_45_49,agg_assault_female_50_54,agg_assault_female_55_59,agg_assault_female_60_64,agg_assault_female_over_64,agg_assault_adult_white,agg_assault_adult_black,agg_assault_adult_asian,agg_assault_adult_indian,agg_assault_juv_white,agg_assault_juv_black,agg_assault_juv_asian,agg_assault_juv_indian
Alamance,1980,North Carolina,NC,47124,NC00100,NC0010000,37,001,37001,15,15,0,15,0,15,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,2,0,3,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0
Burlington,1980,North Carolina,NC,37202,NC00101,NC0010100,37,001,37001,96,81,15,79,17,66,13,15,13,0,3,1,1,5,3,2,2,0,3,7,6,6,17,10,4,2,1,3,0,2,1,0,0,0,0,2,0,1,0,1,2,1,2,1,3,0,1,0,1,1,1,0,0,32,49,0,0,5,10,0,0
Elon College,1980,North Carolina,NC,2863,NC00102,NC0010200,37,001,37001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graham,1980,North Carolina,NC,8444,NC00103,NC0010300,37,001,37001,17,14,3,15,2,12,3,2,3,0,0,1,0,1,1,1,0,1,0,0,0,0,2,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,6,0,0,2,1,0,0
Mebane,1980,North Carolina,NC,2781,NC00104,NC0010400,37,001,37001,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alexander,1980,North Carolina,NC,23691,NC00200,NC0020000,37,003,37003,23,23,0,21,2,21,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,5,5,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,19,4,0,0,0,0,0,0
Taylorsville,1980,North Carolina,NC,1109,NC00201,NC0020100,37,003,37003,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Alleghany,1980,North Carolina,NC,7879,NC00300,NC0030000,37,005,37005,12,12,0,10,2,10,0,2,0,0,0,0,0,0,0,0,2,1,0,0,1,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1,0,0,0,0,0,0
Sparta,1980,North Carolina,NC,1691,NC00301,NC0030100,37,005,37005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anson,1980,North Carolina,NC,18372,NC00400,NC0040000,37,007,37007,42,42,0,38,4,38,0,4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,9,11,5,5,1,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,8,34,0,0,0,0,0,0
Wadesboro,1980,North Carolina,NC,4086,NC00401,NC0040100,37,007,37007,24,24,0,20,4,20,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,4,5,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,4,20,0,0,0,0,0,0
Ansonville,1980,North Carolina,NC,780,NC00405,NC0040500,37,007,37007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
